timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510086.456621,31.6,4.92,0.00,2.92,0.59
1738510086.558447,31.6,4.92,0.00,2.94,0.60
1738510086.660165,31.6,4.92,0.00,2.94,0.60
1738510086.761862,31.6,4.92,0.00,2.92,0.60
1738510086.863177,31.6,4.92,0.00,2.94,0.60
1738510086.964985,31.6,4.92,0.00,2.94,0.60
1738510087.066390,31.6,4.92,0.00,2.92,0.59
1738510087.168112,31.6,4.92,0.00,2.92,0.59
1738510087.269787,31.6,4.92,0.00,2.94,0.60
1738510087.371128,32.5,4.92,0.00,2.94,0.60
1738510087.472889,32.5,4.92,0.00,2.92,0.60
1738510087.574463,32.5,4.92,0.00,2.94,0.60
1738510087.676006,32.5,4.92,0.00,2.92,0.60
1738510087.777585,32.5,4.92,0.00,2.94,0.60
1738510087.879030,32.5,4.92,0.00,2.92,0.59
1738510087.980755,32.5,4.92,0.00,2.94,0.60
1738510088.082390,32.5,4.92,0.00,2.94,0.59
1738510088.183999,32.5,4.92,0.00,2.92,0.60
1738510088.285590,32.5,4.92,0.00,2.94,0.59
1738510088.387095,32.5,4.92,0.00,2.92,0.59
1738510088.488737,32.5,4.92,0.00,2.92,0.60
1738510088.590279,32.5,4.92,0.00,2.94,0.59
1738510088.691749,32.5,4.92,0.00,2.94,0.60
1738510088.793489,32.5,4.92,0.00,2.92,0.59
1738510088.894901,32.5,4.92,0.00,2.92,0.59
1738510088.996654,32.5,4.92,0.00,2.94,0.60
1738510089.098230,32.5,4.92,0.00,2.92,0.59
1738510089.199826,32.5,4.92,0.00,2.94,0.60
1738510089.301336,32.5,4.92,0.00,2.94,0.60
1738510089.402910,32.5,4.92,0.00,2.94,0.60
1738510089.504532,32.5,4.92,0.00,2.94,0.60
1738510089.606152,32.5,4.92,0.00,2.92,0.60
1738510089.707696,32.5,4.92,0.00,2.94,0.60
1738510089.809309,32.5,4.92,0.00,2.94,0.60
1738510089.910814,32.5,4.92,0.00,2.94,0.60
1738510090.012479,32.5,4.92,0.00,2.94,0.60
1738510090.113851,32.5,4.92,0.00,2.92,0.60
1738510090.215577,32.5,4.92,0.00,2.92,0.60
1738510090.317188,32.5,4.92,0.00,2.92,0.59
1738510090.418740,32.5,4.92,0.00,2.94,0.60
1738510090.520340,32.5,4.92,0.00,2.92,0.59
1738510090.621933,32.5,4.92,0.00,2.94,0.60
1738510090.723513,32.5,4.92,0.00,2.94,0.60
1738510090.825151,32.5,4.92,0.00,2.94,0.59
1738510090.926635,32.5,4.92,0.00,2.92,0.60
1738510091.028243,32.5,4.92,0.00,2.94,0.60
1738510091.129824,32.5,4.92,0.00,2.94,0.60
1738510091.231418,32.5,4.92,0.00,2.94,0.60
1738510091.338033,32.5,4.92,0.00,2.94,0.59
1738510091.434528,32.5,4.92,0.00,2.94,0.60
1738510091.536134,32.5,4.92,0.00,2.92,0.60
1738510091.637723,32.5,4.92,0.00,2.92,0.60
1738510091.739315,32.5,4.92,0.00,2.94,0.60
1738510091.840843,32.5,4.92,0.00,2.94,0.60
1738510091.942405,32.5,4.92,0.00,2.94,0.60
1738510092.044011,32.5,4.92,0.00,2.94,0.59
1738510092.145568,32.5,4.92,0.00,2.94,0.60
1738510092.247010,32.5,4.92,0.00,2.94,0.59
1738510092.348800,32.5,4.92,0.00,2.94,0.60
1738510092.450359,32.5,4.92,0.00,2.94,0.60
1738510092.551952,32.5,4.92,0.00,2.92,0.60
1738510092.653494,32.5,4.92,0.00,2.92,0.59
1738510092.755149,32.5,4.92,0.00,2.92,0.60
1738510092.856661,32.5,4.92,0.00,2.94,0.60
1738510092.958038,32.5,4.92,0.00,2.94,0.59
1738510093.059869,32.5,4.92,0.00,2.92,0.59
1738510093.161310,33.3,4.92,0.00,2.92,0.60
1738510093.262835,33.3,4.92,0.00,2.94,0.60
1738510093.364335,33.3,4.92,0.00,2.94,0.59
1738510093.466151,33.3,4.92,0.00,2.94,0.59
1738510093.567777,33.3,4.92,0.00,2.94,0.60
1738510093.669334,33.3,4.92,0.00,2.92,0.60
1738510093.770824,33.3,4.92,0.00,2.94,0.59
1738510093.872472,33.3,4.92,0.00,2.92,0.59
1738510093.973992,33.3,4.92,0.00,2.94,0.59
1738510094.075622,33.3,4.92,0.00,2.94,0.60
1738510094.177078,33.3,4.92,0.00,2.94,0.59
1738510094.278784,33.3,4.92,0.00,2.94,0.60
1738510094.380302,33.3,4.92,0.00,2.92,0.60
1738510094.482000,33.3,4.92,0.00,2.94,0.60
1738510094.583521,33.3,4.92,0.00,2.92,0.59
1738510094.685184,33.3,4.92,0.00,2.94,0.60
1738510094.786606,33.3,4.92,0.00,2.92,0.60
1738510094.888332,32.5,4.92,0.00,2.94,0.60
1738510094.989660,32.5,4.92,0.00,2.92,0.59
1738510095.091443,32.5,4.92,0.00,2.94,0.59
1738510095.192913,32.5,4.92,0.00,2.92,0.59
1738510095.294664,32.5,4.92,0.00,2.92,0.60
1738510095.396138,32.5,4.92,0.00,2.94,0.60
1738510095.497810,32.5,4.92,0.00,2.94,0.60
1738510095.599245,32.5,4.92,0.00,2.94,0.60
1738510095.700729,33.3,4.92,0.00,2.94,0.60
1738510095.802529,33.3,4.92,0.00,2.92,0.60
1738510095.904068,33.3,4.92,0.00,2.94,0.60
1738510096.005693,33.3,4.92,0.00,2.94,0.59
1738510096.107173,33.3,4.92,0.00,2.94,0.60
1738510096.208754,33.3,4.92,0.00,2.92,0.60
1738510096.310413,33.3,4.92,0.00,2.92,0.60
1738510096.411915,33.3,4.92,0.00,2.92,0.60
1738510096.513298,33.3,4.92,0.00,2.94,0.59
1738510096.614958,33.3,4.92,0.00,2.94,0.60
1738510096.716587,33.3,4.92,0.00,2.94,0.60
1738510096.818281,33.3,4.92,0.00,2.94,0.60
1738510096.919916,33.3,4.92,0.00,2.92,0.59
1738510097.021426,33.3,4.92,0.00,2.94,0.60
1738510097.123091,33.3,4.92,0.00,2.92,0.60
1738510097.224401,33.3,4.92,0.00,2.92,0.60
1738510097.326076,33.3,4.92,0.00,2.94,0.60
1738510097.427705,33.3,4.92,0.00,2.92,0.59
1738510097.529409,33.3,4.92,0.00,2.94,0.60
1738510097.630886,33.3,4.92,0.00,2.94,0.60
1738510097.732454,33.3,4.92,0.00,2.92,0.60
1738510097.834176,33.3,4.92,0.00,2.92,0.60
1738510097.935725,33.3,4.92,0.00,2.92,0.60
1738510098.037310,33.3,4.92,0.00,2.92,0.60
1738510098.138869,33.3,4.92,0.00,2.94,0.59
1738510098.240423,33.3,4.92,0.00,2.92,0.60
1738510098.341649,33.3,4.92,0.00,2.94,0.60
1738510098.443324,33.3,4.92,0.00,2.92,0.60
1738510098.545194,33.3,4.92,0.00,2.94,0.60
1738510098.646580,33.3,4.92,0.00,2.94,0.60
1738510098.748287,33.3,4.92,0.00,2.92,0.60
1738510098.849874,33.3,4.92,0.00,2.94,0.60
1738510098.951423,33.3,4.92,0.00,2.92,0.59
1738510099.053068,33.3,4.92,0.00,2.92,0.60
1738510099.154668,33.3,4.92,0.00,2.94,0.59
1738510099.256095,33.3,4.92,0.00,2.92,0.60
1738510099.357706,33.3,4.92,0.00,2.92,0.59
1738510099.459327,33.3,4.92,0.00,2.94,0.61
1738510099.560912,33.3,4.92,0.00,2.92,0.59
1738510099.662380,33.3,4.92,0.00,2.92,0.59
1738510099.763950,33.3,4.92,0.00,2.92,0.59
1738510099.865695,33.3,4.92,0.00,2.92,0.60
1738510099.967247,33.3,4.92,0.00,2.92,0.59
1738510100.068876,33.3,4.92,0.00,2.94,0.60
1738510100.170449,33.3,4.92,0.00,2.94,0.60
1738510100.272059,33.3,4.92,0.00,2.94,0.60
1738510100.373640,33.3,4.92,0.00,2.94,0.60
1738510100.475140,33.3,4.92,0.00,2.92,0.59
1738510100.576778,33.3,4.92,0.00,2.92,0.59
1738510100.678141,33.3,4.92,0.00,2.92,0.60
1738510100.779948,33.3,4.92,0.00,2.92,0.60
1738510100.881532,33.3,4.92,0.00,2.94,0.60
1738510100.983075,33.3,4.92,0.00,2.92,0.60
