timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510103.296175,35.1,4.92,0.00,2.92,0.60
1738510103.397991,35.1,4.92,0.00,2.94,0.60
1738510103.499663,35.1,4.92,0.00,2.94,0.59
1738510103.601337,35.1,4.92,0.00,2.94,0.60
1738510103.702802,35.1,4.92,0.00,2.92,0.60
1738510103.804496,35.1,4.92,0.00,2.94,0.60
1738510103.906043,35.1,4.92,0.00,2.92,0.60
1738510104.007828,35.1,4.92,0.00,2.94,0.59
1738510104.109251,33.3,4.92,0.00,2.94,0.59
1738510104.210796,33.3,4.92,0.00,2.94,0.60
1738510104.312316,33.3,4.92,0.00,2.92,0.60
1738510104.413985,33.3,4.92,0.00,2.94,0.60
1738510104.515539,33.3,4.92,0.00,2.94,0.59
1738510104.617176,33.3,4.92,0.00,2.92,0.60
1738510104.718619,33.3,4.92,0.00,2.92,0.59
1738510104.820312,33.3,4.92,0.00,2.94,0.60
1738510104.921946,33.3,4.92,0.00,2.94,0.59
1738510105.023449,33.3,4.92,0.00,2.94,0.59
1738510105.124807,33.3,4.92,0.00,2.92,0.60
1738510105.226565,33.3,4.92,0.00,2.92,0.60
1738510105.328178,33.3,4.92,0.00,2.94,0.60
1738510105.429758,33.3,4.92,0.00,2.94,0.60
1738510105.531360,33.3,4.92,0.00,2.94,0.60
1738510105.632869,33.3,4.92,0.00,2.92,0.60
1738510105.734518,33.3,4.92,0.00,2.94,0.60
1738510105.836090,33.3,4.92,0.00,2.94,0.60
1738510105.937632,33.3,4.92,0.00,2.94,0.60
1738510106.039256,33.3,4.92,0.00,2.94,0.60
1738510106.140839,33.3,4.92,0.00,2.94,0.60
1738510106.242271,33.3,4.92,0.00,2.94,0.60
1738510106.343998,33.3,4.92,0.00,2.94,0.60
1738510106.445368,33.3,4.92,0.00,2.94,0.60
1738510106.547102,33.3,4.92,0.00,2.94,0.59
1738510106.648737,33.3,4.92,0.00,2.94,0.60
1738510106.750203,33.3,4.92,0.00,2.94,0.60
1738510106.851716,33.3,4.92,0.00,2.94,0.60
1738510106.953307,33.3,4.92,0.00,2.94,0.60
1738510107.055092,33.3,4.92,0.00,2.92,0.59
1738510107.156654,33.3,4.92,0.00,2.94,0.60
1738510107.258161,33.3,4.92,0.00,2.92,0.60
1738510107.359703,33.3,4.92,0.00,2.94,0.59
1738510107.461347,33.3,4.92,0.00,2.92,0.60
1738510107.562949,33.3,4.92,0.00,2.94,0.60
1738510107.664348,33.3,4.92,0.00,2.92,0.60
1738510107.766129,33.3,4.92,0.00,2.92,0.60
1738510107.867513,33.3,4.92,0.00,2.94,0.59
1738510107.969256,33.3,4.92,0.00,2.92,0.60
1738510108.070793,33.3,4.92,0.00,2.94,0.60
1738510108.172236,33.3,4.92,0.00,2.92,0.59
1738510108.274020,33.3,4.92,0.00,2.92,0.60
1738510108.375534,33.3,4.92,0.00,2.92,0.60
1738510108.477230,33.3,4.92,0.00,2.92,0.60
1738510108.578740,33.3,4.92,0.00,2.92,0.59
1738510108.680385,33.3,4.92,0.00,2.92,0.60
1738510108.781820,33.3,4.92,0.00,2.94,0.61
1738510108.883520,33.3,4.92,0.00,2.94,0.59
1738510108.985094,33.3,4.92,0.00,2.94,0.60
1738510109.086439,33.3,4.92,0.00,2.94,0.60
1738510109.188242,33.3,4.92,0.00,2.94,0.60
1738510109.289827,33.3,4.92,0.00,2.92,0.60
1738510109.391211,33.3,4.92,0.00,2.94,0.60
1738510109.492951,33.3,4.92,0.00,2.94,0.60
1738510109.594316,33.3,4.92,0.00,2.92,0.59
1738510109.696104,33.3,4.92,0.00,2.92,0.60
1738510109.797651,33.3,4.92,0.00,2.92,0.60
1738510109.899301,33.3,4.92,0.00,2.94,0.59
1738510110.000843,33.3,4.92,0.00,2.94,0.59
1738510110.102401,33.3,4.92,0.00,2.94,0.60
1738510110.203998,33.3,4.92,0.00,2.92,0.60
1738510110.305548,33.3,4.92,0.00,2.94,0.60
1738510110.407059,33.3,4.92,0.00,2.92,0.59
1738510110.508746,33.3,4.92,0.00,2.94,0.60
1738510110.610230,33.3,4.92,0.00,2.94,0.60
1738510110.711710,33.3,4.92,0.00,2.94,0.60
1738510110.813472,33.3,4.92,0.00,2.92,0.59
1738510110.915072,33.3,4.92,0.00,2.94,0.60
1738510111.016693,33.3,4.92,0.00,2.92,0.59
1738510111.118022,33.3,4.92,0.00,2.92,0.60
1738510111.219716,33.3,4.92,0.00,2.92,0.59
1738510111.321428,33.3,4.92,0.00,2.92,0.60
1738510111.423046,33.3,4.92,0.00,2.94,0.60
1738510111.524611,33.3,4.92,0.00,2.94,0.60
1738510111.626160,33.3,4.92,0.00,2.94,0.59
1738510111.727729,33.3,4.92,0.00,2.94,0.60
1738510111.829185,33.3,4.92,0.00,2.92,0.60
1738510111.930850,33.3,4.92,0.00,2.92,0.60
1738510112.032458,33.3,4.92,0.00,2.92,0.60
1738510112.134071,33.3,4.92,0.00,2.92,0.60
1738510112.235628,33.3,4.92,0.00,2.94,0.60
1738510112.337221,33.3,4.92,0.00,2.94,0.60
1738510112.438803,33.3,4.92,0.00,2.92,0.59
1738510112.540385,33.3,4.92,0.00,2.94,0.60
1738510112.642025,33.3,4.92,0.00,2.94,0.59
1738510112.743554,33.3,4.92,0.00,2.92,0.60
1738510112.844925,33.3,4.92,0.00,2.94,0.59
1738510112.946707,33.3,4.92,0.00,2.92,0.60
1738510113.048298,33.3,4.92,0.00,2.92,0.60
1738510113.149812,33.3,4.92,0.00,2.94,0.60
1738510113.251405,33.3,4.92,0.00,2.92,0.60
1738510113.353028,33.3,4.92,0.00,2.94,0.59
1738510113.454641,33.3,4.92,0.00,2.92,0.59
1738510113.556191,33.3,4.92,0.00,2.92,0.59
1738510113.657724,33.3,4.92,0.00,2.94,0.60
1738510113.759398,33.3,4.92,0.00,2.92,0.59
1738510113.860952,33.3,4.92,0.00,2.92,0.60
1738510113.962461,33.3,4.92,0.00,2.92,0.59
1738510114.063990,33.3,4.92,0.00,2.94,0.60
1738510114.165659,33.3,4.92,0.00,2.92,0.59
1738510114.267243,33.3,4.92,0.00,2.94,0.60
1738510114.368802,33.3,4.92,0.00,2.92,0.60
1738510114.470372,33.3,4.92,0.00,2.94,0.60
1738510114.571923,33.3,4.92,0.00,2.92,0.59
1738510114.673516,33.3,4.92,0.00,2.94,0.60
1738510114.775163,33.3,4.92,0.00,2.92,0.59
1738510114.876593,33.3,4.92,0.00,2.94,0.60
1738510114.978105,33.3,4.92,0.00,2.92,0.60
1738510115.079888,33.3,4.92,0.00,2.94,0.60
1738510115.181452,33.3,4.92,0.00,2.94,0.60
1738510115.282995,33.3,4.92,0.00,2.94,0.60
1738510115.384688,33.3,4.92,0.00,2.92,0.60
1738510115.486210,33.3,4.92,0.00,2.92,0.59
1738510115.587774,33.3,4.92,0.00,2.94,0.59
