timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509991.984646,31.6,4.91,0.00,3.04,0.63
1738509992.084868,31.6,4.91,0.00,3.04,0.62
1738509992.184990,31.6,4.91,0.00,3.04,0.62
1738509992.284988,31.6,4.91,0.00,3.04,0.63
1738509992.384816,31.6,4.91,0.00,3.04,0.62
1738509992.484919,31.6,4.91,0.00,3.04,0.62
1738509992.585023,33.3,4.91,0.00,3.04,0.62
1738509992.685026,33.3,4.91,0.00,3.04,0.62
1738509992.784800,33.3,4.91,0.00,3.04,0.62
1738509992.884667,33.3,4.91,0.00,3.04,0.62
1738509992.984863,33.3,4.91,0.00,3.04,0.63
1738509993.085004,33.3,4.91,0.00,3.04,0.62
1738509993.184956,33.3,4.91,0.00,3.04,0.63
1738509993.284728,33.3,4.91,0.00,3.04,0.62
1738509993.384649,34.2,4.91,0.00,3.04,0.62
1738509993.485072,34.2,4.91,0.00,3.04,0.62
1738509993.585027,34.2,4.91,0.00,3.04,0.62
1738509993.684992,34.2,4.91,0.00,3.04,0.62
1738509993.785035,34.2,4.91,0.00,3.04,0.62
1738509993.884976,34.2,4.91,0.00,3.04,0.62
1738509993.985023,34.2,4.91,0.00,3.04,0.63
1738509994.085023,34.2,4.91,0.00,3.08,0.63
1738509994.185059,33.3,4.91,0.00,3.04,0.63
1738509994.285007,33.3,4.91,0.00,3.04,0.62
1738509994.385047,33.3,4.91,0.00,3.04,0.62
1738509994.485043,33.3,4.91,0.00,3.04,0.62
1738509994.585090,33.3,4.91,0.00,3.04,0.62
1738509994.685064,33.3,4.91,0.00,3.04,0.63
1738509994.784978,33.3,4.91,0.00,3.04,0.62
1738509994.884998,33.3,4.91,0.00,3.08,0.63
1738509994.985104,33.3,4.91,0.00,3.04,0.62
1738509995.085010,33.3,4.91,0.00,3.04,0.63
1738509995.185051,33.3,4.91,0.00,3.04,0.62
1738509995.284990,33.3,4.91,0.00,3.08,0.63
1738509995.384947,33.3,4.91,0.00,3.04,0.62
1738509995.484990,33.3,4.91,0.00,3.04,0.63
1738509995.584879,33.3,4.91,0.00,3.04,0.62
1738509995.684987,33.3,4.91,0.00,3.04,0.62
1738509995.785056,33.3,4.91,0.00,3.04,0.62
1738509995.884853,34.2,4.91,0.00,3.04,0.62
1738509995.984992,34.2,4.91,0.00,3.04,0.62
1738509996.084778,34.2,4.91,0.00,3.04,0.63
1738509996.184977,34.2,4.91,0.00,3.04,0.62
1738509996.284770,34.2,4.91,0.00,3.04,0.63
1738509996.384794,34.2,4.91,0.00,3.08,0.63
1738509996.484695,34.2,4.91,0.00,3.04,0.62
1738509996.584885,34.2,4.91,0.00,3.04,0.62
1738509996.684734,34.2,4.91,0.00,3.04,0.62
1738509996.784979,34.2,4.91,0.00,3.04,0.62
1738509996.884772,34.2,4.91,0.00,3.04,0.62
1738509996.985037,34.2,4.91,0.00,3.04,0.63
1738509997.085046,34.2,4.91,0.00,3.04,0.62
1738509997.185003,34.2,4.91,0.00,3.04,0.63
1738509997.284972,34.2,4.91,0.00,3.04,0.62
1738509997.385039,34.2,4.91,0.00,3.04,0.62
1738509997.485006,34.2,4.91,0.00,3.04,0.62
1738509997.585056,34.2,4.91,0.00,3.04,0.63
1738509997.684862,34.2,4.91,0.00,3.04,0.62
1738509997.784975,34.2,4.91,0.00,3.04,0.62
1738509997.884783,34.2,4.91,0.00,3.04,0.63
1738509997.984995,34.2,4.91,0.00,3.04,0.63
1738509998.084939,34.2,4.91,0.00,3.04,0.62
1738509998.184998,34.2,4.91,0.00,3.04,0.63
1738509998.285057,34.2,4.91,0.00,3.04,0.62
1738509998.385013,34.2,4.91,0.00,3.04,0.62
1738509998.485024,34.2,4.91,0.00,3.08,0.63
1738509998.584969,34.2,4.91,0.00,3.04,0.63
1738509998.684987,34.2,4.91,0.00,3.04,0.62
1738509998.785027,34.2,4.91,0.00,3.04,0.62
1738509998.884926,34.2,4.91,0.00,3.04,0.62
1738509998.985017,34.2,4.91,0.00,3.04,0.62
1738509999.084709,34.2,4.91,0.00,3.04,0.62
1738509999.185021,34.2,4.91,0.00,3.04,0.62
1738509999.284942,33.3,4.91,0.00,3.08,0.63
1738509999.385041,33.3,4.91,0.00,3.04,0.62
1738509999.485027,33.3,4.91,0.00,3.04,0.62
1738509999.584972,33.3,4.91,0.00,3.04,0.62
1738509999.685080,33.3,4.91,0.00,3.04,0.62
1738509999.784646,33.3,4.91,0.00,3.08,0.62
1738509999.884621,33.3,4.91,0.00,3.04,0.62
1738509999.984907,33.3,4.91,0.00,3.04,0.62
1738510000.084998,34.2,4.91,0.00,3.04,0.62
1738510000.184800,34.2,4.91,0.00,3.04,0.62
1738510000.284973,34.2,4.91,0.00,3.04,0.62
1738510000.384963,34.2,4.91,0.00,3.04,0.63
1738510000.485010,34.2,4.91,0.00,3.04,0.62
1738510000.585013,34.2,4.91,0.00,3.04,0.62
1738510000.685037,34.2,4.91,0.00,3.04,0.62
1738510000.785025,34.2,4.91,0.00,3.04,0.62
1738510000.884675,33.3,4.90,0.00,3.04,0.63
1738510000.984981,33.3,4.91,0.00,3.04,0.63
1738510001.084951,33.3,4.91,0.00,3.08,0.63
1738510001.185022,33.3,4.91,0.00,3.04,0.62
1738510001.284971,33.3,4.91,0.00,3.04,0.63
1738510001.384994,33.3,4.91,0.00,3.04,0.63
1738510001.485037,33.3,4.91,0.00,3.08,0.62
1738510001.584995,33.3,4.91,0.00,3.04,0.62
1738510001.685063,33.3,4.91,0.00,3.04,0.63
1738510001.785025,33.3,4.91,0.00,3.04,0.63
1738510001.884752,33.3,4.91,0.00,3.04,0.62
