timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510120.097319,34.2,4.91,0.00,3.04,0.63
1738510120.197286,34.2,4.91,0.00,3.04,0.63
1738510120.297179,34.2,4.91,0.00,3.08,0.62
1738510120.397261,34.2,4.91,0.00,3.04,0.63
1738510120.497302,34.2,4.91,0.00,3.04,0.62
1738510120.597281,34.2,4.91,0.00,3.04,0.62
1738510120.697240,34.2,4.91,0.00,3.04,0.63
1738510120.797351,34.2,4.91,0.00,3.04,0.63
1738510120.897293,34.2,4.91,0.00,3.04,0.63
1738510120.997278,34.2,4.91,0.00,3.04,0.62
1738510121.097045,34.2,4.91,0.00,3.04,0.63
1738510121.197259,34.2,4.91,0.00,3.04,0.62
1738510121.297394,34.2,4.91,0.00,3.08,0.63
1738510121.397223,34.2,4.91,0.00,3.04,0.62
1738510121.496977,34.2,4.91,0.00,3.04,0.63
1738510121.596991,34.2,4.91,0.00,3.04,0.62
1738510121.697309,34.2,4.91,0.00,3.08,0.62
1738510121.796837,34.2,4.91,0.00,3.04,0.62
1738510121.897191,34.2,4.91,0.00,3.08,0.62
1738510121.997284,34.2,4.91,0.00,3.04,0.62
1738510122.097290,34.2,4.91,0.00,3.04,0.62
1738510122.197003,34.2,4.91,0.00,3.04,0.63
1738510122.297041,34.2,4.91,0.00,3.08,0.62
1738510122.397319,34.2,4.91,0.00,3.04,0.62
1738510122.497345,34.2,4.91,0.00,3.04,0.63
1738510122.596969,34.2,4.91,0.00,3.04,0.62
1738510122.697100,34.2,4.91,0.00,3.04,0.62
1738510122.797032,34.2,4.91,0.00,3.04,0.63
1738510122.897290,34.2,4.91,0.00,3.08,0.63
1738510122.997073,34.2,4.91,0.00,3.08,0.63
1738510123.096980,34.2,4.91,0.00,3.04,0.62
1738510123.197005,34.2,4.91,0.00,3.04,0.63
1738510123.297147,34.2,4.91,0.00,3.04,0.62
1738510123.397356,34.2,4.91,0.00,3.04,0.62
1738510123.497172,34.2,4.91,0.00,3.08,0.62
1738510123.597256,34.2,4.91,0.00,3.04,0.63
1738510123.697085,34.2,4.91,0.00,3.04,0.62
1738510123.797229,34.2,4.91,0.00,3.04,0.62
1738510123.897307,34.2,4.91,0.00,3.04,0.63
1738510123.997307,34.2,4.91,0.00,3.04,0.62
1738510124.097188,34.2,4.91,0.00,2.98,0.62
1738510124.196941,34.2,4.91,0.00,3.04,0.63
1738510124.297275,34.2,4.91,0.00,3.04,0.62
1738510124.397098,34.2,4.91,0.00,3.04,0.62
1738510124.497035,34.2,4.91,0.00,3.04,0.63
1738510124.597324,34.2,4.91,0.00,3.04,0.62
1738510124.697027,34.2,4.91,0.00,3.04,0.62
1738510124.797340,34.2,4.91,0.00,3.04,0.62
1738510124.897169,34.2,4.91,0.00,3.04,0.62
1738510124.997358,34.2,4.91,0.00,3.04,0.62
1738510125.097310,34.2,4.91,0.00,3.04,0.63
1738510125.197217,34.2,4.91,0.00,3.04,0.62
1738510125.297294,34.2,4.91,0.00,3.04,0.62
1738510125.397037,34.2,4.91,0.00,3.04,0.62
1738510125.497249,34.2,4.91,0.00,3.04,0.63
1738510125.597366,34.2,4.91,0.00,3.04,0.63
1738510125.697311,34.2,4.91,0.00,3.08,0.62
1738510125.797296,34.2,4.91,0.00,3.04,0.63
1738510125.897005,34.2,4.91,0.00,3.04,0.62
1738510125.997092,34.2,4.91,0.00,3.04,0.62
1738510126.097258,34.2,4.91,0.00,3.08,0.63
1738510126.196952,34.2,4.91,0.00,3.04,0.62
1738510126.297000,34.2,4.91,0.00,3.04,0.62
1738510126.396987,34.2,4.91,0.00,3.04,0.62
1738510126.497184,34.2,4.91,0.00,3.04,0.62
1738510126.597329,34.2,4.91,0.00,3.04,0.62
1738510126.696940,34.2,4.91,0.00,3.04,0.62
1738510126.797345,34.2,4.91,0.00,3.04,0.62
1738510126.897329,34.2,4.91,0.00,3.08,0.62
1738510126.997289,34.2,4.91,0.00,3.04,0.62
1738510127.097279,34.2,4.91,0.00,3.04,0.62
1738510127.197275,34.2,4.91,0.00,3.08,0.63
1738510127.296861,34.2,4.91,0.00,3.04,0.62
1738510127.396891,34.2,4.91,0.00,3.08,0.63
1738510127.496972,34.2,4.91,0.00,3.04,0.61
1738510127.597300,34.2,4.91,0.00,3.04,0.63
1738510127.697263,34.2,4.91,0.00,3.04,0.62
1738510127.797256,34.2,4.91,0.00,3.04,0.63
1738510127.897194,34.2,4.91,0.00,3.04,0.62
1738510127.997247,34.2,4.91,0.00,3.04,0.62
1738510128.096908,34.2,4.91,0.00,3.04,0.62
1738510128.196974,34.2,4.91,0.00,3.08,0.63
1738510128.297133,34.2,4.91,0.00,3.04,0.62
1738510128.397272,34.2,4.91,0.00,3.08,0.63
1738510128.497282,34.2,4.91,0.00,3.04,0.62
1738510128.596965,34.2,4.91,0.00,3.04,0.62
1738510128.697248,34.2,4.91,0.00,3.04,0.62
1738510128.797009,34.2,4.91,0.00,3.04,0.63
1738510128.897149,34.2,4.91,0.00,3.04,0.62
1738510128.997233,34.2,4.91,0.00,3.04,0.63
1738510129.097209,34.2,4.91,0.00,3.04,0.62
1738510129.197225,34.2,4.91,0.00,3.04,0.63
1738510129.297296,33.3,4.91,0.00,3.04,0.62
1738510129.396956,33.3,4.91,0.00,3.04,0.62
1738510129.497287,33.3,4.91,0.00,3.04,0.62
1738510129.597315,33.3,4.91,0.00,3.04,0.63
1738510129.697057,33.3,4.91,0.00,3.08,0.63
1738510129.797218,33.3,4.91,0.00,3.04,0.62
1738510129.897313,33.3,4.91,0.00,3.08,0.63
1738510129.997193,33.3,4.91,0.00,3.04,0.62
1738510130.097132,34.2,4.91,0.00,3.08,0.62
1738510130.197312,34.2,4.91,0.00,3.08,0.62
1738510130.297246,34.2,4.91,0.00,3.04,0.62
1738510130.397293,34.2,4.91,0.00,3.04,0.62
1738510130.497283,34.2,4.91,0.00,3.04,0.63
1738510130.597283,34.2,4.91,0.00,3.04,0.63
1738510130.697232,34.2,4.91,0.00,3.08,0.63
1738510130.797441,34.2,4.91,0.00,3.04,0.62
1738510130.897354,34.2,4.91,0.00,3.04,0.63
1738510130.997029,33.3,4.91,0.00,3.04,0.63
1738510131.099536,33.3,4.91,0.00,3.04,0.63
1738510131.197356,33.3,4.91,0.00,3.04,0.63
1738510131.297272,33.3,4.91,0.00,3.04,0.63
1738510131.397184,33.3,4.91,0.00,3.04,0.62
1738510131.497263,33.3,4.91,0.00,3.08,0.63
1738510131.597283,33.3,4.91,0.00,3.04,0.62
1738510131.697271,33.3,4.91,0.00,3.04,0.62
1738510131.797108,35.1,4.91,0.00,3.04,0.63
1738510131.897302,35.1,4.91,0.00,3.08,0.63
1738510131.997205,35.1,4.91,0.00,3.04,0.62
1738510132.097258,35.1,4.91,0.00,3.04,0.62
1738510132.197285,35.1,4.91,0.00,3.08,0.62
1738510132.297282,35.1,4.91,0.00,3.08,0.63
1738510132.397293,35.1,4.91,0.00,3.04,0.63
1738510132.497129,35.1,4.91,0.00,3.08,0.63
1738510132.597317,34.2,4.91,0.00,3.08,0.62
1738510132.697209,34.2,4.91,0.00,3.04,0.62
1738510132.797281,34.2,4.91,0.00,3.04,0.63
1738510132.897267,34.2,4.91,0.00,3.04,0.63
1738510132.997175,34.2,4.91,0.00,3.04,0.62
1738510133.097331,34.2,4.91,0.00,3.04,0.62
1738510133.197267,34.2,4.91,0.00,3.04,0.62
1738510133.297283,34.2,4.91,0.00,3.04,0.62
1738510133.397226,34.2,4.91,0.00,3.04,0.62
1738510133.497269,35.1,4.91,0.00,3.04,0.62
1738510133.597304,35.1,4.91,0.00,3.04,0.63
1738510133.697286,35.1,4.91,0.00,3.04,0.63
1738510133.797275,35.1,4.91,0.00,3.04,0.63
1738510133.897238,35.1,4.91,0.00,2.98,0.62
1738510133.997259,35.1,4.91,0.00,3.04,0.62
1738510134.097298,35.1,4.91,0.00,3.04,0.63
1738510134.196841,35.1,4.91,0.00,3.04,0.62
1738510134.296886,34.2,4.91,0.00,3.04,0.62
1738510134.396963,34.2,4.91,0.00,3.08,0.63
1738510134.497256,34.2,4.91,0.00,3.04,0.62
1738510134.597211,34.2,4.91,0.00,3.04,0.62
1738510134.697199,34.2,4.91,0.00,3.04,0.63
1738510134.797250,34.2,4.91,0.00,3.04,0.62
1738510134.897285,34.2,4.91,0.00,3.04,0.63
