timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510007.504979,34.2,4.90,0.00,3.04,0.62
1738510007.605118,33.3,4.91,0.00,3.08,0.62
1738510007.705182,33.3,4.91,0.00,3.04,0.63
1738510007.805249,33.3,4.91,0.00,3.04,0.62
1738510007.905223,33.3,4.91,0.00,3.04,0.62
1738510008.005255,33.3,4.91,0.00,3.04,0.62
1738510008.105207,33.3,4.91,0.00,3.04,0.62
1738510008.205293,33.3,4.90,0.00,3.04,0.62
1738510008.305216,33.3,4.91,0.00,3.04,0.62
1738510008.405464,33.3,4.91,0.00,3.04,0.62
1738510008.505492,33.3,4.91,0.00,3.04,0.62
1738510008.605253,33.3,4.91,0.00,3.04,0.63
1738510008.705266,33.3,4.91,0.00,3.04,0.62
1738510008.805158,33.3,4.91,0.00,3.04,0.62
1738510008.905126,33.3,4.91,0.00,3.04,0.62
1738510009.005372,33.3,4.91,0.00,3.08,0.63
1738510009.104923,33.3,4.91,0.00,3.04,0.62
1738510009.205328,33.3,4.91,0.00,3.04,0.62
1738510009.304957,34.2,4.91,0.00,3.04,0.62
1738510009.405091,34.2,4.91,0.00,3.04,0.63
1738510009.505357,34.2,4.91,0.00,3.04,0.62
1738510009.605219,34.2,4.91,0.00,3.04,0.62
1738510009.704928,34.2,4.91,0.00,3.04,0.63
1738510009.805243,34.2,4.91,0.00,3.04,0.62
1738510009.905310,34.2,4.91,0.00,3.04,0.63
1738510010.005309,34.2,4.91,0.00,3.04,0.62
1738510010.105333,34.2,4.91,0.00,3.08,0.63
1738510010.205322,34.2,4.91,0.00,3.04,0.62
1738510010.305294,34.2,4.91,0.00,3.04,0.62
1738510010.405245,34.2,4.91,0.00,3.04,0.62
1738510010.505231,34.2,4.91,0.00,3.04,0.63
1738510010.605314,34.2,4.91,0.00,3.04,0.62
1738510010.705138,34.2,4.91,0.00,3.04,0.63
1738510010.804984,34.2,4.91,0.00,3.04,0.62
1738510010.905271,34.2,4.91,0.00,3.04,0.63
1738510011.005270,34.2,4.91,0.00,3.04,0.62
1738510011.105306,34.2,4.91,0.00,3.04,0.62
1738510011.205366,34.2,4.91,0.00,3.04,0.62
1738510011.305249,34.2,4.91,0.00,3.04,0.63
1738510011.405261,34.2,4.91,0.00,3.04,0.63
1738510011.505243,34.2,4.91,0.00,3.04,0.62
1738510011.604975,34.2,4.91,0.00,3.08,0.62
1738510011.705332,34.2,4.91,0.00,3.04,0.62
1738510011.805358,34.2,4.91,0.00,3.04,0.62
1738510011.905218,34.2,4.91,0.00,3.04,0.62
1738510012.005279,34.2,4.91,0.00,3.04,0.62
1738510012.105279,34.2,4.91,0.00,3.04,0.62
1738510012.205297,34.2,4.91,0.00,3.04,0.62
1738510012.305364,34.2,4.91,0.00,3.04,0.62
1738510012.405346,34.2,4.91,0.00,3.04,0.63
1738510012.505374,34.2,4.91,0.00,3.04,0.62
1738510012.605174,34.2,4.91,0.00,3.04,0.62
1738510012.705078,34.2,4.91,0.00,3.04,0.62
1738510012.805304,34.2,4.91,0.00,3.04,0.63
1738510012.905287,34.2,4.91,0.00,3.04,0.63
1738510013.005258,34.2,4.91,0.00,3.04,0.63
1738510013.105254,34.2,4.91,0.00,3.04,0.62
1738510013.205315,34.2,4.91,0.00,3.04,0.62
1738510013.305217,34.2,4.91,0.00,3.04,0.63
1738510013.405241,34.2,4.91,0.00,3.04,0.62
1738510013.505297,34.2,4.91,0.00,3.04,0.63
1738510013.605082,34.2,4.91,0.00,3.04,0.63
1738510013.705228,34.2,4.91,0.00,3.04,0.62
1738510013.805201,34.2,4.91,0.00,3.04,0.63
1738510013.905237,34.2,4.91,0.00,3.04,0.63
1738510014.005267,34.2,4.91,0.00,3.04,0.63
1738510014.105245,34.2,4.91,0.00,3.04,0.62
1738510014.205212,34.2,4.91,0.00,3.04,0.63
1738510014.305297,34.2,4.91,0.00,3.04,0.62
1738510014.405199,34.2,4.91,0.00,3.04,0.62
1738510014.505197,34.2,4.91,0.00,3.04,0.63
1738510014.605122,34.2,4.91,0.00,3.04,0.62
1738510014.705252,34.2,4.91,0.00,3.04,0.62
1738510014.805114,34.2,4.91,0.00,3.04,0.62
1738510014.905315,34.2,4.91,0.00,3.04,0.63
1738510015.005251,34.2,4.91,0.00,3.04,0.62
1738510015.105242,34.2,4.91,0.00,3.08,0.62
1738510015.205321,34.2,4.91,0.00,3.04,0.62
1738510015.305242,34.2,4.91,0.00,3.04,0.62
1738510015.404911,34.2,4.91,0.00,3.04,0.62
1738510015.505222,34.2,4.91,0.00,3.04,0.62
1738510015.605240,34.2,4.91,0.00,3.04,0.62
1738510015.705226,34.2,4.91,0.00,3.04,0.62
1738510015.805359,34.2,4.91,0.00,3.04,0.63
1738510015.905247,34.2,4.91,0.00,3.04,0.62
1738510016.005263,34.2,4.91,0.00,3.04,0.62
1738510016.105291,34.2,4.91,0.00,3.04,0.62
1738510016.205329,34.2,4.91,0.00,3.04,0.63
1738510016.305202,34.2,4.91,0.00,3.04,0.62
1738510016.405275,34.2,4.91,0.00,3.08,0.62
1738510016.505307,34.2,4.91,0.00,3.04,0.62
1738510016.605262,34.2,4.91,0.00,3.04,0.62
1738510016.705307,34.2,4.91,0.00,3.08,0.63
1738510016.805312,34.2,4.91,0.00,3.04,0.63
1738510016.905166,34.2,4.91,0.00,3.08,0.62
1738510017.005287,34.2,4.91,0.00,3.04,0.62
1738510017.105252,34.2,4.91,0.00,3.04,0.62
1738510017.205296,34.2,4.91,0.00,3.08,0.62
1738510017.305238,34.2,4.91,0.00,3.04,0.62
1738510017.405351,34.2,4.91,0.00,3.08,0.62
1738510017.505255,34.2,4.91,0.00,3.04,0.63
1738510017.605232,34.2,4.91,0.00,3.08,0.63
1738510017.705321,34.2,4.91,0.00,3.04,0.62
1738510017.805259,34.2,4.91,0.00,3.04,0.62
1738510017.905404,34.2,4.91,0.00,3.04,0.62
1738510018.005206,34.2,4.91,0.00,3.08,0.63
1738510018.105280,34.2,4.91,0.00,3.04,0.62
1738510018.205265,34.2,4.91,0.00,3.04,0.62
1738510018.304973,34.2,4.91,0.00,3.04,0.63
1738510018.405203,34.2,4.91,0.00,3.04,0.63
1738510018.505266,33.3,4.91,0.00,3.04,0.62
1738510018.605310,33.3,4.91,0.00,3.08,0.62
1738510018.705253,33.3,4.91,0.00,3.04,0.62
1738510018.805232,33.3,4.91,0.00,3.04,0.62
1738510018.905275,33.3,4.91,0.00,3.04,0.62
1738510019.005288,33.3,4.91,0.00,3.04,0.63
1738510019.105269,33.3,4.91,0.00,3.04,0.63
1738510019.205273,33.3,4.91,0.00,3.04,0.62
1738510019.305278,33.3,4.91,0.00,3.04,0.62
1738510019.404931,34.2,4.91,0.00,3.04,0.63
1738510019.504900,34.2,4.91,0.00,3.04,0.62
1738510019.604964,34.2,4.91,0.00,3.08,0.62
1738510019.704801,34.2,4.91,0.00,3.04,0.62
1738510019.805246,34.2,4.91,0.00,3.04,0.62
1738510019.905239,34.2,4.91,0.00,3.08,0.63
1738510020.005249,34.2,4.91,0.00,3.04,0.62
1738510020.105289,34.2,4.91,0.00,3.04,0.62
1738510020.205092,33.3,4.91,0.00,3.08,0.62
1738510020.305351,33.3,4.91,0.00,3.04,0.62
1738510020.405248,33.3,4.91,0.00,3.04,0.62
1738510020.505280,33.3,4.91,0.00,3.04,0.62
1738510020.605080,33.3,4.91,0.00,3.04,0.63
1738510020.705173,33.3,4.91,0.00,3.08,0.62
1738510020.805263,33.3,4.91,0.00,3.04,0.62
1738510020.905311,33.3,4.91,0.00,3.04,0.62
1738510021.005294,33.3,4.91,0.00,3.04,0.63
1738510021.105288,34.2,4.91,0.00,3.08,0.62
1738510021.205287,34.2,4.91,0.00,2.98,0.62
1738510021.305370,34.2,4.91,0.00,3.04,0.62
1738510021.405277,34.2,4.91,0.00,3.04,0.62
1738510021.505271,34.2,4.91,0.00,3.04,0.62
1738510021.605319,34.2,4.91,0.00,3.04,0.63
1738510021.705266,34.2,4.91,0.00,3.04,0.62
1738510021.805061,34.2,4.91,0.00,3.04,0.63
1738510021.905090,34.2,4.91,0.00,3.04,0.62
1738510022.005349,34.2,4.91,0.00,3.04,0.63
1738510022.105223,34.2,4.91,0.00,3.04,0.63
1738510022.205263,34.2,4.91,0.00,3.08,0.63
1738510022.305255,34.2,4.91,0.00,3.04,0.62
