timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510135.623360,34.2,4.91,0.00,3.04,0.62
1738510135.723519,34.2,4.91,0.00,3.08,0.63
1738510135.823328,34.2,4.91,0.00,3.04,0.62
1738510135.923615,34.2,4.91,0.00,3.04,0.62
1738510136.023722,34.2,4.91,0.00,3.08,0.62
1738510136.123666,34.2,4.91,0.00,2.98,0.62
1738510136.223638,34.2,4.91,0.00,3.04,0.63
1738510136.323651,34.2,4.91,0.00,3.04,0.62
1738510136.423676,34.2,4.91,0.00,3.04,0.62
1738510136.523679,34.2,4.91,0.00,3.08,0.62
1738510136.623366,34.2,4.91,0.00,3.04,0.62
1738510136.723602,34.2,4.91,0.00,3.04,0.63
1738510136.823655,34.2,4.91,0.00,3.08,0.62
1738510136.923690,34.2,4.91,0.00,3.04,0.63
1738510137.023672,34.2,4.91,0.00,3.04,0.63
1738510137.123659,34.2,4.91,0.00,3.04,0.62
1738510137.223649,34.2,4.91,0.00,3.04,0.62
1738510137.323457,34.2,4.91,0.00,3.04,0.63
1738510137.423655,34.2,4.91,0.00,3.04,0.62
1738510137.523534,34.2,4.91,0.00,3.08,0.63
1738510137.623747,33.3,4.91,0.00,3.08,0.63
1738510137.723652,33.3,4.91,0.00,3.04,0.62
1738510137.823657,33.3,4.91,0.00,3.08,0.62
1738510137.923674,33.3,4.91,0.00,3.04,0.62
1738510138.023737,33.3,4.91,0.00,3.04,0.62
1738510138.123434,33.3,4.91,0.00,3.08,0.62
1738510138.223787,33.3,4.91,0.00,3.04,0.62
1738510138.323666,33.3,4.91,0.00,3.04,0.62
1738510138.423661,33.3,4.91,0.00,3.08,0.63
1738510138.523661,34.2,4.91,0.00,3.04,0.63
1738510138.623567,34.2,4.91,0.00,3.08,0.62
1738510138.723708,34.2,4.91,0.00,3.04,0.62
1738510138.823690,34.2,4.91,0.00,3.04,0.63
1738510138.923686,34.2,4.91,0.00,3.04,0.62
1738510139.023660,34.2,4.91,0.00,3.04,0.63
1738510139.123412,34.2,4.91,0.00,3.04,0.62
1738510139.223697,34.2,4.91,0.00,3.04,0.63
1738510139.323743,35.1,4.91,0.00,3.08,0.62
1738510139.423321,35.1,4.91,0.00,3.04,0.62
1738510139.523719,35.1,4.91,0.00,3.04,0.62
1738510139.623743,35.1,4.91,0.00,3.04,0.63
1738510139.723651,35.1,4.91,0.00,3.08,0.63
1738510139.823650,35.1,4.91,0.00,3.04,0.63
1738510139.923552,35.1,4.91,0.00,3.08,0.62
1738510140.023583,35.1,4.91,0.00,3.08,0.63
1738510140.123685,35.1,4.91,0.00,3.04,0.62
1738510140.223681,34.2,4.91,0.00,3.08,0.63
1738510140.323690,34.2,4.91,0.00,3.08,0.63
1738510140.423678,34.2,4.91,0.00,3.04,0.63
1738510140.523690,34.2,4.91,0.00,3.04,0.63
1738510140.623706,34.2,4.91,0.00,3.04,0.62
1738510140.723353,34.2,4.91,0.00,3.04,0.62
1738510140.823658,34.2,4.91,0.00,3.08,0.63
1738510140.923624,34.2,4.91,0.00,3.04,0.63
1738510141.023564,34.2,4.91,0.00,3.04,0.62
1738510141.123611,34.2,4.91,0.00,3.04,0.62
1738510141.223411,34.2,4.91,0.00,3.04,0.62
1738510141.323690,34.2,4.91,0.00,3.08,0.63
