timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508646.967486,36.0,4.96,0.00,2.62,0.53
1738508647.067724,31.6,4.96,0.00,2.62,0.53
1738508647.167901,31.6,4.96,0.00,2.62,0.53
1738508647.267896,31.6,4.96,0.00,2.62,0.53
1738508647.367872,31.6,4.96,0.00,2.62,0.53
1738508647.467896,31.6,4.96,0.00,2.62,0.54
1738508647.567970,31.6,4.96,0.00,2.62,0.53
1738508647.667807,31.6,4.96,0.00,2.62,0.53
1738508647.767860,31.6,4.96,0.00,2.62,0.54
1738508647.867921,29.8,4.96,0.00,2.62,0.53
1738508647.967882,29.8,4.96,0.00,2.62,0.53
1738508648.067927,29.8,4.96,0.00,2.62,0.53
1738508648.167928,29.8,4.96,0.00,2.62,0.53
1738508648.267892,29.8,4.96,0.00,2.62,0.53
1738508648.367889,29.8,4.96,0.00,2.62,0.53
1738508648.467990,29.8,4.96,0.00,2.62,0.53
1738508648.567931,29.8,4.96,0.00,2.62,0.53
1738508648.667893,28.9,4.96,0.00,2.62,0.53
1738508648.767932,28.9,4.96,0.00,2.62,0.53
1738508648.867868,28.9,4.96,0.00,2.62,0.52
1738508648.967875,28.9,4.96,0.00,2.62,0.53
1738508649.067936,28.9,4.96,0.00,2.62,0.54
1738508649.167805,28.9,4.96,0.00,2.62,0.53
1738508649.267879,28.9,4.96,0.00,2.68,0.54
1738508649.367906,28.9,4.96,0.00,2.62,0.53
1738508649.467943,28.9,4.96,0.00,2.62,0.53
1738508649.567932,28.1,4.96,0.00,2.62,0.53
1738508649.667913,28.1,4.96,0.00,2.62,0.53
1738508649.767948,28.1,4.96,0.00,2.62,0.54
1738508649.867918,28.1,4.96,0.00,2.62,0.53
1738508649.967899,28.1,4.96,0.00,2.62,0.53
1738508650.067944,28.1,4.96,0.00,2.62,0.53
1738508650.167850,28.1,4.96,0.00,2.58,0.53
1738508650.267931,28.1,4.96,0.00,2.62,0.53
1738508650.367837,28.9,4.96,0.00,2.62,0.53
1738508650.467943,28.9,4.96,0.00,2.62,0.54
1738508650.567824,28.9,4.96,0.00,2.62,0.53
1738508650.667903,28.9,4.96,0.00,2.62,0.53
1738508650.767907,28.9,4.96,0.00,2.62,0.53
1738508650.867929,28.9,4.96,0.00,2.58,0.53
1738508650.967945,28.9,4.96,0.00,2.62,0.53
1738508651.067954,28.9,4.96,0.00,2.62,0.53
1738508651.167928,28.9,4.96,0.00,2.62,0.54
1738508651.267929,28.1,4.96,0.00,2.62,0.53
1738508651.367946,28.1,4.96,0.00,2.62,0.54
1738508651.467924,28.1,4.96,0.00,2.62,0.53
1738508651.567973,28.1,4.96,0.00,2.58,0.53
1738508651.667935,28.1,4.96,0.00,2.62,0.54
1738508651.767911,28.1,4.96,0.00,2.62,0.53
1738508651.867922,28.1,4.96,0.00,2.62,0.53
1738508651.967904,28.1,4.96,0.00,2.62,0.53
1738508652.067906,28.1,4.96,0.00,2.62,0.53
1738508652.167914,28.1,4.96,0.00,2.62,0.53
1738508652.267925,28.1,4.96,0.00,2.62,0.53
1738508652.367927,28.1,4.96,0.00,2.62,0.53
1738508652.467886,28.1,4.96,0.00,2.62,0.53
1738508652.567830,28.1,4.96,0.00,2.62,0.53
1738508652.667909,28.1,4.96,0.00,2.62,0.53
1738508652.767899,28.1,4.96,0.00,2.62,0.53
1738508652.867891,28.1,4.96,0.00,2.62,0.53
1738508652.967901,28.1,4.96,0.00,2.62,0.53
1738508653.067948,28.1,4.96,0.00,2.62,0.53
1738508653.167922,28.1,4.96,0.00,2.62,0.53
1738508653.267841,28.1,4.96,0.00,2.62,0.53
1738508653.367741,28.1,4.96,0.00,2.62,0.53
1738508653.467897,28.1,4.96,0.00,2.62,0.53
1738508653.567972,28.1,4.96,0.00,2.62,0.53
1738508653.667997,28.1,4.96,0.00,2.62,0.53
1738508653.767864,27.2,4.96,0.00,2.62,0.53
1738508653.867907,27.2,4.96,0.00,2.62,0.53
1738508653.967939,27.2,4.96,0.00,2.62,0.53
1738508654.067938,27.2,4.96,0.00,2.62,0.53
1738508654.167897,27.2,4.96,0.00,2.62,0.53
1738508654.267943,27.2,4.96,0.00,2.62,0.53
1738508654.367951,27.2,4.96,0.00,2.62,0.53
1738508654.467990,27.2,4.96,0.00,2.62,0.53
1738508654.567947,28.1,4.96,0.00,2.62,0.53
1738508654.667934,28.1,4.96,0.00,2.62,0.53
1738508654.767893,28.1,4.96,0.00,2.62,0.53
1738508654.867922,28.1,4.96,0.00,2.62,0.53
1738508654.968012,28.1,4.96,0.00,2.62,0.53
1738508655.067971,28.1,4.96,0.00,2.62,0.53
1738508655.167925,28.1,4.96,0.00,2.62,0.53
1738508655.267935,28.1,4.96,0.00,2.68,0.53
1738508655.367940,28.1,4.96,0.00,2.62,0.53
1738508655.467829,28.1,4.96,0.00,2.62,0.53
1738508655.567854,28.1,4.96,0.00,2.62,0.52
1738508655.667923,28.1,4.96,0.00,2.62,0.53
1738508655.767918,28.1,4.96,0.00,2.62,0.53
1738508655.867976,28.1,4.96,0.00,2.62,0.53
1738508655.967961,28.1,4.96,0.00,2.62,0.53
1738508656.068001,28.1,4.96,0.00,2.62,0.53
1738508656.168018,28.1,4.96,0.00,2.62,0.53
1738508656.267938,27.2,4.96,0.00,2.62,0.53
1738508656.367905,27.2,4.96,0.00,2.62,0.53
1738508656.467979,27.2,4.96,0.00,2.62,0.53
1738508656.567984,27.2,4.96,0.00,2.62,0.53
1738508656.667944,27.2,4.96,0.00,2.62,0.53
