timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509165.523000,34.2,4.96,0.00,2.62,0.53
1738509165.623258,34.2,4.96,0.00,2.62,0.54
1738509165.723441,34.2,4.96,0.00,2.62,0.54
1738509165.823431,34.2,4.96,0.00,2.68,0.53
1738509165.923391,34.2,4.96,0.00,2.62,0.54
1738509166.023439,34.2,4.96,0.00,2.62,0.54
1738509166.123397,34.2,4.96,0.00,2.62,0.53
1738509166.223495,29.8,4.96,0.00,2.62,0.53
1738509166.323501,29.8,4.96,0.00,2.68,0.54
1738509166.423446,29.8,4.96,0.00,2.62,0.53
1738509166.523470,29.8,4.96,0.00,2.62,0.54
1738509166.623461,29.8,4.96,0.00,2.62,0.53
1738509166.723429,29.8,4.96,0.00,2.62,0.54
1738509166.823427,29.8,4.96,0.00,2.62,0.54
1738509166.923398,29.8,4.96,0.00,2.62,0.54
1738509167.023504,29.8,4.96,0.00,2.62,0.54
1738509167.123111,28.9,4.96,0.00,2.62,0.53
1738509167.223409,28.9,4.96,0.00,2.68,0.53
1738509167.323200,28.9,4.96,0.00,2.62,0.53
1738509167.423164,28.9,4.96,0.00,2.68,0.54
1738509167.523314,28.9,4.96,0.00,2.68,0.53
1738509167.623279,28.9,4.96,0.00,2.62,0.53
1738509167.723428,28.9,4.96,0.00,2.62,0.54
1738509167.823470,28.9,4.96,0.00,2.62,0.53
1738509167.923409,28.9,4.96,0.00,2.62,0.53
1738509168.023426,28.9,4.96,0.00,2.62,0.53
1738509168.123428,28.9,4.96,0.00,2.62,0.53
1738509168.223431,28.9,4.96,0.00,2.68,0.53
1738509168.323523,28.9,4.96,0.00,2.68,0.53
1738509168.423412,28.9,4.96,0.00,2.62,0.54
1738509168.523426,28.9,4.96,0.00,2.62,0.53
1738509168.623428,28.9,4.96,0.00,2.62,0.53
1738509168.723369,28.9,4.96,0.00,2.62,0.54
1738509168.823443,28.9,4.96,0.00,2.62,0.54
1738509168.923372,28.9,4.96,0.00,2.62,0.54
1738509169.023414,28.9,4.96,0.00,2.62,0.53
1738509169.123404,28.9,4.96,0.00,2.62,0.53
1738509169.223389,28.9,4.96,0.00,2.68,0.54
1738509169.323419,28.9,4.96,0.00,2.62,0.53
1738509169.423444,28.9,4.96,0.00,2.62,0.53
1738509169.523399,28.9,4.96,0.00,2.62,0.53
1738509169.623438,28.1,4.96,0.00,2.62,0.53
1738509169.723361,28.1,4.96,0.00,2.62,0.53
1738509169.823398,28.1,4.96,0.00,2.62,0.54
1738509169.923254,28.1,4.96,0.00,2.62,0.53
1738509170.023429,28.1,4.96,0.00,2.62,0.54
1738509170.123400,28.1,4.96,0.00,2.68,0.54
1738509170.223415,28.1,4.96,0.00,2.62,0.53
1738509170.323386,28.1,4.96,0.00,2.62,0.53
1738509170.423394,28.1,4.96,0.00,2.62,0.54
1738509170.523396,28.1,4.96,0.00,2.62,0.53
1738509170.623406,28.1,4.96,0.00,2.62,0.53
1738509170.723418,28.1,4.96,0.00,2.62,0.54
1738509170.823389,28.1,4.96,0.00,2.62,0.53
1738509170.923255,28.1,4.96,0.00,2.68,0.53
1738509171.023443,28.1,4.96,0.00,2.62,0.53
1738509171.123418,28.1,4.96,0.00,2.62,0.53
1738509171.223388,28.1,4.96,0.00,2.62,0.53
1738509171.323444,28.1,4.96,0.00,2.68,0.53
1738509171.423368,28.1,4.96,0.00,2.62,0.54
1738509171.523319,28.1,4.96,0.00,2.68,0.54
1738509171.623399,28.1,4.96,0.00,2.68,0.54
1738509171.723292,28.1,4.96,0.00,2.68,0.54
1738509171.823405,28.1,4.96,0.00,2.58,0.53
1738509171.923175,28.1,4.96,0.00,2.68,0.54
1738509172.023377,28.1,4.96,0.00,2.62,0.53
1738509172.123376,28.1,4.96,0.00,2.68,0.54
1738509172.223428,28.1,4.96,0.00,2.68,0.54
1738509172.323404,28.1,4.96,0.00,2.68,0.54
1738509172.423266,28.1,4.96,0.00,2.62,0.53
1738509172.523385,28.1,4.96,0.00,2.62,0.54
1738509172.623378,28.1,4.96,0.00,2.68,0.54
1738509172.723391,28.1,4.96,0.00,2.62,0.53
1738509172.823384,28.1,4.96,0.00,2.62,0.53
1738509172.923210,28.1,4.96,0.00,2.62,0.53
1738509173.023319,28.1,4.96,0.00,2.62,0.54
1738509173.123347,28.1,4.96,0.00,2.68,0.54
1738509173.223430,28.1,4.96,0.00,2.68,0.54
1738509173.323392,28.1,4.96,0.00,2.62,0.54
1738509173.423388,28.1,4.96,0.00,2.68,0.54
1738509173.523377,28.1,4.96,0.00,2.68,0.54
1738509173.623416,28.1,4.96,0.00,2.62,0.53
1738509173.723404,28.1,4.96,0.00,2.62,0.53
1738509173.823369,28.1,4.96,0.00,2.68,0.53
1738509173.923192,28.1,4.96,0.00,2.68,0.53
1738509174.023304,28.1,4.96,0.00,2.62,0.53
1738509174.123383,28.1,4.96,0.00,2.62,0.53
1738509174.223377,28.1,4.96,0.00,2.62,0.54
1738509174.323358,28.1,4.96,0.00,2.62,0.53
1738509174.423240,28.1,4.96,0.00,2.62,0.54
1738509174.523530,28.1,4.96,0.00,2.62,0.54
1738509174.623383,28.1,4.96,0.00,2.62,0.53
1738509174.723332,28.1,4.96,0.00,2.68,0.53
1738509174.823390,28.1,4.96,0.00,2.62,0.53
1738509174.923235,28.1,4.96,0.00,2.62,0.53
1738509175.023383,28.1,4.96,0.00,2.68,0.54
1738509175.123363,28.1,4.96,0.00,2.68,0.54
1738509175.223392,28.1,4.96,0.00,2.62,0.53
1738509175.323438,28.1,4.96,0.00,2.62,0.54
1738509175.423320,28.1,4.96,0.00,2.62,0.53
1738509175.523361,28.1,4.96,0.00,2.62,0.54
1738509175.623408,28.1,4.96,0.00,2.62,0.54
1738509175.723386,28.1,4.96,0.00,2.62,0.53
1738509175.823396,28.1,4.96,0.00,2.62,0.54
1738509175.923200,28.1,4.96,0.00,2.62,0.53
1738509176.023404,28.1,4.96,0.00,2.62,0.53
1738509176.123354,28.1,4.96,0.00,2.62,0.53
1738509176.223365,28.1,4.96,0.00,2.62,0.53
1738509176.323403,28.1,4.96,0.00,2.68,0.53
1738509176.423372,28.1,4.96,0.00,2.68,0.54
1738509176.523356,28.1,4.96,0.00,2.62,0.53
1738509176.623579,28.1,4.96,0.00,2.68,0.54
1738509176.723371,28.1,4.96,0.00,2.68,0.54
1738509176.823380,28.1,4.96,0.00,2.62,0.53
1738509176.923203,28.1,4.96,0.00,2.68,0.54
1738509177.023451,28.1,4.96,0.00,2.62,0.53
1738509177.123388,27.2,4.96,0.00,2.68,0.54
1738509177.223425,27.2,4.96,0.00,2.68,0.54
1738509177.323366,27.2,4.96,0.00,2.68,0.54
1738509177.423395,27.2,4.96,0.00,2.62,0.54
1738509177.523419,27.2,4.96,0.00,2.68,0.54
1738509177.623418,27.2,4.96,0.00,2.62,0.53
1738509177.723195,27.2,4.96,0.00,2.62,0.54
1738509177.823292,27.2,4.96,0.00,2.68,0.54
1738509177.923269,27.2,4.96,0.00,2.62,0.53
1738509178.023374,27.2,4.96,0.00,2.62,0.53
1738509178.123416,27.2,4.96,0.00,2.62,0.54
1738509178.223397,27.2,4.96,0.00,2.68,0.53
1738509178.323376,27.2,4.96,0.00,2.62,0.53
1738509178.423414,27.2,4.96,0.00,2.62,0.54
1738509178.523235,27.2,4.96,0.00,2.62,0.53
1738509178.623411,27.2,4.96,0.00,2.62,0.54
1738509178.723224,27.2,4.96,0.00,2.62,0.54
1738509178.823289,27.2,4.96,0.00,2.62,0.53
1738509178.923318,27.2,4.96,0.00,2.62,0.53
1738509179.023288,27.2,4.96,0.00,2.62,0.53
1738509179.123314,27.2,4.96,0.00,2.62,0.53
1738509179.223193,27.2,4.96,0.00,2.62,0.54
1738509179.323312,27.2,4.96,0.00,2.68,0.54
1738509179.423170,27.2,4.96,0.00,2.68,0.53
1738509179.523300,27.2,4.96,0.00,2.68,0.54
1738509179.623211,27.2,4.96,0.00,2.68,0.54
1738509179.723387,27.2,4.96,0.00,2.62,0.54
1738509179.823361,27.2,4.96,0.00,2.68,0.53
1738509179.923267,27.2,4.96,0.00,2.62,0.54
1738509180.023363,27.2,4.96,0.00,2.62,0.54
1738509180.123420,27.2,4.96,0.00,2.62,0.54
1738509180.223394,27.2,4.96,0.00,2.62,0.53
1738509180.323330,27.2,4.96,0.00,2.62,0.54
