timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507718.975328,33.3,4.96,0.00,2.62,0.53
1738507719.075260,33.3,4.96,0.00,2.58,0.52
1738507719.175352,33.3,4.96,0.00,2.58,0.53
1738507719.275212,28.9,4.96,0.00,2.62,0.53
1738507719.375315,28.9,4.96,0.00,2.58,0.53
1738507719.475387,28.9,4.96,0.00,2.58,0.53
1738507719.575367,28.9,4.96,0.00,2.62,0.53
1738507719.675362,28.9,4.96,0.00,2.62,0.53
1738507719.775381,28.9,4.96,0.00,2.62,0.53
1738507719.875321,28.9,4.96,0.00,2.62,0.53
1738507719.975292,28.9,4.96,0.00,2.62,0.53
1738507720.075305,28.1,4.96,0.00,2.58,0.52
1738507720.175302,28.1,4.96,0.00,2.62,0.53
1738507720.275346,28.1,4.96,0.00,2.62,0.53
1738507720.375308,28.1,4.96,0.00,2.62,0.53
1738507720.475351,28.1,4.96,0.00,2.62,0.53
1738507720.575374,28.1,4.96,0.00,2.62,0.53
1738507720.675351,28.1,4.96,0.00,2.62,0.53
1738507720.775355,28.1,4.96,0.00,2.62,0.53
1738507720.875335,28.1,4.96,0.00,2.62,0.53
1738507720.975305,28.1,4.96,0.00,2.58,0.53
1738507721.075241,28.1,4.96,0.00,2.62,0.53
1738507721.175354,28.1,4.96,0.00,2.62,0.52
1738507721.275392,28.1,4.96,0.00,2.62,0.53
1738507721.375320,28.1,4.96,0.00,2.62,0.53
1738507721.475341,28.1,4.96,0.00,2.58,0.53
1738507721.575417,28.1,4.96,0.00,2.62,0.53
1738507721.675351,28.1,4.96,0.00,2.62,0.53
1738507721.775337,27.2,4.96,0.00,2.62,0.53
1738507721.875284,27.2,4.96,0.00,2.58,0.53
1738507721.975456,27.2,4.96,0.00,2.62,0.53
1738507722.075294,27.2,4.96,0.00,2.58,0.53
1738507722.175366,27.2,4.96,0.00,2.58,0.53
1738507722.275346,27.2,4.96,0.00,2.62,0.53
1738507722.375355,27.2,4.96,0.00,2.62,0.53
1738507722.475343,27.2,4.96,0.00,2.58,0.52
1738507722.575399,27.2,4.96,0.00,2.62,0.52
1738507722.675331,27.2,4.96,0.00,2.62,0.53
1738507722.775387,27.2,4.96,0.00,2.62,0.53
1738507722.875363,27.2,4.96,0.00,2.58,0.52
1738507722.975317,27.2,4.96,0.00,2.62,0.53
1738507723.075331,27.2,4.96,0.00,2.62,0.53
1738507723.175294,27.2,4.96,0.00,2.62,0.53
1738507723.275388,27.2,4.96,0.00,2.62,0.53
1738507723.375344,27.2,4.96,0.00,2.62,0.53
1738507723.475254,25.4,4.96,0.00,2.62,0.52
1738507723.575332,25.4,4.96,0.00,2.62,0.52
1738507723.675347,25.4,4.96,0.00,2.62,0.53
1738507723.775366,25.4,4.96,0.00,2.58,0.53
1738507723.875386,25.4,4.96,0.00,2.62,0.53
1738507723.975335,25.4,4.96,0.00,2.58,0.52
1738507724.075286,25.4,4.96,0.00,2.62,0.53
1738507724.175367,25.4,4.96,0.00,2.62,0.53
1738507724.275226,26.3,4.96,0.00,2.58,0.53
1738507724.375337,26.3,4.96,0.00,2.62,0.53
1738507724.475424,26.3,4.96,0.00,2.62,0.53
1738507724.575388,26.3,4.96,0.00,2.62,0.53
1738507724.675374,26.3,4.96,0.00,2.62,0.53
1738507724.775337,26.3,4.96,0.00,2.58,0.53
1738507724.875364,26.3,4.96,0.00,2.62,0.53
1738507724.975348,26.3,4.96,0.00,2.62,0.52
1738507725.075365,26.3,4.96,0.00,2.62,0.53
1738507725.175363,26.3,4.96,0.00,2.62,0.53
1738507725.275252,26.3,4.96,0.00,2.58,0.53
1738507725.375290,26.3,4.96,0.00,2.62,0.53
1738507725.475388,26.3,4.96,0.00,2.58,0.53
1738507725.575338,26.3,4.96,0.00,2.62,0.53
1738507725.675361,26.3,4.96,0.00,2.62,0.53
1738507725.775350,26.3,4.96,0.00,2.62,0.53
1738507725.875402,26.3,4.96,0.00,2.58,0.52
1738507725.975322,26.3,4.96,0.00,2.62,0.53
