timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508741.470030,32.5,4.92,0.00,2.92,0.60
1738508741.571612,32.5,4.92,0.00,2.94,0.60
1738508741.673159,32.5,4.92,0.00,2.94,0.60
1738508741.774805,33.3,4.92,0.00,2.94,0.60
1738508741.876420,33.3,4.92,0.00,2.94,0.60
1738508741.977950,33.3,4.92,0.00,2.94,0.60
1738508742.079435,33.3,4.92,0.00,2.94,0.60
1738508742.181150,33.3,4.92,0.00,2.94,0.60
1738508742.282669,33.3,4.92,0.00,2.94,0.59
1738508742.384295,33.3,4.92,0.00,2.94,0.60
1738508742.485867,33.3,4.92,0.00,2.92,0.60
1738508742.587431,33.3,4.92,0.00,2.92,0.60
1738508742.689023,33.3,4.92,0.00,2.94,0.60
1738508742.790603,33.3,4.92,0.00,2.94,0.60
1738508742.892196,33.3,4.92,0.00,2.94,0.60
1738508742.993779,33.3,4.92,0.00,2.94,0.60
1738508743.095344,33.3,4.92,0.00,2.92,0.60
1738508743.197030,33.3,4.92,0.00,2.94,0.60
1738508743.298442,33.3,4.92,0.00,2.94,0.60
1738508743.399883,33.3,4.92,0.00,2.94,0.60
1738508743.501657,33.3,4.92,0.00,2.94,0.60
1738508743.603348,33.3,4.92,0.00,2.94,0.60
1738508743.704896,33.3,4.92,0.00,2.94,0.60
1738508743.806517,33.3,4.92,0.00,2.94,0.60
1738508743.907937,33.3,4.92,0.00,2.94,0.60
1738508744.009629,33.3,4.92,0.00,2.94,0.60
1738508744.111163,33.3,4.92,0.00,2.94,0.60
1738508744.212866,33.3,4.92,0.00,2.92,0.60
1738508744.314326,33.3,4.92,0.00,2.92,0.60
1738508744.415905,33.3,4.92,0.00,2.92,0.60
1738508744.517432,33.3,4.92,0.00,2.94,0.60
1738508744.619053,33.3,4.92,0.00,2.94,0.60
1738508744.720648,33.3,4.92,0.00,2.94,0.60
1738508744.822370,33.3,4.92,0.00,2.94,0.60
1738508744.923774,33.3,4.92,0.00,2.94,0.60
1738508745.025495,33.3,4.92,0.00,2.94,0.60
1738508745.126956,33.3,4.92,0.00,2.94,0.60
1738508745.228551,32.5,4.92,0.00,2.94,0.60
1738508745.330149,32.5,4.92,0.00,2.92,0.60
1738508745.431709,32.5,4.92,0.00,2.94,0.60
1738508745.533214,32.5,4.92,0.00,2.94,0.60
1738508745.634826,32.5,4.92,0.00,2.94,0.60
1738508745.736415,32.5,4.92,0.00,2.92,0.60
1738508745.838034,32.5,4.92,0.00,2.94,0.60
1738508745.939619,32.5,4.92,0.00,2.92,0.60
1738508746.041198,32.5,4.92,0.00,2.92,0.60
1738508746.142788,32.5,4.92,0.00,2.94,0.60
1738508746.244349,32.5,4.92,0.00,2.94,0.60
1738508746.345925,32.5,4.92,0.00,2.94,0.60
1738508746.447494,32.5,4.92,0.00,2.94,0.60
1738508746.549083,32.5,4.92,0.00,2.94,0.60
1738508746.650636,32.5,4.92,0.00,2.94,0.60
1738508746.752265,32.5,4.92,0.00,2.92,0.60
1738508746.853619,32.5,4.92,0.00,2.94,0.60
1738508746.955098,32.5,4.92,0.00,2.94,0.60
1738508747.056963,32.5,4.92,0.00,2.94,0.60
1738508747.158535,32.5,4.92,0.00,2.92,0.60
1738508747.260134,32.5,4.92,0.00,2.94,0.60
1738508747.361747,32.5,4.92,0.00,2.94,0.60
1738508747.463320,32.5,4.92,0.00,2.94,0.60
1738508747.564675,32.5,4.92,0.00,2.94,0.60
1738508747.666486,32.5,4.92,0.00,2.94,0.60
1738508747.768077,32.5,4.92,0.00,2.94,0.60
1738508747.869725,32.5,4.92,0.00,2.92,0.60
1738508747.971245,32.5,4.92,0.00,2.94,0.60
1738508748.072654,32.5,4.92,0.00,2.94,0.60
1738508748.174379,32.5,4.92,0.00,2.94,0.60
1738508748.275961,32.5,4.92,0.00,2.92,0.60
1738508748.377489,32.5,4.92,0.00,2.94,0.61
1738508748.479102,32.5,4.92,0.00,2.94,0.60
1738508748.580683,33.3,4.92,0.00,2.92,0.60
1738508748.682234,33.3,4.92,0.00,2.94,0.60
1738508748.783904,33.3,4.92,0.00,2.94,0.60
1738508748.885469,33.3,4.92,0.00,2.92,0.60
1738508748.987041,33.3,4.92,0.00,2.94,0.60
1738508749.088620,33.3,4.92,0.00,2.94,0.60
1738508749.190160,33.3,4.92,0.00,2.94,0.60
1738508749.291744,33.3,4.92,0.00,2.94,0.60
1738508749.393319,32.5,4.92,0.00,2.94,0.60
1738508749.494920,32.5,4.92,0.00,2.94,0.60
1738508749.596484,32.5,4.92,0.00,2.94,0.60
1738508749.698073,32.5,4.92,0.00,2.94,0.60
1738508749.799659,32.5,4.92,0.00,2.92,0.59
1738508749.901297,32.5,4.92,0.00,2.94,0.59
1738508750.002806,32.5,4.92,0.00,2.94,0.60
1738508750.104489,32.5,4.92,0.00,2.94,0.60
1738508750.205977,33.3,4.92,0.00,2.92,0.60
1738508750.307699,33.3,4.92,0.00,2.94,0.60
1738508750.409165,33.3,4.92,0.00,2.94,0.61
1738508750.510566,33.3,4.92,0.00,2.94,0.60
1738508750.612310,33.3,4.92,0.00,2.92,0.59
1738508750.713647,33.3,4.92,0.00,2.94,0.60
1738508750.815474,33.3,4.92,0.00,2.94,0.60
1738508750.917028,33.3,4.92,0.00,2.92,0.60
1738508751.018598,32.5,4.92,0.00,2.94,0.60
1738508751.120241,32.5,4.92,0.00,2.94,0.60
1738508751.221830,32.5,4.92,0.00,2.92,0.60
1738508751.323404,32.5,4.92,0.00,2.94,0.60
1738508751.425020,32.5,4.92,0.00,2.94,0.60
