timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509257.904573,30.7,4.92,0.00,2.94,0.60
1738509258.004584,30.7,4.92,0.00,2.94,0.60
1738509258.104661,30.7,4.92,0.00,2.94,0.60
1738509258.205004,30.7,4.92,0.00,2.94,0.60
1738509258.304984,30.7,4.92,0.00,2.94,0.60
1738509258.405042,30.7,4.92,0.00,2.94,0.60
1738509258.504911,31.6,4.92,0.00,2.94,0.60
1738509258.605062,31.6,4.92,0.00,2.94,0.60
1738509258.705014,31.6,4.92,0.00,2.94,0.60
1738509258.805037,31.6,4.92,0.00,2.94,0.60
1738509258.905017,31.6,4.92,0.00,2.94,0.60
1738509259.004897,31.6,4.92,0.00,2.94,0.60
1738509259.104959,31.6,4.92,0.00,2.94,0.60
1738509259.205122,31.6,4.92,0.00,2.92,0.60
1738509259.304908,31.6,4.92,0.00,2.94,0.60
1738509259.404643,31.6,4.92,0.00,2.94,0.60
1738509259.504985,31.6,4.92,0.00,2.94,0.60
1738509259.604985,31.6,4.92,0.00,2.94,0.60
1738509259.705021,31.6,4.92,0.00,2.92,0.60
1738509259.805031,31.6,4.92,0.00,2.92,0.60
1738509259.904645,31.6,4.92,0.00,2.94,0.60
1738509260.005012,31.6,4.92,0.00,2.94,0.60
1738509260.105111,31.6,4.92,0.00,2.94,0.60
1738509260.205074,32.5,4.92,0.00,2.94,0.60
1738509260.304946,32.5,4.92,0.00,2.92,0.60
1738509260.404926,32.5,4.92,0.00,2.94,0.59
1738509260.505033,32.5,4.92,0.00,2.94,0.60
1738509260.605070,32.5,4.92,0.00,2.94,0.60
1738509260.705134,32.5,4.92,0.00,2.94,0.60
1738509260.804996,32.5,4.92,0.00,2.92,0.60
1738509260.905072,32.5,4.92,0.00,2.92,0.60
1738509261.004867,32.5,4.92,0.00,2.94,0.60
1738509261.104881,32.5,4.92,0.00,2.92,0.60
1738509261.205071,32.5,4.92,0.00,2.94,0.60
1738509261.304977,32.5,4.92,0.00,2.92,0.59
1738509261.405020,32.5,4.92,0.00,2.94,0.60
1738509261.504975,32.5,4.92,0.00,2.92,0.60
1738509261.605048,32.5,4.92,0.00,2.94,0.59
1738509261.705031,32.5,4.92,0.00,3.02,0.59
1738509261.805013,32.5,4.92,0.00,2.92,0.60
1738509261.905001,32.5,4.92,0.00,2.94,0.60
1738509262.005065,32.5,4.92,0.00,2.94,0.60
1738509262.105000,32.5,4.92,0.00,2.92,0.60
1738509262.205070,32.5,4.92,0.00,2.94,0.60
1738509262.304848,32.5,4.92,0.00,2.92,0.60
1738509262.405030,32.5,4.92,0.00,2.94,0.60
1738509262.504982,32.5,4.92,0.00,2.92,0.60
1738509262.605020,32.5,4.92,0.00,2.94,0.60
1738509262.705052,32.5,4.92,0.00,2.92,0.60
1738509262.805006,32.5,4.92,0.00,2.94,0.60
1738509262.904980,32.5,4.92,0.00,2.94,0.60
1738509263.004876,32.5,4.92,0.00,2.94,0.60
1738509263.105032,32.5,4.92,0.00,2.94,0.60
1738509263.205019,32.5,4.92,0.00,2.94,0.60
1738509263.305012,32.5,4.92,0.00,2.94,0.60
1738509263.404905,32.5,4.92,0.00,2.92,0.60
1738509263.504982,32.5,4.92,0.00,2.94,0.60
1738509263.605029,31.6,4.92,0.00,2.94,0.60
1738509263.704937,31.6,4.92,0.00,2.94,0.60
1738509263.805033,31.6,4.92,0.00,2.92,0.60
1738509263.904983,31.6,4.92,0.00,2.94,0.60
1738509264.010288,31.6,4.92,0.00,2.94,0.60
1738509264.104918,31.6,4.92,0.00,2.94,0.60
1738509264.204798,31.6,4.92,0.00,2.94,0.60
1738509264.304937,31.6,4.92,0.00,2.94,0.60
1738509264.404609,32.5,4.92,0.00,2.92,0.60
1738509264.504682,32.5,4.92,0.00,2.94,0.60
1738509264.604904,32.5,4.92,0.00,2.94,0.60
1738509264.704730,32.5,4.92,0.00,2.94,0.59
1738509264.805060,32.5,4.92,0.00,2.94,0.60
1738509264.904839,32.5,4.92,0.00,2.94,0.60
1738509265.005078,32.5,4.92,0.00,2.94,0.60
1738509265.104958,32.5,4.92,0.00,2.94,0.60
1738509265.204985,32.5,4.92,0.00,2.94,0.60
1738509265.304965,32.5,4.92,0.00,2.94,0.60
1738509265.405048,32.5,4.92,0.00,2.94,0.59
1738509265.504957,32.5,4.92,0.00,2.94,0.61
1738509265.605024,32.5,4.92,0.00,2.94,0.60
1738509265.705011,32.5,4.92,0.00,2.94,0.60
1738509265.805030,32.5,4.92,0.00,2.92,0.60
1738509265.904986,32.5,4.92,0.00,2.94,0.60
1738509266.004971,32.5,4.92,0.00,2.94,0.60
1738509266.104890,32.5,4.92,0.00,2.92,0.60
1738509266.204614,32.5,4.92,0.00,2.94,0.60
1738509266.304602,32.5,4.92,0.00,2.94,0.60
1738509266.404617,32.5,4.92,0.00,2.92,0.60
1738509266.504764,32.5,4.92,0.00,2.94,0.60
1738509266.604793,32.5,4.92,0.00,2.94,0.60
1738509266.704754,32.5,4.92,0.00,2.94,0.60
1738509266.804792,32.5,4.92,0.00,2.94,0.60
1738509266.904746,31.6,4.92,0.00,2.94,0.60
1738509267.004744,31.6,4.92,0.00,2.92,0.60
1738509267.104946,31.6,4.92,0.00,2.92,0.60
1738509267.205076,31.6,4.92,0.00,2.92,0.60
1738509267.304867,31.6,4.92,0.00,2.94,0.59
1738509267.404995,31.6,4.92,0.00,2.94,0.60
1738509267.504996,31.6,4.92,0.00,2.92,0.60
1738509267.604926,31.6,4.92,0.00,2.94,0.60
1738509267.704993,31.6,4.92,0.00,2.94,0.61
1738509267.805087,32.5,4.92,0.00,2.94,0.60
1738509267.905026,32.5,4.92,0.00,2.94,0.60
