timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507796.563737,30.7,4.94,0.00,2.76,0.57
1738507796.665331,30.7,4.94,0.00,2.82,0.56
1738507796.767153,30.7,4.94,0.00,2.76,0.56
1738507796.868854,30.7,4.94,0.00,2.82,0.56
1738507796.970454,30.7,4.94,0.00,2.82,0.57
1738507797.072003,30.7,4.94,0.00,2.82,0.57
1738507797.173495,30.7,4.94,0.00,2.82,0.57
1738507797.275228,29.8,4.94,0.00,2.82,0.57
1738507797.376776,29.8,4.94,0.00,2.82,0.57
1738507797.478330,29.8,4.94,0.00,2.82,0.56
1738507797.580002,29.8,4.94,0.00,2.82,0.57
1738507797.681469,29.8,4.94,0.00,2.76,0.57
1738507797.783093,29.8,4.94,0.00,2.82,0.57
1738507797.884723,29.8,4.94,0.00,2.76,0.57
1738507797.986313,29.8,4.94,0.00,2.82,0.57
1738507798.087761,29.8,4.94,0.00,2.82,0.57
1738507798.189469,29.8,4.94,0.00,2.76,0.57
1738507798.291008,29.8,4.94,0.00,2.82,0.57
1738507798.392523,29.8,4.94,0.00,2.82,0.57
1738507798.494132,29.8,4.94,0.00,2.76,0.56
1738507798.595758,29.8,4.94,0.00,2.82,0.57
1738507798.697316,29.8,4.94,0.00,2.82,0.57
1738507798.798986,29.8,4.94,0.00,2.82,0.57
1738507798.900494,29.8,4.94,0.00,2.76,0.57
1738507799.002045,29.8,4.94,0.00,2.82,0.57
1738507799.103625,29.8,4.94,0.00,2.82,0.57
1738507799.205230,29.8,4.94,0.00,2.82,0.57
1738507799.306762,29.8,4.94,0.00,2.76,0.57
1738507799.408460,29.8,4.94,0.00,2.76,0.57
1738507799.509862,29.8,4.94,0.00,2.82,0.57
1738507799.611552,29.8,4.94,0.00,2.82,0.57
1738507799.713107,29.8,4.94,0.00,2.82,0.57
1738507799.814410,28.9,4.94,0.00,2.82,0.57
1738507799.916284,28.9,4.94,0.00,2.82,0.57
1738507800.017875,28.9,4.94,0.00,2.82,0.57
1738507800.119590,28.9,4.94,0.00,2.82,0.57
1738507800.221064,28.9,4.94,0.00,2.82,0.57
1738507800.322609,28.9,4.94,0.00,2.82,0.57
1738507800.424259,28.9,4.94,0.00,2.76,0.57
1738507800.525821,28.9,4.94,0.00,2.76,0.57
1738507800.627340,28.9,4.94,0.00,2.82,0.57
1738507800.728995,28.9,4.94,0.00,2.76,0.57
1738507800.830526,28.9,4.94,0.00,2.82,0.57
1738507800.932098,28.9,4.94,0.00,2.82,0.56
1738507801.033591,28.9,4.94,0.00,2.82,0.57
1738507801.135239,28.9,4.94,0.00,2.82,0.57
1738507801.236868,28.9,4.94,0.00,2.82,0.57
1738507801.338405,28.9,4.94,0.00,2.82,0.57
1738507801.440032,29.8,4.94,0.00,2.82,0.57
1738507801.541607,29.8,4.94,0.00,2.82,0.56
1738507801.643185,29.8,4.94,0.00,2.76,0.57
1738507801.744761,29.8,4.94,0.00,2.82,0.57
1738507801.846309,29.8,4.94,0.00,2.76,0.56
1738507801.947854,29.8,4.94,0.00,2.82,0.57
1738507802.049439,29.8,4.94,0.00,2.82,0.57
1738507802.151095,29.8,4.94,0.00,2.82,0.56
1738507802.252676,28.9,4.94,0.00,2.82,0.57
1738507802.354323,28.9,4.94,0.00,2.76,0.57
1738507802.455767,28.9,4.94,0.00,2.76,0.57
1738507802.557413,28.9,4.94,0.00,2.76,0.57
1738507802.658958,28.9,4.94,0.00,2.82,0.57
1738507802.760460,28.9,4.94,0.00,2.82,0.57
1738507802.862082,28.9,4.94,0.00,2.82,0.56
1738507802.963661,28.9,4.94,0.00,2.82,0.57
1738507803.065283,28.9,4.94,0.00,2.76,0.56
1738507803.166912,29.8,4.94,0.00,2.82,0.57
1738507803.268341,29.8,4.94,0.00,2.82,0.57
1738507803.369976,29.8,4.94,0.00,2.82,0.57
1738507803.471668,29.8,4.94,0.00,2.82,0.57
1738507803.573204,29.8,4.94,0.00,2.82,0.57
1738507803.674773,29.8,4.94,0.00,2.82,0.57
1738507803.776347,29.8,4.94,0.00,2.76,0.57
1738507803.877928,29.8,4.94,0.00,2.76,0.57
1738507803.979560,28.9,4.94,0.00,2.82,0.57
1738507804.080980,28.9,4.94,0.00,2.82,0.57
1738507804.182721,28.9,4.94,0.00,2.82,0.57
1738507804.284372,28.9,4.94,0.00,2.82,0.57
1738507804.385864,28.9,4.94,0.00,2.76,0.57
1738507804.487474,28.9,4.94,0.00,2.82,0.57
1738507804.588953,28.9,4.94,0.00,2.82,0.56
1738507804.690421,28.9,4.94,0.00,2.76,0.57
1738507804.792155,29.8,4.94,0.00,2.82,0.57
1738507804.893692,29.8,4.94,0.00,2.82,0.57
1738507804.995361,29.8,4.94,0.00,2.76,0.57
1738507805.096889,29.8,4.94,0.00,2.82,0.57
1738507805.198470,29.8,4.94,0.00,2.82,0.57
1738507805.300009,29.8,4.94,0.00,2.82,0.57
1738507805.401679,29.8,4.94,0.00,2.82,0.57
1738507805.503326,29.8,4.94,0.00,2.82,0.57
1738507805.604841,28.1,4.94,0.00,2.82,0.57
1738507805.706483,28.1,4.94,0.00,2.76,0.57
1738507805.807986,28.1,4.94,0.00,2.82,0.57
1738507805.909521,28.1,4.94,0.00,2.82,0.57
1738507806.011061,28.1,4.94,0.00,2.82,0.57
1738507806.112750,28.1,4.94,0.00,2.82,0.57
1738507806.214304,28.1,4.94,0.00,2.82,0.57
1738507806.315834,28.1,4.94,0.00,2.76,0.56
1738507806.417446,28.1,4.94,0.00,2.76,0.56
1738507806.518937,29.8,4.94,0.00,2.82,0.57
1738507806.620619,29.8,4.94,0.00,2.76,0.57
1738507806.722086,29.8,4.94,0.00,2.82,0.57
1738507806.823894,29.8,4.94,0.00,2.82,0.56
1738507806.925334,29.8,4.94,0.00,2.82,0.57
1738507807.026843,29.8,4.94,0.00,2.76,0.56
1738507807.128495,29.8,4.94,0.00,2.82,0.57
1738507807.230082,29.8,4.94,0.00,2.76,0.57
1738507807.331564,28.9,4.94,0.00,2.76,0.57
1738507807.433096,28.9,4.94,0.00,2.82,0.57
1738507807.534807,28.9,4.94,0.00,2.76,0.57
1738507807.636419,28.9,4.94,0.00,2.76,0.56
1738507807.737889,28.9,4.94,0.00,2.82,0.57
1738507807.839542,28.9,4.94,0.00,2.82,0.57
1738507807.941165,28.9,4.94,0.00,2.82,0.57
1738507808.042585,28.9,4.94,0.00,2.82,0.57
1738507808.144308,28.9,4.94,0.00,2.76,0.57
1738507808.245918,28.9,4.94,0.00,2.82,0.57
1738507808.347505,28.9,4.94,0.00,2.82,0.57
1738507808.449073,28.9,4.94,0.00,2.82,0.57
1738507808.550647,28.9,4.94,0.00,2.82,0.57
1738507808.652257,28.9,4.94,0.00,2.82,0.57
1738507808.753880,28.9,4.94,0.00,2.82,0.56
1738507808.855346,28.9,4.94,0.00,2.82,0.57
1738507808.956982,28.9,4.94,0.00,2.82,0.57
1738507809.058572,28.9,4.94,0.00,2.76,0.57
1738507809.160201,28.9,4.94,0.00,2.76,0.57
1738507809.261670,28.9,4.94,0.00,2.82,0.56
1738507809.363343,28.9,4.94,0.00,2.76,0.57
1738507809.464872,28.9,4.94,0.00,2.82,0.57
1738507809.566540,28.9,4.94,0.00,2.76,0.57
1738507809.668010,28.9,4.94,0.00,2.76,0.57
1738507809.769588,28.9,4.94,0.00,2.82,0.57
1738507809.871282,28.9,4.94,0.00,2.82,0.57
1738507809.972811,28.9,4.94,0.00,2.76,0.56
1738507810.074358,28.9,4.94,0.00,2.82,0.56
1738507810.175946,28.9,4.94,0.00,2.82,0.57
1738507810.277587,28.9,4.94,0.00,2.82,0.57
1738507810.379178,28.9,4.94,0.00,2.76,0.57
1738507810.480698,28.9,4.94,0.00,2.76,0.57
1738507810.582340,28.9,4.94,0.00,2.82,0.56
1738507810.683854,28.9,4.94,0.00,2.82,0.56
1738507810.785505,28.9,4.94,0.00,2.76,0.57
1738507810.887052,28.9,4.94,0.00,2.76,0.57
1738507810.988560,28.9,4.94,0.00,2.76,0.56
1738507811.090232,28.9,4.94,0.00,2.82,0.57
1738507811.191772,28.9,4.94,0.00,2.82,0.57
1738507811.293348,28.9,4.94,0.00,2.76,0.57
1738507811.394910,28.9,4.94,0.00,2.76,0.57
