timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508210.350390,33.3,4.89,0.00,3.22,0.66
1738508210.452076,33.3,4.89,0.00,3.22,0.66
1738508210.553806,33.3,4.89,0.00,3.22,0.66
1738508210.656084,33.3,4.89,0.00,3.22,0.66
1738508210.757687,33.3,4.89,0.00,3.22,0.66
1738508210.858919,208.8,4.89,0.00,3.24,0.66
1738508210.960483,208.8,4.89,0.00,3.22,0.66
1738508211.061851,208.8,4.89,0.00,3.22,0.66
1738508211.163251,208.8,4.89,0.00,3.22,0.66
1738508211.265381,208.8,4.89,0.00,3.22,0.66
1738508211.367178,208.8,4.89,0.00,3.22,0.66
1738508211.468530,208.8,4.89,0.00,3.18,0.66
1738508211.570113,208.8,4.89,0.00,3.22,0.66
1738508211.671341,35.1,4.89,0.00,3.18,0.66
1738508211.773646,35.1,4.89,0.00,3.22,0.66
1738508211.874718,35.1,4.89,0.00,3.22,0.66
1738508211.976330,35.1,4.89,0.00,3.22,0.66
1738508212.078264,35.1,4.89,0.00,3.24,0.66
1738508212.179801,35.1,4.89,0.00,3.22,0.66
1738508212.280648,35.1,4.89,0.00,3.22,0.66
1738508212.383036,35.1,4.89,0.00,3.24,0.66
1738508212.483719,35.1,4.89,0.00,3.24,0.66
1738508212.585825,35.1,4.89,0.00,3.18,0.66
1738508212.686942,35.1,4.89,0.00,3.22,0.66
1738508212.788933,35.1,4.89,0.00,3.22,0.66
1738508212.890534,35.1,4.89,0.00,3.24,0.66
1738508212.991683,35.1,4.89,0.00,3.22,0.66
1738508213.093801,35.1,4.89,0.00,3.22,0.66
1738508213.194845,35.1,4.89,0.00,3.22,0.66
1738508213.296572,35.1,4.89,0.00,3.24,0.66
1738508213.398033,35.1,4.89,0.00,3.22,0.66
1738508213.500271,35.1,4.89,0.00,3.22,0.66
1738508213.601631,35.1,4.89,0.00,3.22,0.66
1738508213.703359,35.1,4.89,0.00,3.22,0.66
1738508213.804345,35.1,4.89,0.00,3.22,0.66
1738508213.906337,35.1,4.89,0.00,3.18,0.66
1738508214.008307,35.1,4.89,0.00,3.18,0.66
1738508214.109703,35.1,4.89,0.00,3.18,0.66
1738508214.211338,36.0,4.89,0.00,3.22,0.67
1738508214.313142,36.0,4.89,0.00,3.22,0.66
1738508214.413876,36.0,4.89,0.00,3.22,0.66
1738508214.516420,36.0,4.89,0.00,3.22,0.66
1738508214.617805,36.0,4.89,0.00,3.22,0.66
1738508214.719363,36.0,4.89,0.00,3.22,0.66
1738508214.820890,36.0,4.89,0.00,3.22,0.67
1738508214.922151,36.0,4.89,0.00,3.22,0.66
1738508215.024177,35.1,4.89,0.00,3.22,0.66
1738508215.125647,35.1,4.89,0.00,3.22,0.66
1738508215.227288,35.1,4.89,0.00,3.22,0.66
1738508215.328872,35.1,4.89,0.00,3.22,0.66
1738508215.429604,35.1,4.89,0.00,3.22,0.66
1738508215.531308,35.1,4.89,0.00,3.24,0.66
1738508215.633537,35.1,4.89,0.00,3.22,0.66
1738508215.734863,35.1,4.89,0.00,3.22,0.66
1738508215.836463,35.1,4.89,0.00,3.24,0.66
1738508215.938323,35.1,4.89,0.00,3.18,0.66
1738508216.039595,35.1,4.89,0.00,3.22,0.66
1738508216.141328,35.1,4.89,0.00,3.22,0.66
1738508216.243103,35.1,4.89,0.00,3.22,0.66
1738508216.343883,35.1,4.89,0.00,3.22,0.66
1738508216.443826,35.1,4.89,0.00,3.22,0.66
1738508216.546364,35.1,4.89,0.00,3.22,0.66
1738508216.647477,35.1,4.89,0.00,3.24,0.66
1738508216.749185,35.1,4.89,0.00,3.22,0.66
1738508216.850676,35.1,4.89,0.00,3.22,0.66
1738508216.952415,35.1,4.89,0.00,3.22,0.66
1738508217.053918,35.1,4.89,0.00,3.22,0.66
1738508217.155426,35.1,4.89,0.00,3.22,0.66
1738508217.257017,35.1,4.89,0.00,3.24,0.66
1738508217.358213,35.1,4.89,0.00,3.22,0.66
1738508217.459592,35.1,4.89,0.00,3.24,0.66
1738508217.561605,36.0,4.89,0.00,3.22,0.66
1738508217.663395,36.0,4.89,0.00,3.22,0.66
1738508217.765138,36.0,4.89,0.00,3.22,0.66
1738508217.866440,36.0,4.89,0.00,3.18,0.67
1738508217.966126,36.0,4.89,0.00,3.18,0.66
1738508218.068088,36.0,4.89,0.00,3.18,0.66
1738508218.169608,36.0,4.89,0.00,3.18,0.66
1738508218.271495,36.0,4.89,0.00,3.22,0.66
1738508218.372703,36.0,4.89,0.00,3.22,0.66
1738508218.474044,36.0,4.89,0.00,3.18,0.66
1738508218.576388,36.0,4.89,0.00,3.22,0.66
1738508218.677567,36.0,4.89,0.00,3.24,0.66
1738508218.778969,36.0,4.89,0.00,3.24,0.66
1738508218.879892,36.0,4.89,0.00,3.22,0.66
1738508218.980410,36.0,4.89,0.00,3.22,0.66
1738508219.082093,36.0,4.89,0.00,3.22,0.66
1738508219.183875,36.0,4.89,0.00,3.22,0.66
1738508219.285448,36.0,4.89,0.00,3.22,0.66
1738508219.386839,36.0,4.89,0.00,3.18,0.66
1738508219.488724,36.0,4.89,0.00,3.22,0.66
1738508219.589566,36.0,4.89,0.00,3.24,0.66
1738508219.691591,36.0,4.89,0.00,3.22,0.66
1738508219.793236,36.0,4.89,0.00,3.22,0.66
1738508219.894938,36.0,4.89,0.00,3.18,0.66
1738508219.996749,36.0,4.89,0.00,3.22,0.66
1738508220.098003,35.1,4.89,0.00,3.22,0.66
1738508220.199669,35.1,4.89,0.00,3.22,0.66
1738508220.308508,35.1,4.89,0.00,3.22,0.66
1738508220.410457,35.1,4.89,0.00,3.24,0.66
1738508220.511786,35.1,4.89,0.00,3.22,0.67
1738508220.613228,35.1,4.89,0.00,3.22,0.65
1738508220.714785,35.1,4.89,0.00,3.22,0.66
1738508220.816496,35.1,4.89,0.00,3.22,0.66
1738508220.917379,35.1,4.89,0.00,3.18,0.66
1738508221.018834,35.1,4.89,0.00,3.22,0.66
1738508221.120551,35.1,4.89,0.00,3.22,0.66
1738508221.222408,35.1,4.89,0.00,3.22,0.66
1738508221.323942,35.1,4.89,0.00,3.22,0.66
1738508221.425510,35.1,4.89,0.00,3.22,0.66
1738508221.526960,35.1,4.89,0.00,3.22,0.66
1738508221.628649,35.1,4.89,0.00,3.18,0.65
1738508221.730194,36.0,4.89,0.00,3.22,0.66
1738508221.831733,36.0,4.89,0.00,3.18,0.66
1738508221.933884,36.0,4.89,0.00,3.22,0.66
1738508222.035710,36.0,4.89,0.00,3.24,0.66
1738508222.137017,36.0,4.89,0.00,3.22,0.66
1738508222.238463,36.0,4.89,0.00,3.22,0.66
1738508222.340172,36.0,4.89,0.00,3.22,0.66
1738508222.441762,36.0,4.89,0.00,3.22,0.66
1738508222.543481,35.1,4.89,0.00,3.22,0.66
1738508222.643993,35.1,4.89,0.00,3.22,0.66
1738508222.744575,35.1,4.89,0.00,3.18,0.66
1738508222.845739,35.1,4.89,0.00,3.22,0.66
1738508222.947656,35.1,4.89,0.00,3.22,0.66
1738508223.049247,35.1,4.89,0.00,3.22,0.66
1738508223.151447,35.1,4.89,0.00,3.22,0.66
1738508223.252432,35.1,4.89,0.00,3.22,0.66
1738508223.352520,35.1,4.89,0.00,3.22,0.66
1738508223.454297,36.0,4.89,0.00,3.22,0.66
1738508223.555438,36.0,4.89,0.00,3.24,0.66
1738508223.657615,36.0,4.89,0.00,3.22,0.66
1738508223.759047,36.0,4.89,0.00,3.24,0.66
1738508223.860494,36.0,4.89,0.00,3.24,0.66
1738508223.962170,36.0,4.89,0.00,3.18,0.66
1738508224.063187,36.0,4.89,0.00,3.22,0.66
1738508224.165472,36.0,4.89,0.00,3.22,0.66
1738508224.266846,36.0,4.89,0.00,3.22,0.67
1738508224.369162,36.0,4.89,0.00,3.24,0.66
1738508224.470853,36.0,4.89,0.00,3.18,0.66
1738508224.571329,36.0,4.89,0.00,3.22,0.66
1738508224.673255,36.0,4.89,0.00,3.22,0.66
1738508224.774600,36.0,4.89,0.00,3.22,0.66
1738508224.875846,36.0,4.89,0.00,3.22,0.66
1738508224.977633,36.0,4.89,0.00,3.22,0.66
1738508225.079716,36.0,4.89,0.00,3.22,0.66
1738508225.181223,36.0,4.89,0.00,3.18,0.66
