timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509421.935554,34.2,4.96,0.00,2.58,0.53
1738509422.035701,34.2,4.96,0.00,2.62,0.53
1738509422.135700,30.7,4.96,0.00,2.58,0.53
1738509422.235748,30.7,4.96,0.00,2.58,0.52
1738509422.335747,30.7,4.96,0.00,2.62,0.53
1738509422.435740,30.7,4.96,0.00,2.58,0.52
1738509422.535777,30.7,4.96,0.00,2.62,0.53
1738509422.635725,30.7,4.96,0.00,2.58,0.53
1738509422.735749,30.7,4.96,0.00,2.62,0.53
1738509422.835775,30.7,4.96,0.00,2.58,0.53
1738509422.935612,29.8,4.96,0.00,2.62,0.53
1738509423.035734,29.8,4.96,0.00,2.68,0.54
1738509423.135689,29.8,4.96,0.00,2.62,0.52
1738509423.235711,29.8,4.96,0.00,2.58,0.53
1738509423.335734,29.8,4.96,0.00,2.58,0.52
1738509423.435722,29.8,4.96,0.00,2.58,0.53
1738509423.535724,29.8,4.96,0.00,2.62,0.53
1738509423.635696,29.8,4.96,0.00,2.58,0.53
1738509423.735690,29.8,4.96,0.00,2.62,0.53
1738509423.835559,28.9,4.96,0.00,2.62,0.53
1738509423.935765,28.9,4.96,0.00,2.58,0.53
1738509424.035706,28.9,4.96,0.00,2.62,0.53
1738509424.135652,28.9,4.96,0.00,2.58,0.53
1738509424.235520,28.9,4.96,0.00,2.62,0.53
1738509424.335693,28.9,4.96,0.00,2.58,0.53
1738509424.435747,28.9,4.96,0.00,2.62,0.53
1738509424.535674,28.9,4.96,0.00,2.62,0.53
1738509424.635793,28.1,4.96,0.00,2.58,0.52
1738509424.735708,28.1,4.96,0.00,2.58,0.52
1738509424.835756,28.1,4.96,0.00,2.62,0.53
1738509424.935745,28.1,4.96,0.00,2.58,0.52
1738509425.035723,28.1,4.96,0.00,2.62,0.53
1738509425.135737,28.1,4.96,0.00,2.62,0.52
1738509425.235735,28.1,4.96,0.00,2.58,0.53
1738509425.335737,28.1,4.96,0.00,2.58,0.53
1738509425.435674,28.1,4.96,0.00,2.58,0.53
1738509425.535798,28.1,4.96,0.00,2.58,0.52
1738509425.635798,28.1,4.96,0.00,2.62,0.53
1738509425.735810,28.1,4.96,0.00,2.62,0.52
1738509425.835706,28.1,4.96,0.00,2.58,0.52
1738509425.935750,28.1,4.96,0.00,2.62,0.53
1738509426.035801,28.1,4.96,0.00,2.58,0.52
1738509426.135766,28.1,4.96,0.00,2.62,0.53
1738509426.235770,28.1,4.96,0.00,2.62,0.53
1738509426.335715,28.1,4.96,0.00,2.58,0.53
