timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510070.940229,37.7,4.96,0.00,2.68,0.53
1738510071.040467,37.7,4.96,0.00,2.68,0.54
1738510071.140421,37.7,4.96,0.00,2.62,0.54
1738510071.240441,37.7,4.96,0.00,2.62,0.54
1738510071.340349,37.7,4.96,0.00,2.68,0.54
1738510071.440440,31.6,4.96,0.00,2.68,0.54
1738510071.540197,31.6,4.96,0.00,2.68,0.54
1738510071.640400,31.6,4.96,0.00,2.62,0.54
1738510071.740472,31.6,4.95,0.00,2.68,0.54
1738510071.840402,31.6,4.95,0.00,2.68,0.54
1738510071.940391,31.6,4.96,0.00,2.68,0.54
1738510072.040378,31.6,4.96,0.00,2.68,0.54
1738510072.140365,31.6,4.96,0.00,2.68,0.54
1738510072.240376,31.6,4.96,0.00,2.68,0.54
1738510072.340405,31.6,4.96,0.00,2.68,0.54
1738510072.440418,31.6,4.96,0.00,2.68,0.54
1738510072.540414,31.6,4.96,0.00,2.62,0.54
1738510072.640421,31.6,4.96,0.00,2.68,0.54
1738510072.740391,31.6,4.96,0.00,2.68,0.54
1738510072.840404,31.6,4.96,0.00,2.62,0.54
1738510072.940417,31.6,4.95,0.00,2.68,0.54
1738510073.040424,30.7,4.96,0.00,2.68,0.54
1738510073.140355,30.7,4.96,0.00,2.68,0.54
1738510073.240413,30.7,4.96,0.00,2.68,0.54
1738510073.340349,30.7,4.96,0.00,2.68,0.54
1738510073.440117,30.7,4.96,0.00,2.68,0.54
1738510073.540099,30.7,4.96,0.00,2.62,0.54
1738510073.640418,30.7,4.96,0.00,2.62,0.54
1738510073.740394,30.7,4.96,0.00,2.62,0.54
1738510073.840397,30.7,4.96,0.00,2.62,0.54
1738510073.940205,29.8,4.96,0.00,2.62,0.54
1738510074.040362,29.8,4.95,0.00,2.68,0.54
1738510074.140444,29.8,4.96,0.00,2.68,0.54
1738510074.240429,29.8,4.96,0.00,2.62,0.54
1738510074.340436,29.8,4.96,0.00,2.68,0.54
1738510074.440385,29.8,4.96,0.00,2.68,0.54
1738510074.540346,29.8,4.96,0.00,2.62,0.54
1738510074.640428,29.8,4.96,0.00,2.68,0.54
1738510074.740376,29.8,4.96,0.00,2.62,0.54
1738510074.840321,29.8,4.96,0.00,2.68,0.53
1738510074.940286,29.8,4.96,0.00,2.62,0.54
1738510075.040303,29.8,4.96,0.00,2.68,0.54
1738510075.140213,29.8,4.96,0.00,2.62,0.54
1738510075.241675,29.8,4.96,0.00,2.68,0.54
1738510075.340374,29.8,4.96,0.00,2.68,0.54
1738510075.440421,29.8,4.96,0.00,2.62,0.55
1738510075.540223,28.9,4.96,0.00,2.62,0.54
1738510075.640157,28.9,4.96,0.00,2.68,0.54
1738510075.740412,28.9,4.96,0.00,2.68,0.54
1738510075.840423,28.9,4.96,0.00,2.68,0.53
1738510075.940396,28.9,4.96,0.00,2.62,0.54
1738510076.040279,28.9,4.96,0.00,2.68,0.54
1738510076.140348,28.9,4.96,0.00,2.68,0.54
1738510076.240404,28.9,4.96,0.00,2.68,0.53
1738510076.340463,28.9,4.95,0.00,2.68,0.54
1738510076.440401,28.9,4.96,0.00,2.68,0.54
1738510076.540339,28.9,4.96,0.00,2.68,0.54
1738510076.640381,28.9,4.96,0.00,2.68,0.54
1738510076.740328,28.9,4.96,0.00,2.68,0.54
1738510076.840356,28.9,4.96,0.00,2.68,0.54
1738510076.940440,28.9,4.96,0.00,2.68,0.54
1738510077.040388,28.9,4.96,0.00,2.68,0.53
1738510077.140399,28.9,4.96,0.00,2.68,0.54
1738510077.240420,28.9,4.96,0.00,2.62,0.54
1738510077.340221,28.9,4.95,0.00,2.68,0.54
1738510077.440379,28.9,4.96,0.00,2.68,0.54
1738510077.540387,28.9,4.96,0.00,2.68,0.54
1738510077.640426,28.9,4.96,0.00,2.68,0.54
1738510077.740407,28.9,4.96,0.00,2.62,0.54
1738510077.840422,28.9,4.96,0.00,2.68,0.54
1738510077.940380,28.9,4.96,0.00,2.68,0.54
1738510078.040419,28.9,4.96,0.00,2.62,0.54
1738510078.140421,29.8,4.96,0.00,2.68,0.54
1738510078.240440,29.8,4.96,0.00,2.68,0.54
1738510078.340484,29.8,4.96,0.00,2.68,0.54
1738510078.440334,29.8,4.96,0.00,2.62,0.54
1738510078.540347,29.8,4.96,0.00,2.68,0.54
1738510078.640379,29.8,4.96,0.00,2.68,0.54
1738510078.740375,29.8,4.96,0.00,2.68,0.54
1738510078.840341,29.8,4.96,0.00,2.68,0.53
1738510078.940381,28.9,4.96,0.00,2.68,0.54
1738510079.040357,28.9,4.96,0.00,2.62,0.54
1738510079.140376,28.9,4.96,0.00,2.62,0.54
1738510079.240392,28.9,4.96,0.00,2.62,0.53
1738510079.340381,28.9,4.96,0.00,2.68,0.54
1738510079.440340,28.9,4.96,0.00,2.68,0.54
1738510079.540268,28.9,4.96,0.00,2.68,0.54
1738510079.640358,28.9,4.96,0.00,2.68,0.54
1738510079.740149,28.9,4.96,0.00,2.68,0.54
1738510079.840072,28.9,4.96,0.00,2.62,0.54
1738510079.940137,28.9,4.96,0.00,2.68,0.54
1738510080.040268,28.9,4.95,0.00,2.68,0.54
1738510080.141349,28.9,4.96,0.00,2.68,0.54
1738510080.240345,28.9,4.96,0.00,2.62,0.54
1738510080.340459,28.9,4.96,0.00,2.62,0.53
1738510080.440409,28.9,4.96,0.00,2.62,0.53
1738510080.540406,28.9,4.96,0.00,2.68,0.54
1738510080.640361,28.1,4.96,0.00,2.68,0.54
1738510080.740375,28.1,4.96,0.00,2.68,0.54
1738510080.840421,28.1,4.96,0.00,2.68,0.54
1738510080.940393,28.1,4.96,0.00,2.68,0.54
1738510081.040462,28.1,4.96,0.00,2.68,0.54
1738510081.140410,28.1,4.96,0.00,2.68,0.54
1738510081.240395,28.1,4.96,0.00,2.62,0.54
1738510081.340425,28.1,4.95,0.00,2.68,0.54
1738510081.440399,28.9,4.96,0.00,2.68,0.54
1738510081.540418,28.9,4.96,0.00,2.68,0.53
1738510081.640371,28.9,4.96,0.00,2.62,0.54
1738510081.740360,28.9,4.96,0.00,2.68,0.54
1738510081.840403,28.9,4.96,0.00,2.62,0.54
1738510081.940209,28.9,4.96,0.00,2.62,0.54
1738510082.040384,28.9,4.96,0.00,2.62,0.53
1738510082.140393,28.9,4.96,0.00,2.68,0.54
1738510082.240295,28.9,4.96,0.00,2.62,0.54
1738510082.340474,28.9,4.96,0.00,2.68,0.54
1738510082.440343,28.9,4.96,0.00,2.62,0.54
1738510082.540403,28.9,4.96,0.00,2.68,0.54
1738510082.640359,28.9,4.96,0.00,2.62,0.54
1738510082.740144,28.9,4.96,0.00,2.68,0.54
1738510082.840498,28.9,4.96,0.00,2.68,0.54
1738510082.940526,28.9,4.96,0.00,2.68,0.54
1738510083.040237,28.9,4.96,0.00,2.68,0.54
1738510083.140443,28.9,4.96,0.00,2.62,0.54
1738510083.240366,28.9,4.95,0.00,2.62,0.54
1738510083.340289,28.9,4.95,0.00,2.62,0.54
1738510083.440431,28.9,4.95,0.00,2.68,0.54
1738510083.540375,28.9,4.96,0.00,2.68,0.54
1738510083.640396,28.9,4.96,0.00,2.68,0.54
1738510083.740308,28.9,4.96,0.00,2.68,0.54
1738510083.840358,28.9,4.96,0.00,2.68,0.54
1738510083.940469,28.9,4.96,0.00,2.68,0.54
1738510084.040364,28.9,4.96,0.00,2.68,0.54
1738510084.140435,28.9,4.96,0.00,2.68,0.54
1738510084.240398,28.9,4.96,0.00,2.68,0.54
1738510084.340463,28.9,4.96,0.00,2.68,0.54
1738510084.440437,28.9,4.95,0.00,2.68,0.54
1738510084.540416,28.9,4.96,0.00,2.68,0.54
1738510084.640168,28.9,4.96,0.00,2.68,0.54
1738510084.740357,28.9,4.96,0.00,2.68,0.54
1738510084.840367,28.1,4.96,0.00,2.68,0.54
1738510084.940373,28.1,4.96,0.00,2.62,0.54
1738510085.040360,28.1,4.96,0.00,2.68,0.54
1738510085.140314,28.1,4.96,0.00,2.62,0.54
1738510085.240198,28.1,4.96,0.00,2.68,0.54
1738510085.340347,28.1,4.96,0.00,2.68,0.54
1738510085.440337,28.1,4.96,0.00,2.68,0.53
1738510085.540385,28.1,4.96,0.00,2.62,0.54
1738510085.640365,28.1,4.96,0.00,2.62,0.54
1738510085.740430,28.1,4.95,0.00,2.62,0.54
