timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509503.323417,34.2,4.93,0.00,2.92,0.58
1738509503.425423,34.2,4.93,0.00,2.86,0.58
1738509503.527014,33.3,4.93,0.00,2.86,0.58
1738509503.628570,33.3,4.93,0.00,2.86,0.59
1738509503.730145,33.3,4.93,0.00,2.86,0.58
1738509503.831692,33.3,4.93,0.00,2.86,0.59
1738509503.933326,33.3,4.93,0.00,2.86,0.58
1738509504.034750,33.3,4.93,0.00,2.86,0.59
1738509504.136248,33.3,4.93,0.00,2.86,0.58
1738509504.237862,33.3,4.93,0.00,2.92,0.58
1738509504.339637,33.3,4.93,0.00,2.86,0.58
1738509504.441189,33.3,4.93,0.00,2.86,0.58
1738509504.542745,33.3,4.93,0.00,2.86,0.58
1738509504.644359,33.3,4.93,0.00,2.92,0.59
1738509504.745928,33.3,4.93,0.00,2.92,0.59
1738509504.847609,33.3,4.93,0.00,2.86,0.58
1738509504.949096,33.3,4.93,0.00,2.86,0.59
1738509505.050699,33.3,4.93,0.00,2.86,0.59
1738509505.152275,33.3,4.93,0.00,2.92,0.59
1738509505.253828,33.3,4.93,0.00,2.86,0.58
1738509505.355452,33.3,4.93,0.00,2.86,0.59
1738509505.457011,33.3,4.93,0.00,2.86,0.58
1738509505.558614,33.3,4.93,0.00,2.86,0.58
1738509505.660136,33.3,4.93,0.00,2.86,0.58
1738509505.761774,33.3,4.93,0.00,2.92,0.58
1738509505.863365,33.3,4.93,0.00,2.92,0.58
1738509505.964939,32.5,4.93,0.00,2.86,0.58
1738509506.066498,32.5,4.93,0.00,2.86,0.58
1738509506.168024,32.5,4.93,0.00,2.86,0.58
1738509506.269627,32.5,4.93,0.00,2.92,0.58
1738509506.371261,32.5,4.93,0.00,2.86,0.59
1738509506.472840,32.5,4.93,0.00,2.86,0.59
1738509506.574267,32.5,4.93,0.00,2.86,0.59
1738509506.675934,32.5,4.93,0.00,2.86,0.58
1738509506.777542,32.5,4.93,0.00,2.86,0.58
1738509506.879128,32.5,4.93,0.00,2.92,0.59
1738509506.980689,32.5,4.93,0.00,2.92,0.59
1738509507.082294,32.5,4.93,0.00,2.86,0.59
1738509507.183858,32.5,4.93,0.00,2.92,0.59
1738509507.285238,32.5,4.93,0.00,2.86,0.58
1738509507.387038,32.5,4.93,0.00,2.86,0.58
1738509507.488637,32.5,4.93,0.00,2.86,0.58
1738509507.590254,32.5,4.93,0.00,2.92,0.59
1738509507.691761,32.5,4.93,0.00,2.86,0.58
1738509507.793384,32.5,4.93,0.00,2.86,0.59
1738509507.894924,32.5,4.93,0.00,2.92,0.58
1738509507.996516,32.5,4.93,0.00,2.86,0.59
1738509508.098106,32.5,4.93,0.00,2.92,0.59
1738509508.199655,32.5,4.93,0.00,2.92,0.58
1738509508.301162,32.5,4.93,0.00,2.92,0.59
1738509508.402853,32.5,4.93,0.00,2.86,0.58
1738509508.504448,32.5,4.93,0.00,2.86,0.58
1738509508.606008,32.5,4.93,0.00,2.92,0.58
1738509508.707524,32.5,4.93,0.00,2.86,0.58
1738509508.809133,32.5,4.93,0.00,2.92,0.59
