timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509650.618750,31.6,4.92,0.00,2.94,0.59
1738509650.718917,31.6,4.92,0.00,2.94,0.60
1738509650.819089,31.6,4.92,0.00,2.94,0.61
1738509650.919094,31.6,4.92,0.00,2.94,0.60
1738509651.019041,31.6,4.92,0.00,2.94,0.59
1738509651.119062,31.6,4.92,0.00,2.94,0.60
1738509651.219088,31.6,4.92,0.00,2.92,0.59
1738509651.319028,31.6,4.92,0.00,2.94,0.60
1738509651.419060,31.6,4.92,0.00,2.94,0.59
1738509651.519017,31.6,4.92,0.00,2.94,0.60
1738509651.619098,31.6,4.92,0.00,2.94,0.60
1738509651.719007,31.6,4.92,0.00,2.94,0.61
1738509651.819147,31.6,4.92,0.00,2.94,0.60
1738509651.919285,32.5,4.92,0.00,2.94,0.60
1738509652.018805,32.5,4.92,0.00,2.94,0.60
1738509652.119158,32.5,4.92,0.00,2.94,0.60
1738509652.219099,32.5,4.92,0.00,2.94,0.60
1738509652.319115,32.5,4.92,0.00,2.94,0.60
1738509652.419057,32.5,4.92,0.00,2.92,0.60
1738509652.519110,32.5,4.92,0.00,2.94,0.60
1738509652.619103,32.5,4.92,0.00,2.94,0.60
1738509652.719028,32.5,4.92,0.00,2.94,0.60
1738509652.818851,32.5,4.92,0.00,2.94,0.60
1738509652.919102,32.5,4.92,0.00,2.94,0.60
1738509653.019139,32.5,4.92,0.00,3.02,0.60
1738509653.119076,32.5,4.92,0.00,2.92,0.61
1738509653.219128,32.5,4.92,0.00,2.94,0.60
1738509653.319004,32.5,4.92,0.00,2.94,0.60
1738509653.419040,32.5,4.92,0.00,2.94,0.60
1738509653.519145,32.5,4.92,0.00,2.92,0.60
1738509653.619109,32.5,4.92,0.00,2.94,0.60
1738509653.719039,32.5,4.92,0.00,2.92,0.59
1738509653.819170,32.5,4.92,0.00,3.02,0.60
1738509653.919163,32.5,4.92,0.00,2.94,0.60
1738509654.018977,32.5,4.92,0.00,2.94,0.60
1738509654.119042,32.5,4.92,0.00,2.94,0.60
1738509654.219172,32.5,4.92,0.00,2.94,0.60
1738509654.318982,32.5,4.92,0.00,2.92,0.60
1738509654.419049,32.5,4.92,0.00,2.92,0.60
1738509654.518994,31.6,4.92,0.00,2.94,0.60
1738509654.619116,31.6,4.92,0.00,2.94,0.60
1738509654.719040,31.6,4.92,0.00,2.94,0.60
1738509654.819151,31.6,4.92,0.00,2.94,0.60
1738509654.919129,31.6,4.92,0.00,2.94,0.60
1738509655.019127,31.6,4.92,0.00,2.94,0.60
1738509655.119198,31.6,4.92,0.00,2.94,0.60
1738509655.219124,31.6,4.92,0.00,2.94,0.60
1738509655.318929,31.6,4.92,0.00,2.94,0.60
1738509655.419103,31.6,4.92,0.00,2.94,0.60
1738509655.519175,31.6,4.92,0.00,2.94,0.60
1738509655.619111,31.6,4.92,0.00,2.94,0.60
1738509655.719127,31.6,4.92,0.00,2.94,0.60
1738509655.819086,31.6,4.92,0.00,2.92,0.60
1738509655.919089,31.6,4.92,0.00,2.94,0.61
1738509656.019009,31.6,4.92,0.00,2.94,0.60
1738509656.119183,32.5,4.92,0.00,2.94,0.61
1738509656.219137,32.5,4.92,0.00,2.94,0.60
1738509656.318947,32.5,4.92,0.00,2.94,0.60
1738509656.419106,32.5,4.92,0.00,2.94,0.60
1738509656.519106,32.5,4.92,0.00,2.94,0.60
1738509656.619082,32.5,4.92,0.00,2.92,0.60
1738509656.719177,32.5,4.92,0.00,2.94,0.60
1738509656.819226,32.5,4.92,0.00,2.94,0.61
1738509656.919143,32.5,4.92,0.00,2.94,0.61
1738509657.019166,32.5,4.92,0.00,2.94,0.60
1738509657.119121,32.5,4.92,0.00,2.94,0.60
1738509657.219182,32.5,4.92,0.00,2.94,0.60
1738509657.318941,32.5,4.92,0.00,2.94,0.60
1738509657.419177,32.5,4.92,0.00,2.94,0.59
1738509657.519033,32.5,4.92,0.00,2.94,0.60
1738509657.619110,32.5,4.92,0.00,2.94,0.60
1738509657.719136,32.5,4.92,0.00,2.94,0.60
1738509657.819118,31.6,4.92,0.00,2.92,0.60
1738509657.918975,31.6,4.92,0.00,2.94,0.60
1738509658.019000,31.6,4.92,0.00,2.94,0.60
1738509658.118937,31.6,4.92,0.00,2.94,0.60
1738509658.218912,31.6,4.92,0.00,2.94,0.60
1738509658.318713,31.6,4.92,0.00,2.94,0.60
1738509658.419030,31.6,4.92,0.00,2.94,0.60
1738509658.520563,31.6,4.92,0.00,2.94,0.60
1738509658.618981,31.6,4.92,0.00,2.94,0.61
1738509658.718874,32.5,4.92,0.00,2.94,0.60
1738509658.818925,32.5,4.92,0.00,2.94,0.60
1738509658.922468,32.5,4.92,0.00,2.94,0.59
1738509659.018988,32.5,4.92,0.00,2.94,0.60
1738509659.118942,32.5,4.92,0.00,2.94,0.60
1738509659.219960,32.5,4.92,0.00,2.94,0.60
1738509659.318830,32.5,4.92,0.00,2.94,0.60
1738509659.418989,32.5,4.92,0.00,2.94,0.60
1738509659.518835,32.5,4.92,0.00,2.92,0.59
1738509659.618833,32.5,4.92,0.00,2.94,0.60
1738509659.719150,32.5,4.92,0.00,2.94,0.60
1738509659.819128,32.5,4.92,0.00,2.94,0.59
1738509659.918825,32.5,4.92,0.00,2.94,0.60
1738509660.018972,32.5,4.92,0.00,2.94,0.60
1738509660.119108,32.5,4.92,0.00,2.92,0.60
1738509660.219172,32.5,4.92,0.00,2.94,0.60
1738509660.318875,32.5,4.92,0.00,2.94,0.60
1738509660.419148,32.5,4.92,0.00,2.94,0.60
1738509660.519144,32.5,4.92,0.00,2.94,0.60
1738509660.619195,32.5,4.92,0.00,2.92,0.60
1738509660.719080,32.5,4.92,0.00,2.94,0.60
1738509660.819173,32.5,4.92,0.00,2.94,0.59
1738509660.919172,32.5,4.92,0.00,2.94,0.60
1738509661.019188,32.5,4.92,0.00,2.94,0.60
1738509661.119072,32.5,4.92,0.00,2.94,0.60
1738509661.219064,31.6,4.92,0.00,2.94,0.60
1738509661.318864,31.6,4.92,0.00,2.94,0.60
1738509661.419167,31.6,4.92,0.00,2.94,0.60
1738509661.519217,31.6,4.92,0.00,2.94,0.60
1738509661.619040,31.6,4.92,0.00,2.92,0.60
1738509661.719070,31.6,4.92,0.00,2.94,0.60
1738509661.819064,31.6,4.92,0.00,2.94,0.60
1738509661.919162,31.6,4.92,0.00,2.94,0.60
1738509662.019094,31.6,4.92,0.00,2.94,0.60
1738509662.119131,31.6,4.92,0.00,2.94,0.60
1738509662.219098,31.6,4.92,0.00,2.94,0.60
1738509662.318829,31.6,4.92,0.00,2.94,0.60
1738509662.419194,31.6,4.92,0.00,2.94,0.60
1738509662.519136,31.6,4.92,0.00,2.94,0.60
1738509662.619114,31.6,4.92,0.00,2.94,0.60
1738509662.719146,31.6,4.92,0.00,2.94,0.60
1738509662.819187,32.5,4.92,0.00,2.94,0.60
1738509662.919135,32.5,4.92,0.00,2.94,0.60
1738509663.019182,32.5,4.92,0.00,2.92,0.60
1738509663.119126,32.5,4.92,0.00,2.94,0.60
1738509663.219134,32.5,4.92,0.00,2.94,0.60
1738509663.318867,32.5,4.92,0.00,2.92,0.60
1738509663.419134,32.5,4.92,0.00,2.94,0.60
1738509663.519198,32.5,4.92,0.00,2.94,0.60
1738509663.619055,32.5,4.92,0.00,2.94,0.60
1738509663.719102,31.6,4.92,0.00,2.94,0.60
1738509663.819147,31.6,4.92,0.00,2.94,0.60
1738509663.919022,31.6,4.92,0.00,2.94,0.60
1738509664.019129,31.6,4.92,0.00,2.94,0.61
1738509664.119225,31.6,4.92,0.00,2.94,0.59
1738509664.219164,31.6,4.92,0.00,2.94,0.60
1738509664.319018,31.6,4.92,0.00,2.94,0.60
1738509664.419107,31.6,4.92,0.00,3.02,0.60
1738509664.519082,31.6,4.92,0.00,2.94,0.60
1738509664.619170,31.6,4.92,0.00,2.94,0.60
1738509664.719184,31.6,4.92,0.00,2.94,0.60
1738509664.819205,31.6,4.92,0.00,2.94,0.60
1738509664.919171,31.6,4.92,0.00,2.94,0.59
1738509665.019081,31.6,4.92,0.00,2.94,0.60
1738509665.119058,31.6,4.92,0.00,2.94,0.60
1738509665.219198,31.6,4.92,0.00,2.94,0.60
1738509665.318918,31.6,4.92,0.00,2.94,0.60
1738509665.419077,31.6,4.92,0.00,2.94,0.61
