timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510152.428173,36.8,4.92,0.00,2.92,0.60
1738510152.529847,36.8,4.92,0.00,2.94,0.60
1738510152.631319,36.8,4.92,0.00,2.92,0.59
1738510152.732960,35.1,4.92,0.00,2.92,0.60
1738510152.834558,35.1,4.92,0.00,2.94,0.60
1738510152.935972,35.1,4.92,0.00,2.94,0.60
1738510153.037655,35.1,4.92,0.00,2.94,0.59
1738510153.139229,35.1,4.92,0.00,2.92,0.60
1738510153.240875,35.1,4.92,0.00,2.94,0.60
1738510153.342275,35.1,4.92,0.00,2.94,0.60
1738510153.443965,35.1,4.92,0.00,2.92,0.60
1738510153.545551,35.1,4.92,0.00,2.94,0.60
1738510153.647151,34.2,4.92,0.00,2.94,0.60
1738510153.748685,34.2,4.92,0.00,2.94,0.60
1738510153.850415,34.2,4.92,0.00,2.94,0.60
1738510153.951997,34.2,4.92,0.00,2.92,0.60
1738510154.053402,34.2,4.92,0.00,2.94,0.60
1738510154.155091,34.2,4.92,0.00,2.94,0.59
1738510154.256699,34.2,4.92,0.00,2.92,0.60
1738510154.356595,34.2,4.92,0.00,2.94,0.60
1738510154.458187,33.3,4.92,0.00,2.94,0.60
1738510154.559507,33.3,4.92,0.00,2.92,0.60
1738510154.661314,33.3,4.92,0.00,2.94,0.60
1738510154.762720,33.3,4.92,0.00,2.94,0.60
1738510154.864319,33.3,4.92,0.00,2.94,0.60
1738510154.965908,33.3,4.92,0.00,2.94,0.60
1738510155.067659,33.3,4.92,0.00,2.94,0.60
1738510155.169259,33.3,4.92,0.00,2.94,0.60
1738510155.270784,34.2,4.92,0.00,2.94,0.60
1738510155.372247,34.2,4.92,0.00,2.92,0.60
1738510155.473926,34.2,4.92,0.00,2.92,0.60
1738510155.575563,34.2,4.92,0.00,2.94,0.60
1738510155.677194,34.2,4.92,0.00,2.94,0.60
1738510155.778832,34.2,4.92,0.00,2.94,0.60
1738510155.880296,34.2,4.92,0.00,2.92,0.60
1738510155.981955,34.2,4.92,0.00,2.94,0.60
1738510156.083483,34.2,4.92,0.00,2.92,0.60
1738510156.184971,34.2,4.92,0.00,2.92,0.60
1738510156.286677,34.2,4.92,0.00,2.92,0.60
1738510156.387947,34.2,4.92,0.00,2.94,0.60
1738510156.489450,34.2,4.92,0.00,2.92,0.59
1738510156.591333,34.2,4.92,0.00,2.94,0.60
1738510156.692958,34.2,4.92,0.00,2.92,0.60
1738510156.794528,34.2,4.92,0.00,2.94,0.60
1738510156.896099,34.2,4.92,0.00,2.92,0.59
1738510156.997709,33.3,4.92,0.00,2.92,0.60
1738510157.097640,33.3,4.92,0.00,2.94,0.60
1738510157.199126,33.3,4.92,0.00,2.94,0.60
1738510157.300634,33.3,4.92,0.00,2.92,0.59
1738510157.402359,33.3,4.92,0.00,2.94,0.60
1738510157.503837,33.3,4.92,0.00,2.92,0.60
1738510157.605542,33.3,4.92,0.00,2.94,0.60
1738510157.706904,33.3,4.92,0.00,2.92,0.59
1738510157.808653,34.2,4.92,0.00,2.94,0.60
1738510157.910151,34.2,4.92,0.00,2.94,0.59
