timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508490.664189,31.6,4.89,0.00,3.24,0.65
1738508490.765791,31.6,4.89,0.00,3.18,0.66
1738508490.866191,31.6,4.90,0.00,3.24,0.66
1738508490.968382,34.2,4.89,0.00,3.24,0.65
1738508491.069628,34.2,4.89,0.00,3.18,0.66
1738508491.171174,34.2,4.89,0.00,3.18,0.65
1738508491.273146,34.2,4.89,0.00,3.18,0.65
1738508491.373731,34.2,4.89,0.00,3.24,0.65
1738508491.475699,34.2,4.89,0.00,3.18,0.66
1738508491.577099,34.2,4.89,0.00,3.24,0.66
1738508491.679221,34.2,4.89,0.00,3.18,0.66
1738508491.781026,34.2,4.89,0.00,3.18,0.66
1738508491.882406,34.2,4.90,0.00,3.18,0.66
1738508491.983706,34.2,4.89,0.00,3.24,0.65
1738508492.085012,34.2,4.89,0.00,3.24,0.65
1738508492.186578,34.2,4.89,0.00,3.18,0.65
1738508492.288889,34.2,4.89,0.00,3.18,0.65
1738508492.390203,34.2,4.89,0.00,3.18,0.66
1738508492.491409,34.2,4.89,0.00,3.18,0.65
1738508492.593673,34.2,4.89,0.00,3.24,0.66
1738508492.695039,207.0,4.89,0.00,3.18,0.65
1738508492.796420,207.0,4.89,0.00,3.18,0.65
1738508492.897077,207.0,4.89,0.00,3.18,0.65
1738508492.998016,207.0,4.89,0.00,3.18,0.66
1738508493.099864,207.0,4.89,0.00,3.18,0.66
1738508493.200920,207.0,4.89,0.00,3.24,0.66
1738508493.302290,207.0,4.89,0.00,3.18,0.66
1738508493.404501,207.0,4.89,0.00,3.24,0.65
1738508493.505117,35.1,4.89,0.00,3.18,0.66
1738508493.607710,35.1,4.89,0.00,3.18,0.66
1738508493.709101,35.1,4.89,0.00,3.24,0.65
1738508493.810676,35.1,4.89,0.00,3.18,0.65
1738508493.912442,35.1,4.89,0.00,3.18,0.66
1738508494.013272,35.1,4.89,0.00,3.24,0.66
1738508494.115577,35.1,4.89,0.00,3.18,0.65
1738508494.217108,35.1,4.89,0.00,3.18,0.66
1738508494.317220,36.0,4.89,0.00,3.18,0.66
1738508494.418691,36.0,4.89,0.00,3.18,0.66
1738508494.518409,36.0,4.89,0.00,3.24,0.66
1738508494.619605,36.0,4.89,0.00,3.18,0.66
1738508494.721724,36.0,4.89,0.00,3.18,0.65
1738508494.821330,36.0,4.89,0.00,3.18,0.66
1738508494.923492,36.0,4.89,0.00,3.24,0.66
1738508495.024486,36.0,4.89,0.00,3.18,0.65
1738508495.125833,36.0,4.89,0.00,3.18,0.66
1738508495.228080,36.0,4.89,0.00,3.18,0.65
1738508495.329690,36.0,4.89,0.00,3.18,0.66
1738508495.430925,36.0,4.89,0.00,3.24,0.65
1738508495.532760,36.0,4.89,0.00,3.24,0.66
1738508495.634196,36.0,4.89,0.00,3.24,0.66
1738508495.736118,36.0,4.89,0.00,3.18,0.65
1738508495.837307,36.0,4.89,0.00,3.18,0.65
1738508495.937559,36.0,4.89,0.00,3.18,0.65
1738508496.038865,35.1,4.89,0.00,3.18,0.66
1738508496.139968,35.1,4.89,0.00,3.18,0.65
1738508496.242024,35.1,4.90,0.00,3.18,0.65
1738508496.349920,35.1,4.89,0.00,3.18,0.66
1738508496.452004,35.1,4.89,0.00,3.24,0.65
1738508496.552885,35.1,4.89,0.00,3.18,0.66
1738508496.654923,35.1,4.89,0.00,3.18,0.66
1738508496.756612,35.1,4.89,0.00,3.24,0.66
1738508496.858364,35.1,4.90,0.00,3.18,0.65
1738508496.959530,35.1,4.89,0.00,3.18,0.66
1738508497.061206,35.1,4.89,0.00,3.18,0.65
1738508497.162673,35.1,4.89,0.00,3.18,0.66
1738508497.264007,35.1,4.89,0.00,3.18,0.66
1738508497.366020,35.1,4.89,0.00,3.18,0.66
1738508497.467483,35.1,4.89,0.00,3.18,0.65
1738508497.568876,35.1,4.89,0.00,3.18,0.66
1738508497.671034,36.0,4.90,0.00,3.18,0.65
1738508497.772241,36.0,4.89,0.00,3.24,0.65
1738508497.874151,36.0,4.89,0.00,3.18,0.65
1738508497.975541,36.0,4.89,0.00,3.24,0.65
1738508498.077064,36.0,4.89,0.00,3.18,0.65
1738508498.178647,36.0,4.89,0.00,3.18,0.66
1738508498.280549,36.0,4.89,0.00,3.18,0.65
1738508498.380402,36.0,4.89,0.00,3.24,0.66
1738508498.481346,36.0,4.89,0.00,3.18,0.65
1738508498.582921,36.0,4.89,0.00,3.18,0.66
1738508498.684979,36.0,4.89,0.00,3.24,0.66
1738508498.786727,36.0,4.89,0.00,3.18,0.65
1738508498.887669,36.0,4.89,0.00,3.18,0.65
1738508498.989526,36.0,4.89,0.00,3.18,0.66
1738508499.091435,36.0,4.89,0.00,3.24,0.66
1738508499.192721,36.0,4.89,0.00,3.18,0.65
1738508499.293971,36.0,4.89,0.00,3.24,0.65
1738508499.395991,36.0,4.89,0.00,3.18,0.65
1738508499.497568,36.0,4.89,0.00,3.18,0.66
1738508499.599144,36.0,4.89,0.00,3.18,0.66
1738508499.700584,36.0,4.89,0.00,3.18,0.66
1738508499.801858,36.0,4.89,0.00,3.18,0.65
1738508499.904103,36.0,4.89,0.00,3.18,0.66
1738508500.005558,36.0,4.90,0.00,3.18,0.65
1738508500.107281,36.0,4.89,0.00,3.18,0.66
1738508500.208191,35.1,4.89,0.00,3.18,0.65
1738508500.309947,35.1,4.89,0.00,3.24,0.65
1738508500.411871,35.1,4.90,0.00,3.18,0.66
