timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508631.456092,32.5,4.89,0.00,3.18,0.65
1738508631.557838,32.5,4.89,0.00,3.18,0.65
1738508631.658792,32.5,4.89,0.00,3.18,0.65
1738508631.759715,32.5,4.89,0.00,3.24,0.66
1738508631.861589,32.5,4.89,0.00,3.18,0.65
1738508631.963720,34.2,4.89,0.00,3.18,0.66
1738508632.064621,34.2,4.89,0.00,3.18,0.66
1738508632.166827,34.2,4.89,0.00,3.18,0.66
1738508632.267784,34.2,4.89,0.00,3.18,0.65
1738508632.369945,34.2,4.89,0.00,3.18,0.65
1738508632.470762,34.2,4.89,0.00,3.18,0.65
1738508632.572379,34.2,4.89,0.00,3.18,0.66
1738508632.674647,34.2,4.89,0.00,3.18,0.66
1738508632.775754,35.1,4.89,0.00,3.18,0.66
1738508632.877552,35.1,4.89,0.00,3.18,0.66
1738508632.978829,35.1,4.89,0.00,3.18,0.65
1738508633.080815,35.1,4.89,0.00,3.18,0.65
1738508633.182292,35.1,4.89,0.00,3.18,0.66
1738508633.283441,35.1,4.90,0.00,3.18,0.65
1738508633.385743,35.1,4.89,0.00,3.24,0.66
1738508633.486984,35.1,4.89,0.00,3.18,0.66
1738508633.587811,35.1,4.89,0.00,3.18,0.65
1738508633.690059,35.1,4.89,0.00,3.18,0.66
1738508633.791489,35.1,4.89,0.00,3.18,0.66
1738508633.892895,35.1,4.89,0.00,3.18,0.66
1738508633.995146,35.1,4.89,0.00,3.18,0.65
1738508634.096331,35.1,4.89,0.00,3.18,0.65
1738508634.197659,35.1,4.89,0.00,3.18,0.65
1738508634.299134,35.1,4.89,0.00,3.24,0.65
1738508634.401282,35.1,4.89,0.00,3.24,0.65
1738508634.503109,35.1,4.89,0.00,3.24,0.65
1738508634.604621,35.1,4.89,0.00,3.18,0.66
1738508634.706441,35.1,4.89,0.00,3.18,0.66
1738508634.807749,35.1,4.89,0.00,3.24,0.66
1738508634.909134,35.1,4.89,0.00,3.18,0.66
1738508635.011014,35.1,4.89,0.00,3.24,0.65
1738508635.112446,35.1,4.90,0.00,3.24,0.66
1738508635.214044,35.1,4.89,0.00,3.18,0.66
1738508635.314770,35.1,4.89,0.00,3.18,0.65
1738508635.416468,35.1,4.89,0.00,3.18,0.65
1738508635.518647,35.1,4.89,0.00,3.24,0.66
1738508635.620529,35.1,4.89,0.00,3.24,0.66
1738508635.722109,35.1,4.89,0.00,3.24,0.65
1738508635.822776,35.1,4.89,0.00,3.18,0.65
1738508635.923583,35.1,4.89,0.00,3.18,0.65
1738508636.025022,35.1,4.89,0.00,3.18,0.66
1738508636.126716,36.0,4.89,0.00,3.18,0.66
1738508636.228105,36.0,4.89,0.00,3.18,0.65
1738508636.330100,36.0,4.89,0.00,3.24,0.66
1738508636.430638,36.0,4.89,0.00,3.24,0.66
1738508636.532074,36.0,4.89,0.00,3.24,0.66
1738508636.634601,36.0,4.89,0.00,3.18,0.65
1738508636.735895,36.0,4.89,0.00,3.18,0.65
1738508636.837199,36.0,4.89,0.00,3.24,0.66
1738508636.939427,36.0,4.89,0.00,3.18,0.66
1738508637.040895,36.0,4.89,0.00,3.18,0.66
1738508637.142625,36.0,4.89,0.00,3.24,0.66
1738508637.243453,36.0,4.89,0.00,3.18,0.66
1738508637.345574,36.0,4.89,0.00,3.24,0.66
1738508637.447060,36.0,4.89,0.00,3.24,0.66
1738508637.548214,36.0,4.89,0.00,3.24,0.65
1738508637.650229,36.0,4.89,0.00,3.18,0.65
1738508637.751983,36.0,4.89,0.00,3.24,0.66
1738508637.852702,35.1,4.89,0.00,3.18,0.65
1738508637.952916,35.1,4.89,0.00,3.24,0.65
1738508638.054684,35.1,4.89,0.00,3.18,0.66
1738508638.155999,35.1,4.89,0.00,3.18,0.65
1738508638.258436,35.1,4.89,0.00,3.18,0.66
1738508638.359195,35.1,4.89,0.00,3.24,0.66
1738508638.459896,35.1,4.89,0.00,3.24,0.65
1738508638.560975,35.1,4.89,0.00,3.18,0.65
1738508638.663151,35.1,4.89,0.00,3.18,0.65
1738508638.764696,35.1,4.89,0.00,3.24,0.65
1738508638.865481,35.1,4.89,0.00,3.24,0.65
1738508638.967773,35.1,4.89,0.00,3.18,0.66
1738508639.069567,35.1,4.89,0.00,3.24,0.65
1738508639.171431,35.1,4.89,0.00,3.24,0.65
1738508639.272323,35.1,4.89,0.00,3.18,0.65
