timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509928.595918,33.3,4.88,0.00,3.28,0.68
1738509928.698611,33.3,4.88,0.00,3.30,0.67
1738509928.800250,36.0,4.88,0.00,3.28,0.67
1738509928.900032,36.0,4.88,0.00,3.28,0.67
1738509929.001765,36.0,4.88,0.00,3.28,0.68
1738509929.103248,36.0,4.88,0.00,3.28,0.68
1738509929.204552,36.0,4.88,0.00,3.28,0.68
1738509929.306345,36.0,4.88,0.00,3.28,0.67
1738509929.408012,36.0,4.88,0.00,3.28,0.68
1738509929.509639,36.0,4.88,0.00,3.28,0.67
1738509929.611012,36.8,4.88,0.00,3.28,0.67
1738509929.711761,36.8,4.88,0.00,3.28,0.67
1738509929.814271,36.8,4.88,0.00,3.28,0.68
1738509929.915824,36.8,4.88,0.00,3.28,0.67
1738509930.017276,36.8,4.88,0.00,3.28,0.67
1738509930.118998,36.8,4.88,0.00,3.28,0.67
1738509930.220441,36.8,4.88,0.00,3.28,0.67
1738509930.323712,36.8,4.88,0.00,3.28,0.68
1738509930.423405,36.8,4.88,0.00,3.28,0.67
1738509930.524483,36.8,4.88,0.00,3.30,0.67
1738509930.626811,36.8,4.88,0.00,3.28,0.67
1738509930.728340,36.8,4.88,0.00,3.30,0.68
1738509930.830080,36.8,4.88,0.00,3.28,0.68
1738509930.931531,36.8,4.88,0.00,3.28,0.68
1738509931.033227,36.8,4.88,0.00,3.28,0.67
1738509931.134792,36.8,4.88,0.00,3.28,0.67
1738509931.236395,36.8,4.88,0.00,3.28,0.68
1738509931.337856,36.8,4.88,0.00,3.30,0.67
1738509931.439662,36.8,4.88,0.00,3.28,0.67
1738509931.541152,36.8,4.88,0.00,3.28,0.67
1738509931.642746,36.8,4.88,0.00,3.28,0.67
1738509931.743984,36.8,4.88,0.00,3.30,0.68
1738509931.844405,36.8,4.88,0.00,3.28,0.68
1738509931.945915,36.8,4.88,0.00,3.28,0.67
1738509932.047254,36.8,4.88,0.00,3.28,0.67
1738509932.147850,37.7,4.88,0.00,3.28,0.67
1738509932.248903,37.7,4.88,0.00,3.28,0.67
1738509932.350525,37.7,4.88,0.00,3.28,0.67
1738509932.451970,37.7,4.88,0.00,3.28,0.67
1738509932.553609,37.7,4.88,0.00,3.28,0.67
1738509932.654333,37.7,4.88,0.00,3.28,0.67
1738509932.756819,37.7,4.88,0.00,3.30,0.67
1738509932.858250,37.7,4.88,0.00,3.28,0.67
1738509932.959966,37.7,4.88,0.00,3.28,0.67
1738509933.061457,37.7,4.88,0.00,3.28,0.67
1738509933.163022,37.7,4.88,0.00,3.28,0.67
1738509933.264714,37.7,4.88,0.00,3.28,0.67
1738509933.366410,37.7,4.88,0.00,3.28,0.67
1738509933.467968,37.7,4.88,0.00,3.28,0.68
1738509933.569330,37.7,4.88,0.00,3.28,0.68
1738509933.670972,37.7,4.88,0.00,3.28,0.67
1738509933.772635,37.7,4.88,0.00,3.28,0.67
1738509933.874064,37.7,4.88,0.00,3.22,0.67
1738509933.975874,37.7,4.88,0.00,3.28,0.68
1738509934.076896,37.7,4.88,0.00,3.30,0.67
1738509934.178817,37.7,4.88,0.00,3.28,0.67
1738509934.280508,37.7,4.88,0.00,3.28,0.68
1738509934.382356,37.7,4.88,0.00,3.28,0.68
1738509934.483703,37.7,4.88,0.00,3.28,0.67
1738509934.585344,37.7,4.88,0.00,3.28,0.68
1738509934.685864,37.7,4.88,0.00,3.28,0.67
1738509934.787484,37.7,4.88,0.00,3.28,0.67
1738509934.888967,37.7,4.88,0.00,3.28,0.67
1738509934.990640,37.7,4.88,0.00,3.28,0.67
1738509935.090638,37.7,4.88,0.00,3.30,0.68
1738509935.192140,37.7,4.88,0.00,3.28,0.68
1738509935.293800,37.7,4.88,0.00,3.28,0.67
1738509935.395266,37.7,4.88,0.00,3.28,0.67
1738509935.496905,36.8,4.88,0.00,3.28,0.67
1738509935.598527,36.8,4.88,0.00,3.28,0.67
1738509935.699972,36.8,4.88,0.00,3.28,0.68
1738509935.801708,36.8,4.88,0.00,3.28,0.67
