timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509025.519636,29.8,4.89,0.00,3.24,0.65
1738509025.621446,29.8,4.89,0.00,3.18,0.65
1738509025.723676,29.8,4.89,0.00,3.24,0.66
1738509025.825403,29.8,4.89,0.00,3.24,0.66
1738509025.926824,29.8,4.89,0.00,3.22,0.66
1738509026.028422,29.8,4.89,0.00,3.18,0.65
1738509026.129941,29.8,4.89,0.00,3.24,0.66
1738509026.231909,35.1,4.89,0.00,3.24,0.66
1738509026.332638,35.1,4.89,0.00,3.22,0.66
1738509026.434881,35.1,4.89,0.00,3.24,0.66
1738509026.535845,35.1,4.89,0.00,3.22,0.66
1738509026.637129,35.1,4.89,0.00,3.24,0.66
1738509026.737329,35.1,4.89,0.00,3.24,0.66
1738509026.839341,35.1,4.90,0.00,3.18,0.66
1738509026.941181,35.1,4.89,0.00,3.24,0.66
1738509027.042399,35.1,4.89,0.00,3.24,0.66
1738509027.144051,35.1,4.89,0.00,3.22,0.66
1738509027.245886,35.1,4.89,0.00,3.18,0.65
1738509027.347323,35.1,4.89,0.00,3.24,0.66
1738509027.449060,35.1,4.89,0.00,3.18,0.66
1738509027.550487,35.1,4.89,0.00,3.24,0.66
1738509027.651914,35.1,4.89,0.00,3.22,0.66
1738509027.753582,35.1,4.89,0.00,3.22,0.66
1738509027.855296,35.1,4.89,0.00,3.18,0.66
1738509027.956832,35.1,4.89,0.00,3.18,0.66
1738509028.058334,35.1,4.89,0.00,3.22,0.66
1738509028.159875,35.1,4.89,0.00,3.18,0.65
1738509028.261496,35.1,4.89,0.00,3.18,0.66
1738509028.363165,35.1,4.89,0.00,3.24,0.65
1738509028.464710,35.1,4.89,0.00,3.18,0.66
1738509028.566655,35.1,4.89,0.00,3.18,0.65
1738509028.667981,36.0,4.89,0.00,3.18,0.66
1738509028.769707,36.0,4.89,0.00,3.24,0.66
1738509028.871024,36.0,4.89,0.00,3.18,0.66
1738509028.972503,36.0,4.89,0.00,3.18,0.66
1738509029.074489,36.0,4.89,0.00,3.24,0.66
1738509029.175238,36.0,4.89,0.00,3.24,0.66
1738509029.275403,36.0,4.89,0.00,3.24,0.66
1738509029.377219,36.0,4.89,0.00,3.24,0.65
1738509029.478217,36.0,4.89,0.00,3.18,0.66
1738509029.579529,35.1,4.89,0.00,3.24,0.66
1738509029.680346,35.1,4.89,0.00,3.22,0.66
1738509029.781193,35.1,4.89,0.00,3.18,0.66
1738509029.881239,35.1,4.89,0.00,3.18,0.66
1738509029.982602,35.1,4.89,0.00,3.24,0.65
1738509030.084657,35.1,4.89,0.00,3.24,0.66
1738509030.185822,35.1,4.89,0.00,3.18,0.66
1738509030.288013,35.1,4.89,0.00,3.22,0.66
1738509030.388955,36.0,4.89,0.00,3.24,0.66
1738509030.490833,36.0,4.89,0.00,3.22,0.66
1738509030.590858,36.0,4.89,0.00,3.24,0.65
1738509030.692394,36.0,4.89,0.00,3.24,0.66
1738509030.794025,36.0,4.89,0.00,3.18,0.66
1738509030.895830,36.0,4.89,0.00,3.18,0.66
1738509030.997098,36.0,4.89,0.00,3.18,0.66
1738509031.099133,36.0,4.89,0.00,3.18,0.66
1738509031.199935,36.0,4.89,0.00,3.18,0.66
1738509031.302072,36.0,4.89,0.00,3.24,0.66
1738509031.403150,36.0,4.89,0.00,3.24,0.66
1738509031.505256,36.0,4.89,0.00,3.22,0.66
1738509031.606911,36.0,4.89,0.00,3.24,0.66
1738509031.707871,36.0,4.89,0.00,3.18,0.66
1738509031.809878,36.0,4.89,0.00,3.22,0.66
1738509031.911561,36.0,4.89,0.00,3.22,0.66
1738509032.012484,36.0,4.89,0.00,3.18,0.65
1738509032.114243,36.0,4.89,0.00,3.18,0.66
1738509032.215655,36.0,4.89,0.00,3.22,0.66
1738509032.318092,36.0,4.89,0.00,3.22,0.66
1738509032.419642,36.0,4.89,0.00,3.24,0.66
1738509032.518897,36.0,4.89,0.00,3.24,0.66
1738509032.620690,36.0,4.89,0.00,3.24,0.66
1738509032.722642,36.0,4.89,0.00,3.24,0.66
1738509032.823838,36.0,4.89,0.00,3.24,0.66
1738509032.925743,36.0,4.89,0.00,3.24,0.65
1738509033.027271,36.0,4.89,0.00,3.22,0.66
1738509033.128063,36.0,4.89,0.00,3.24,0.66
1738509033.228560,36.0,4.89,0.00,3.22,0.66
1738509033.330331,36.0,4.89,0.00,3.22,0.66
1738509033.432016,36.0,4.89,0.00,3.24,0.66
1738509033.533645,36.0,4.89,0.00,3.24,0.66
1738509033.635485,36.0,4.89,0.00,3.22,0.66
1738509033.736782,36.8,4.89,0.00,3.24,0.65
1738509033.846052,36.8,4.89,0.00,3.24,0.65
1738509033.939376,36.8,4.89,0.00,3.24,0.66
1738509034.040978,36.8,4.89,0.00,3.18,0.66
1738509034.142991,36.8,4.89,0.00,3.24,0.65
1738509034.244548,36.8,4.89,0.00,3.18,0.66
1738509034.346151,36.8,4.89,0.00,3.24,0.66
1738509034.447637,36.8,4.89,0.00,3.18,0.66
1738509034.548896,36.0,4.89,0.00,3.24,0.66
1738509034.650398,36.0,4.89,0.00,3.24,0.66
1738509034.752658,36.0,4.89,0.00,3.18,0.66
1738509034.854487,36.0,4.89,0.00,3.22,0.66
1738509034.955719,36.0,4.89,0.00,3.24,0.65
1738509035.057469,36.0,4.89,0.00,3.22,0.66
1738509035.159030,36.0,4.89,0.00,3.24,0.66
1738509035.260449,36.0,4.89,0.00,3.22,0.66
1738509035.362124,36.0,4.89,0.00,3.18,0.65
1738509035.463476,36.0,4.89,0.00,3.22,0.66
1738509035.565231,36.0,4.89,0.00,3.22,0.66
1738509035.666687,36.0,4.89,0.00,3.24,0.66
1738509035.768362,36.0,4.89,0.00,3.18,0.66
1738509035.870069,36.0,4.89,0.00,3.18,0.66
1738509035.971694,36.0,4.89,0.00,3.24,0.66
1738509036.073191,36.0,4.89,0.00,3.18,0.65
1738509036.175425,36.0,4.89,0.00,3.24,0.65
1738509036.276275,36.0,4.89,0.00,3.24,0.66
1738509036.382574,36.0,4.89,0.00,3.22,0.66
1738509036.483151,36.0,4.89,0.00,3.24,0.66
1738509036.585477,36.0,4.89,0.00,3.18,0.66
1738509036.686658,36.0,4.89,0.00,3.24,0.66
