timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509150.070193,31.6,4.89,0.00,3.18,0.66
1738509150.172597,31.6,4.89,0.00,3.24,0.66
1738509150.273913,31.6,4.89,0.00,3.22,0.66
1738509150.376953,35.1,4.89,0.00,3.24,0.65
1738509150.476468,35.1,4.89,0.00,3.24,0.66
1738509150.585530,35.1,4.89,0.00,3.24,0.66
1738509150.679277,35.1,4.89,0.00,3.24,0.65
1738509150.780537,35.1,4.89,0.00,3.22,0.66
1738509150.881064,35.1,4.89,0.00,3.22,0.66
1738509150.982310,35.1,4.89,0.00,3.24,0.66
1738509151.083874,35.1,4.89,0.00,3.24,0.66
1738509151.185303,35.1,4.89,0.00,3.18,0.66
1738509151.287497,35.1,4.89,0.00,3.24,0.66
1738509151.388610,35.1,4.89,0.00,3.24,0.66
1738509151.490413,35.1,4.89,0.00,3.22,0.66
1738509151.591961,35.1,4.89,0.00,3.24,0.66
1738509151.693378,35.1,4.89,0.00,3.24,0.66
1738509151.795077,35.1,4.89,0.00,3.18,0.66
1738509151.896649,35.1,4.89,0.00,3.22,0.66
1738509151.998135,35.1,4.89,0.00,3.18,0.66
1738509152.099734,35.1,4.89,0.00,3.22,0.66
1738509152.201381,35.1,4.89,0.00,3.24,0.66
1738509152.302858,35.1,4.89,0.00,3.18,0.66
1738509152.404351,35.1,4.89,0.00,3.24,0.66
1738509152.505192,35.1,4.89,0.00,3.24,0.66
1738509152.607774,35.1,4.89,0.00,3.24,0.65
1738509152.708567,35.1,4.89,0.00,3.18,0.66
1738509152.811145,36.0,4.89,0.00,3.24,0.66
1738509152.912286,36.0,4.89,0.00,3.24,0.65
1738509153.014027,36.0,4.89,0.00,3.24,0.66
1738509153.115784,36.0,4.89,0.00,3.22,0.66
1738509153.218449,36.0,4.89,0.00,3.24,0.65
1738509153.318999,36.0,4.89,0.00,3.22,0.66
1738509153.420049,36.0,4.89,0.00,3.24,0.66
1738509153.521551,36.0,4.89,0.00,3.18,0.65
1738509153.623578,36.0,4.89,0.00,3.18,0.65
1738509153.724836,35.1,4.89,0.00,3.18,0.66
1738509153.826834,35.1,4.89,0.00,3.22,0.66
1738509153.928354,35.1,4.89,0.00,3.18,0.65
1738509154.029863,35.1,4.89,0.00,3.22,0.66
1738509154.131306,35.1,4.89,0.00,3.24,0.66
1738509154.232824,35.1,4.89,0.00,3.22,0.66
1738509154.333194,35.1,4.89,0.00,3.18,0.66
1738509154.434574,35.1,4.89,0.00,3.22,0.66
1738509154.536396,36.0,4.89,0.00,3.18,0.66
1738509154.637893,36.0,4.89,0.00,3.24,0.66
1738509154.739554,36.0,4.89,0.00,3.24,0.66
1738509154.841104,36.0,4.89,0.00,3.18,0.66
1738509154.942288,36.0,4.89,0.00,3.24,0.66
1738509155.042645,36.0,4.89,0.00,3.18,0.66
1738509155.143426,36.0,4.89,0.00,3.22,0.66
1738509155.245906,36.0,4.89,0.00,3.22,0.66
1738509155.347392,36.0,4.89,0.00,3.24,0.66
1738509155.448986,36.0,4.89,0.00,3.18,0.66
1738509155.550560,36.0,4.89,0.00,3.18,0.66
1738509155.652330,36.0,4.89,0.00,3.22,0.66
