timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509699.829297,32.5,4.92,0.00,2.92,0.60
1738509699.931121,32.5,4.93,0.00,2.92,0.59
1738509700.032713,32.5,4.92,0.00,2.92,0.60
1738509700.134079,32.5,4.93,0.00,2.92,0.59
1738509700.235663,32.5,4.92,0.00,2.94,0.60
1738509700.337470,32.5,4.93,0.00,2.92,0.59
1738509700.439109,32.5,4.93,0.00,2.92,0.59
1738509700.540807,32.5,4.93,0.00,2.94,0.60
1738509700.642196,31.6,4.93,0.00,2.92,0.59
1738509700.744019,31.6,4.92,0.00,2.92,0.59
1738509700.845370,31.6,4.92,0.00,2.92,0.59
1738509700.946947,31.6,4.92,0.00,2.92,0.60
1738509701.048661,31.6,4.93,0.00,2.92,0.59
1738509701.150071,31.6,4.92,0.00,2.92,0.59
1738509701.251750,31.6,4.93,0.00,2.92,0.59
1738509701.353398,31.6,4.92,0.00,2.92,0.59
1738509701.455103,32.5,4.93,0.00,2.92,0.59
1738509701.556557,32.5,4.92,0.00,2.92,0.59
1738509701.658072,32.5,4.93,0.00,2.92,0.59
1738509701.759709,32.5,4.92,0.00,2.86,0.60
1738509701.861167,32.5,4.93,0.00,2.92,0.59
1738509701.962920,32.5,4.92,0.00,2.92,0.59
1738509702.064455,32.5,4.93,0.00,2.92,0.59
1738509702.166122,32.5,4.93,0.00,2.92,0.59
1738509702.267687,32.5,4.93,0.00,2.92,0.59
1738509702.369293,32.5,4.93,0.00,2.92,0.60
1738509702.470542,32.5,4.92,0.00,2.92,0.59
1738509702.572473,32.5,4.92,0.00,2.92,0.60
1738509702.674003,32.5,4.93,0.00,2.92,0.59
1738509702.775426,32.5,4.93,0.00,2.92,0.60
1738509702.877124,32.5,4.92,0.00,2.92,0.60
1738509702.978652,32.5,4.93,0.00,2.92,0.59
1738509703.080279,32.5,4.93,0.00,2.92,0.59
1738509703.183575,32.5,4.92,0.00,2.92,0.59
1738509703.283351,32.5,4.92,0.00,2.92,0.59
1738509703.385060,32.5,4.92,0.00,2.92,0.59
1738509703.486595,32.5,4.92,0.00,2.92,0.59
1738509703.588147,32.5,4.92,0.00,2.92,0.59
