timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509715.249261,29.8,4.92,0.00,2.92,0.59
1738509715.350662,29.8,4.92,0.00,2.92,0.59
1738509715.452432,29.8,4.92,0.00,2.94,0.59
1738509715.554242,29.8,4.92,0.00,2.92,0.59
1738509715.655782,29.8,4.93,0.00,2.94,0.59
1738509715.757837,32.5,4.92,0.00,2.92,0.59
1738509715.858955,32.5,4.93,0.00,2.94,0.60
1738509715.960363,32.5,4.93,0.00,2.92,0.59
1738509716.062243,32.5,4.92,0.00,2.92,0.60
1738509716.163787,32.5,4.92,0.00,2.92,0.59
1738509716.265432,32.5,4.93,0.00,2.92,0.59
1738509716.366963,32.5,4.92,0.00,2.92,0.60
1738509716.468510,32.5,4.93,0.00,2.92,0.59
1738509716.569901,32.5,4.92,0.00,2.94,0.59
1738509716.671816,32.5,4.93,0.00,2.92,0.59
1738509716.773286,32.5,4.92,0.00,2.92,0.59
1738509716.874979,32.5,4.92,0.00,2.92,0.59
1738509716.978969,32.5,4.93,0.00,2.92,0.60
1738509717.078685,32.5,4.92,0.00,2.92,0.59
1738509717.179600,32.5,4.92,0.00,2.92,0.59
1738509717.281229,32.5,4.93,0.00,2.92,0.59
1738509717.382779,32.5,4.92,0.00,2.92,0.59
1738509717.484491,32.5,4.93,0.00,2.92,0.59
1738509717.585952,32.5,4.92,0.00,2.92,0.59
1738509717.687517,32.5,4.93,0.00,2.92,0.59
1738509717.789148,32.5,4.93,0.00,2.92,0.59
1738509717.890621,32.5,4.92,0.00,2.92,0.59
1738509717.992255,32.5,4.92,0.00,2.92,0.59
1738509718.093897,32.5,4.93,0.00,2.92,0.59
1738509718.195410,32.5,4.92,0.00,2.92,0.60
1738509718.296963,32.5,4.93,0.00,2.92,0.60
1738509718.398649,32.5,4.93,0.00,2.92,0.59
1738509718.500122,32.5,4.93,0.00,2.92,0.59
1738509718.601817,32.5,4.92,0.00,2.92,0.59
1738509718.703273,32.5,4.92,0.00,2.92,0.59
