timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509730.705289,32.5,4.92,0.00,2.94,0.60
1738509730.805353,31.6,4.92,0.00,2.92,0.60
1738509730.905489,31.6,4.92,0.00,2.94,0.60
1738509731.005734,31.6,4.92,0.00,2.94,0.60
1738509731.105757,31.6,4.92,0.00,2.94,0.60
1738509731.205598,31.6,4.92,0.00,2.94,0.60
1738509731.305254,31.6,4.92,0.00,2.92,0.60
1738509731.405551,31.6,4.92,0.00,2.94,0.60
1738509731.505678,31.6,4.92,0.00,2.94,0.60
1738509731.605723,207.0,4.92,0.00,2.92,0.60
1738509731.705723,207.0,4.92,0.00,2.92,0.60
1738509731.805708,207.0,4.92,0.00,2.94,0.60
1738509731.905762,207.0,4.92,0.00,2.94,0.60
1738509732.005661,207.0,4.92,0.00,2.94,0.59
1738509732.105755,207.0,4.92,0.00,2.94,0.60
1738509732.205661,207.0,4.92,0.00,2.94,0.60
1738509732.305688,207.0,4.92,0.00,2.94,0.60
1738509732.405733,207.0,4.92,0.00,2.94,0.60
1738509732.505679,32.5,4.92,0.00,2.92,0.60
1738509732.605405,32.5,4.92,0.00,2.94,0.60
1738509732.705651,32.5,4.92,0.00,2.92,0.60
1738509732.805645,32.5,4.92,0.00,2.94,0.60
1738509732.905701,32.5,4.92,0.00,2.94,0.60
1738509733.005620,32.5,4.92,0.00,2.94,0.60
1738509733.105683,32.5,4.92,0.00,2.92,0.60
1738509733.205450,32.5,4.92,0.00,2.94,0.60
1738509733.305494,32.5,4.92,0.00,2.94,0.60
1738509733.405681,32.5,4.92,0.00,2.94,0.60
1738509733.505578,32.5,4.92,0.00,2.94,0.60
1738509733.605752,32.5,4.92,0.00,2.94,0.60
1738509733.705760,32.5,4.92,0.00,2.92,0.59
1738509733.805789,32.5,4.92,0.00,2.94,0.60
1738509733.905730,32.5,4.92,0.00,2.94,0.60
1738509734.005489,32.5,4.92,0.00,2.94,0.60
1738509734.105315,32.5,4.92,0.00,2.92,0.59
1738509734.205754,32.5,4.92,0.00,2.94,0.60
1738509734.305595,32.5,4.92,0.00,2.94,0.60
1738509734.405738,32.5,4.92,0.00,2.94,0.60
1738509734.505677,32.5,4.92,0.00,2.94,0.60
