timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509747.455779,33.3,4.92,0.00,2.94,0.60
1738509747.555847,32.5,4.92,0.00,2.94,0.60
1738509747.656122,32.5,4.92,0.00,2.94,0.60
1738509747.755956,32.5,4.92,0.00,2.94,0.60
1738509747.856028,32.5,4.92,0.00,2.94,0.60
1738509747.956045,32.5,4.92,0.00,2.94,0.60
1738509748.056015,32.5,4.92,0.00,2.94,0.60
1738509748.155926,32.5,4.92,0.00,2.94,0.59
1738509748.256091,32.5,4.92,0.00,2.94,0.60
1738509748.356046,32.5,4.92,0.00,2.94,0.60
1738509748.456056,32.5,4.92,0.00,2.94,0.60
1738509748.556076,32.5,4.92,0.00,2.94,0.60
1738509748.656144,32.5,4.92,0.00,2.94,0.60
1738509748.756202,32.5,4.92,0.00,2.94,0.60
1738509748.856099,32.5,4.92,0.00,2.94,0.60
1738509748.955815,32.5,4.92,0.00,2.92,0.60
1738509749.056087,32.5,4.92,0.00,2.94,0.60
1738509749.156082,32.5,4.92,0.00,2.94,0.60
1738509749.256088,32.5,4.92,0.00,2.94,0.60
1738509749.356072,32.5,4.92,0.00,2.94,0.60
1738509749.456037,32.5,4.92,0.00,2.94,0.60
1738509749.556024,32.5,4.92,0.00,2.94,0.60
1738509749.656130,32.5,4.92,0.00,2.94,0.60
1738509749.756130,32.5,4.92,0.00,2.94,0.60
1738509749.855844,32.5,4.92,0.00,2.94,0.60
1738509749.955860,32.5,4.92,0.00,2.92,0.60
1738509750.056098,32.5,4.92,0.00,2.92,0.59
1738509750.155911,32.5,4.92,0.00,2.92,0.60
1738509750.256283,32.5,4.92,0.00,2.94,0.60
1738509750.356018,32.5,4.92,0.00,2.92,0.59
1738509750.456081,32.5,4.92,0.00,2.94,0.60
1738509750.556647,32.5,4.92,0.00,2.92,0.60
1738509750.655996,32.5,4.92,0.00,2.94,0.60
1738509750.755758,32.5,4.92,0.00,2.92,0.60
1738509750.855869,32.5,4.92,0.00,2.94,0.60
1738509750.956114,31.6,4.92,0.00,2.94,0.60
1738509751.056015,31.6,4.92,0.00,2.94,0.60
1738509751.155978,31.6,4.92,0.00,2.94,0.60
1738509751.256159,31.6,4.92,0.00,2.94,0.60
1738509751.356095,31.6,4.92,0.00,2.94,0.61
1738509751.456144,31.6,4.92,0.00,2.94,0.60
1738509751.556089,31.6,4.92,0.00,2.92,0.60
1738509751.655991,31.6,4.92,0.00,2.94,0.60
1738509751.756086,31.6,4.92,0.00,2.94,0.60
1738509751.856108,31.6,4.92,0.00,2.92,0.60
1738509751.956190,31.6,4.92,0.00,2.94,0.60
1738509752.056156,31.6,4.92,0.00,2.94,0.60
1738509752.156079,31.6,4.92,0.00,2.92,0.60
1738509752.255990,31.6,4.92,0.00,2.94,0.60
1738509752.356024,31.6,4.92,0.00,2.94,0.60
1738509752.456013,31.6,4.92,0.00,2.92,0.60
1738509752.556041,31.6,4.92,0.00,2.94,0.59
1738509752.656071,31.6,4.92,0.00,2.94,0.60
