timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508245.234224,32.5,4.94,0.00,2.82,0.57
1738508245.335817,32.5,4.94,0.00,2.82,0.57
1738508245.437427,32.5,4.94,0.00,2.82,0.57
1738508245.538997,32.5,4.94,0.00,2.86,0.58
1738508245.640581,32.5,4.94,0.00,2.82,0.57
1738508245.742166,32.5,4.94,0.00,2.82,0.57
1738508245.843838,32.5,4.94,0.00,2.82,0.57
1738508245.945298,32.5,4.94,0.00,2.82,0.57
1738508246.047003,30.7,4.94,0.00,2.76,0.57
1738508246.148482,30.7,4.94,0.00,2.82,0.56
1738508246.250159,30.7,4.94,0.00,2.82,0.58
1738508246.351675,30.7,4.94,0.00,2.82,0.57
1738508246.453261,30.7,4.94,0.00,2.82,0.57
1738508246.554843,30.7,4.94,0.00,2.82,0.57
1738508246.656426,30.7,4.94,0.00,2.82,0.56
1738508246.757967,30.7,4.94,0.00,2.82,0.58
1738508246.859416,30.7,4.94,0.00,2.82,0.57
1738508246.961123,30.7,4.94,0.00,2.82,0.57
1738508247.062690,30.7,4.94,0.00,2.82,0.57
1738508247.164171,30.7,4.94,0.00,2.86,0.57
1738508247.265771,30.7,4.94,0.00,2.82,0.57
1738508247.367420,30.7,4.94,0.00,2.82,0.57
1738508247.469000,30.7,4.94,0.00,2.82,0.57
1738508247.570599,30.7,4.94,0.00,2.82,0.57
1738508247.672098,30.7,4.94,0.00,2.82,0.57
1738508247.773806,29.8,4.94,0.00,2.82,0.57
1738508247.875379,29.8,4.94,0.00,2.82,0.57
1738508247.976895,29.8,4.94,0.00,2.82,0.57
1738508248.078473,29.8,4.94,0.00,2.82,0.57
1738508248.179875,29.8,4.94,0.00,2.82,0.57
1738508248.281709,29.8,4.94,0.00,2.82,0.57
1738508248.383276,29.8,4.94,0.00,2.82,0.57
1738508248.484898,29.8,4.94,0.00,2.82,0.57
1738508248.586453,30.7,4.94,0.00,2.76,0.57
1738508248.688006,30.7,4.94,0.00,2.82,0.57
1738508248.789612,30.7,4.94,0.00,2.82,0.58
1738508248.891195,30.7,4.94,0.00,2.82,0.57
1738508248.992786,30.7,4.94,0.00,2.82,0.57
1738508249.094362,30.7,4.94,0.00,2.82,0.57
1738508249.195832,30.7,4.94,0.00,2.82,0.58
1738508249.297463,30.7,4.94,0.00,2.86,0.58
1738508249.399018,30.7,4.94,0.00,2.82,0.57
1738508249.500608,30.7,4.94,0.00,2.76,0.57
1738508249.602132,30.7,4.94,0.00,2.82,0.57
1738508249.703842,30.7,4.94,0.00,2.82,0.57
1738508249.805390,30.7,4.94,0.00,2.82,0.57
1738508249.906955,30.7,4.94,0.00,2.82,0.57
1738508250.008364,30.7,4.94,0.00,2.82,0.57
1738508250.109994,30.7,4.94,0.00,2.86,0.58
1738508250.211690,29.8,4.94,0.00,2.82,0.57
1738508250.313327,29.8,4.94,0.00,2.82,0.57
1738508250.414913,29.8,4.94,0.00,2.82,0.57
1738508250.516440,29.8,4.94,0.00,2.82,0.57
1738508250.617942,29.8,4.94,0.00,2.82,0.57
1738508250.719596,29.8,4.94,0.00,2.82,0.57
1738508250.821127,29.8,4.94,0.00,2.76,0.57
1738508250.922753,29.8,4.94,0.00,2.82,0.58
1738508251.024427,29.8,4.94,0.00,2.82,0.57
1738508251.125948,29.8,4.94,0.00,2.82,0.57
1738508251.227579,29.8,4.94,0.00,2.82,0.57
1738508251.328799,29.8,4.94,0.00,2.82,0.57
1738508251.430609,29.8,4.94,0.00,2.82,0.57
1738508251.532266,29.8,4.94,0.00,2.82,0.57
1738508251.633797,29.8,4.94,0.00,2.82,0.57
1738508251.735402,29.8,4.94,0.00,2.82,0.57
1738508251.837044,29.8,4.94,0.00,2.82,0.57
1738508251.938531,30.7,4.94,0.00,2.82,0.58
1738508252.040152,30.7,4.94,0.00,2.82,0.57
1738508252.141627,30.7,4.94,0.00,2.82,0.57
1738508252.243247,30.7,4.94,0.00,2.82,0.57
1738508252.344834,30.7,4.94,0.00,2.82,0.57
1738508252.446430,30.7,4.94,0.00,2.76,0.57
1738508252.548113,30.7,4.94,0.00,2.82,0.57
1738508252.649686,30.7,4.94,0.00,2.82,0.57
1738508252.751320,29.8,4.94,0.00,2.82,0.57
1738508252.852852,29.8,4.94,0.00,2.82,0.57
1738508252.954331,29.8,4.94,0.00,2.82,0.57
1738508253.056013,29.8,4.94,0.00,2.82,0.57
1738508253.157558,29.8,4.94,0.00,2.82,0.57
1738508253.259175,29.8,4.94,0.00,2.82,0.57
1738508253.360853,29.8,4.94,0.00,2.82,0.57
1738508253.462282,29.8,4.94,0.00,2.82,0.57
1738508253.563902,29.8,4.94,0.00,2.82,0.57
1738508253.665485,29.8,4.94,0.00,2.82,0.57
1738508253.767069,29.8,4.94,0.00,2.82,0.58
1738508253.868605,29.8,4.94,0.00,2.82,0.57
1738508253.970140,29.8,4.94,0.00,2.76,0.57
1738508254.071722,29.8,4.94,0.00,2.82,0.57
1738508254.173008,29.8,4.94,0.00,2.82,0.57
1738508254.274934,29.8,4.94,0.00,2.82,0.58
1738508254.376510,29.8,4.94,0.00,2.82,0.57
1738508254.478125,29.8,4.94,0.00,2.82,0.57
1738508254.579687,29.8,4.94,0.00,2.82,0.57
1738508254.681270,29.8,4.94,0.00,2.82,0.57
1738508254.783030,29.8,4.94,0.00,2.76,0.56
1738508254.884334,29.8,4.94,0.00,2.82,0.57
1738508254.985978,29.8,4.94,0.00,2.82,0.57
1738508255.087547,29.8,4.94,0.00,2.82,0.57
1738508255.189204,29.8,4.94,0.00,2.76,0.57
1738508255.290786,29.8,4.94,0.00,2.82,0.57
1738508255.392375,29.8,4.94,0.00,2.82,0.57
1738508255.493853,29.8,4.94,0.00,2.76,0.57
1738508255.595471,29.8,4.94,0.00,2.82,0.57
1738508255.697026,29.8,4.94,0.00,2.82,0.57
1738508255.798669,29.8,4.94,0.00,2.82,0.56
1738508255.900289,29.8,4.94,0.00,2.82,0.58
1738508256.001780,29.8,4.94,0.00,2.82,0.57
1738508256.103421,29.8,4.94,0.00,2.82,0.57
1738508256.204990,29.8,4.94,0.00,2.82,0.57
1738508256.306572,29.8,4.94,0.00,2.82,0.57
1738508256.408159,29.8,4.94,0.00,2.82,0.57
1738508256.509567,29.8,4.94,0.00,2.82,0.57
1738508256.611262,29.8,4.94,0.00,2.76,0.57
1738508256.712832,29.8,4.94,0.00,2.76,0.57
1738508256.814487,29.8,4.94,0.00,2.82,0.57
1738508256.916110,29.8,4.94,0.00,2.82,0.57
1738508257.017613,29.8,4.94,0.00,2.82,0.58
1738508257.119173,29.8,4.94,0.00,2.82,0.57
1738508257.220813,29.8,4.94,0.00,2.82,0.57
1738508257.322425,29.8,4.94,0.00,2.82,0.57
1738508257.423984,29.8,4.94,0.00,2.82,0.57
1738508257.525537,29.8,4.94,0.00,2.82,0.57
1738508257.627125,29.8,4.94,0.00,2.76,0.57
1738508257.728682,29.8,4.94,0.00,2.82,0.58
1738508257.830264,29.8,4.94,0.00,2.82,0.57
1738508257.931884,29.8,4.94,0.00,2.82,0.57
1738508258.033445,29.8,4.94,0.00,2.82,0.57
1738508258.135007,29.8,4.94,0.00,2.82,0.58
1738508258.236264,29.8,4.94,0.00,2.82,0.57
1738508258.338135,29.8,4.94,0.00,2.76,0.57
1738508258.439745,29.8,4.94,0.00,2.82,0.57
1738508258.541349,29.8,4.94,0.00,2.82,0.57
1738508258.642954,29.8,4.94,0.00,2.82,0.57
1738508258.744491,29.8,4.94,0.00,2.86,0.57
1738508258.846187,29.8,4.94,0.00,2.82,0.57
1738508258.947658,29.8,4.94,0.00,2.82,0.57
1738508259.049213,29.8,4.94,0.00,2.82,0.57
1738508259.150613,29.8,4.94,0.00,2.82,0.56
1738508259.252374,29.8,4.94,0.00,2.82,0.57
1738508259.353992,29.8,4.94,0.00,2.82,0.58
1738508259.455569,29.8,4.94,0.00,2.82,0.58
1738508259.557131,29.8,4.94,0.00,2.82,0.57
1738508259.658755,29.8,4.94,0.00,2.82,0.57
1738508259.760309,29.8,4.94,0.00,2.82,0.57
1738508259.861889,29.8,4.94,0.00,2.76,0.57
1738508259.963480,29.8,4.94,0.00,2.82,0.57
1738508260.065119,29.8,4.94,0.00,2.86,0.57
