timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508263.281456,31.6,4.94,0.00,2.76,0.58
1738508263.383377,31.6,4.94,0.00,2.82,0.57
1738508263.484988,31.6,4.94,0.00,2.82,0.57
1738508263.586554,31.6,4.94,0.00,2.82,0.58
1738508263.688193,210.5,4.94,0.00,2.82,0.57
1738508263.789788,210.5,4.94,0.00,2.82,0.57
1738508263.891276,210.5,4.94,0.00,2.82,0.57
1738508263.992918,210.5,4.94,0.00,2.82,0.57
1738508264.094478,210.5,4.94,0.00,2.82,0.57
1738508264.195993,210.5,4.94,0.00,2.82,0.57
1738508264.297636,210.5,4.94,0.00,2.82,0.57
1738508264.399244,210.5,4.94,0.00,2.82,0.56
1738508264.500824,30.7,4.94,0.00,2.82,0.57
1738508264.602366,30.7,4.94,0.00,2.82,0.57
1738508264.704020,30.7,4.94,0.00,2.82,0.57
1738508264.805585,30.7,4.94,0.00,2.82,0.57
1738508264.907131,30.7,4.94,0.00,2.82,0.57
1738508265.008734,30.7,4.94,0.00,2.82,0.57
1738508265.110326,30.7,4.94,0.00,2.82,0.57
1738508265.211775,30.7,4.94,0.00,2.76,0.57
1738508265.313507,30.7,4.94,0.00,2.82,0.57
1738508265.414895,30.7,4.94,0.00,2.82,0.57
1738508265.516644,30.7,4.94,0.00,2.82,0.57
1738508265.617924,30.7,4.94,0.00,2.82,0.57
1738508265.719713,30.7,4.94,0.00,2.82,0.57
1738508265.821338,30.7,4.94,0.00,2.82,0.57
1738508265.922975,30.7,4.94,0.00,2.82,0.57
1738508266.024539,30.7,4.94,0.00,2.82,0.57
1738508266.126037,30.7,4.94,0.00,2.76,0.57
1738508266.227658,30.7,4.94,0.00,2.82,0.57
1738508266.329282,30.7,4.94,0.00,2.82,0.57
1738508266.430831,30.7,4.94,0.00,2.82,0.57
1738508266.532475,30.7,4.94,0.00,2.82,0.57
1738508266.634012,30.7,4.94,0.00,2.82,0.57
1738508266.735612,30.7,4.94,0.00,2.82,0.57
1738508266.837166,30.7,4.94,0.00,2.82,0.57
1738508266.938758,30.7,4.94,0.00,2.82,0.57
1738508267.040368,29.8,4.94,0.00,2.82,0.57
1738508267.141715,29.8,4.94,0.00,2.82,0.57
1738508267.243201,29.8,4.94,0.00,2.82,0.58
1738508267.344799,29.8,4.94,0.00,2.82,0.58
