timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508281.357530,30.7,4.92,0.00,2.94,0.59
1738508281.457896,30.7,4.92,0.00,2.94,0.60
1738508281.557788,30.7,4.92,0.00,2.94,0.60
1738508281.657918,30.7,4.93,0.00,2.92,0.59
1738508281.757906,30.7,4.92,0.00,2.92,0.59
1738508281.857964,30.7,4.92,0.00,2.92,0.60
1738508281.957852,30.7,4.93,0.00,2.92,0.60
1738508282.057822,30.7,4.92,0.00,2.92,0.59
1738508282.157882,31.6,4.92,0.00,2.94,0.60
1738508282.257807,31.6,4.92,0.00,2.92,0.59
1738508282.357833,31.6,4.92,0.00,2.92,0.60
1738508282.457854,31.6,4.93,0.00,2.92,0.59
1738508282.557920,31.6,4.92,0.00,2.94,0.60
1738508282.657914,31.6,4.92,0.00,2.92,0.59
1738508282.757942,31.6,4.92,0.00,2.94,0.59
1738508282.857736,31.6,4.92,0.00,2.94,0.59
1738508282.957941,30.7,4.92,0.00,2.92,0.60
1738508283.057919,30.7,4.92,0.00,2.92,0.60
1738508283.157756,30.7,4.92,0.00,2.94,0.60
1738508283.257801,30.7,4.92,0.00,2.92,0.59
1738508283.357600,30.7,4.92,0.00,2.92,0.59
1738508283.457829,30.7,4.92,0.00,2.94,0.59
1738508283.557894,30.7,4.92,0.00,2.92,0.59
1738508283.657937,30.7,4.92,0.00,2.94,0.59
1738508283.757847,31.6,4.92,0.00,2.92,0.59
1738508283.857933,31.6,4.92,0.00,2.94,0.60
1738508283.957818,31.6,4.92,0.00,2.92,0.60
1738508284.057876,31.6,4.92,0.00,2.92,0.60
1738508284.157775,31.6,4.92,0.00,2.92,0.59
1738508284.257878,31.6,4.92,0.00,2.92,0.60
1738508284.357905,31.6,4.92,0.00,2.94,0.59
1738508284.457935,31.6,4.92,0.00,2.94,0.60
1738508284.557770,31.6,4.92,0.00,2.92,0.60
1738508284.657920,30.7,4.93,0.00,2.92,0.60
1738508284.757919,30.7,4.92,0.00,2.92,0.60
1738508284.857888,30.7,4.93,0.00,2.92,0.59
1738508284.957862,30.7,4.92,0.00,2.92,0.60
1738508285.057858,30.7,4.92,0.00,2.92,0.59
1738508285.157869,30.7,4.92,0.00,2.92,0.60
1738508285.257992,30.7,4.92,0.00,2.92,0.60
1738508285.357833,30.7,4.92,0.00,2.92,0.59
1738508285.457811,30.7,4.92,0.00,2.92,0.60
1738508285.557946,30.7,4.92,0.00,2.92,0.59
1738508285.657956,30.7,4.92,0.00,2.92,0.60
1738508285.757903,30.7,4.92,0.00,2.92,0.60
1738508285.857922,30.7,4.92,0.00,2.92,0.59
1738508285.957819,30.7,4.92,0.00,2.92,0.59
1738508286.057915,30.7,4.92,0.00,2.92,0.59
