timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510219.821653,34.2,4.92,0.00,3.02,0.61
1738510219.923296,34.2,4.92,0.00,2.94,0.61
1738510220.025218,34.2,4.92,0.00,3.02,0.61
1738510220.126908,34.2,4.92,0.00,2.94,0.61
1738510220.228292,34.2,4.92,0.00,2.94,0.60
1738510220.330031,34.2,4.92,0.00,2.94,0.61
1738510220.431347,34.2,4.92,0.00,2.94,0.60
1738510220.533185,34.2,4.92,0.00,3.02,0.61
1738510220.634638,34.2,4.92,0.00,3.02,0.60
1738510220.736257,33.3,4.92,0.00,2.94,0.60
1738510220.837902,33.3,4.92,0.00,2.94,0.60
1738510220.939385,33.3,4.92,0.00,2.94,0.61
1738510221.041004,33.3,4.92,0.00,2.94,0.61
1738510221.142569,33.3,4.92,0.00,3.02,0.61
1738510221.244186,33.3,4.92,0.00,2.94,0.60
1738510221.345736,33.3,4.92,0.00,2.94,0.60
1738510221.447117,33.3,4.92,0.00,2.94,0.60
1738510221.548808,33.3,4.92,0.00,2.94,0.61
1738510221.650327,33.3,4.92,0.00,2.94,0.61
1738510221.752066,33.3,4.92,0.00,3.02,0.61
1738510221.853642,33.3,4.92,0.00,2.94,0.60
1738510221.955251,33.3,4.92,0.00,3.02,0.61
1738510222.056895,33.3,4.92,0.00,2.94,0.60
1738510222.158443,33.3,4.92,0.00,3.02,0.61
1738510222.259963,33.3,4.92,0.00,3.02,0.60
1738510222.361596,33.3,4.92,0.00,2.94,0.60
1738510222.463089,33.3,4.92,0.00,3.02,0.61
1738510222.564575,33.3,4.92,0.00,3.02,0.61
1738510222.666149,33.3,4.92,0.00,2.94,0.61
1738510222.767897,33.3,4.92,0.00,3.02,0.61
1738510222.869479,33.3,4.92,0.00,2.94,0.60
1738510222.971060,33.3,4.92,0.00,3.02,0.60
1738510223.072653,33.3,4.92,0.00,3.02,0.61
1738510223.174128,34.2,4.92,0.00,2.94,0.61
1738510223.275758,34.2,4.92,0.00,3.02,0.61
1738510223.377365,34.2,4.92,0.00,3.02,0.61
1738510223.478868,34.2,4.92,0.00,2.94,0.61
1738510223.580626,34.2,4.92,0.00,2.94,0.61
1738510223.681990,34.2,4.92,0.00,3.02,0.61
1738510223.783716,34.2,4.92,0.00,2.94,0.61
1738510223.885152,34.2,4.92,0.00,2.94,0.60
1738510223.986822,34.2,4.92,0.00,2.94,0.61
1738510224.088386,34.2,4.92,0.00,3.02,0.61
1738510224.189936,34.2,4.92,0.00,2.94,0.61
1738510224.291569,34.2,4.92,0.00,3.02,0.61
1738510224.393191,34.2,4.92,0.00,3.02,0.61
1738510224.494755,34.2,4.92,0.00,2.94,0.60
1738510224.596440,34.2,4.92,0.00,3.02,0.60
1738510224.697673,34.2,4.92,0.00,3.02,0.61
1738510224.799459,34.2,4.92,0.00,2.94,0.60
1738510224.901106,34.2,4.92,0.00,3.02,0.60
1738510225.002637,34.2,4.92,0.00,3.02,0.61
1738510225.104236,34.2,4.92,0.00,3.02,0.61
1738510225.205748,34.2,4.92,0.00,3.02,0.61
1738510225.307387,34.2,4.92,0.00,2.94,0.61
1738510225.408883,34.2,4.92,0.00,2.94,0.60
1738510225.510546,34.2,4.92,0.00,2.94,0.61
1738510225.612171,34.2,4.92,0.00,2.94,0.61
1738510225.713704,34.2,4.92,0.00,2.94,0.61
1738510225.815089,34.2,4.92,0.00,2.94,0.60
1738510225.916752,34.2,4.92,0.00,3.02,0.61
1738510226.018383,34.2,4.92,0.00,2.94,0.60
1738510226.120024,34.2,4.92,0.00,2.94,0.60
1738510226.221609,34.2,4.92,0.00,2.94,0.61
1738510226.323185,34.2,4.92,0.00,3.02,0.61
1738510226.424825,34.2,4.92,0.00,2.94,0.61
1738510226.526317,34.2,4.92,0.00,2.94,0.61
1738510226.627968,34.2,4.92,0.00,2.94,0.60
1738510226.729497,34.2,4.92,0.00,3.02,0.61
1738510226.831114,34.2,4.92,0.00,3.02,0.61
1738510226.932654,34.2,4.92,0.00,3.02,0.60
1738510227.034308,34.2,4.92,0.00,3.02,0.60
1738510227.135851,34.2,4.92,0.00,2.94,0.61
1738510227.237426,34.2,4.92,0.00,2.94,0.60
1738510227.339032,34.2,4.92,0.00,2.94,0.61
1738510227.440614,33.3,4.92,0.00,3.02,0.60
1738510227.542194,33.3,4.92,0.00,2.94,0.61
1738510227.643806,33.3,4.92,0.00,3.02,0.61
1738510227.745298,33.3,4.92,0.00,3.02,0.60
1738510227.846951,33.3,4.92,0.00,3.02,0.61
1738510227.948509,33.3,4.92,0.00,3.02,0.61
1738510228.050038,33.3,4.92,0.00,2.94,0.61
1738510228.151690,33.3,4.92,0.00,3.02,0.60
1738510228.253200,34.2,4.92,0.00,3.02,0.61
1738510228.354699,34.2,4.92,0.00,2.94,0.60
1738510228.456333,34.2,4.92,0.00,2.94,0.61
1738510228.557982,34.2,4.92,0.00,2.94,0.61
1738510228.659588,34.2,4.92,0.00,2.94,0.60
1738510228.761050,34.2,4.92,0.00,2.94,0.60
1738510228.862497,34.2,4.92,0.00,2.94,0.60
1738510228.964255,34.2,4.92,0.00,2.94,0.60
1738510229.065758,34.2,4.92,0.00,2.94,0.61
1738510229.167456,34.2,4.92,0.00,3.02,0.61
1738510229.268920,34.2,4.92,0.00,2.94,0.61
1738510229.370626,34.2,4.92,0.00,2.94,0.60
1738510229.472156,34.2,4.92,0.00,2.94,0.61
1738510229.573840,34.2,4.92,0.00,2.94,0.61
1738510229.675400,34.2,4.92,0.00,3.02,0.60
1738510229.776882,34.2,4.92,0.00,2.94,0.60
1738510229.878285,34.2,4.92,0.00,3.02,0.61
1738510229.980059,33.3,4.92,0.00,2.94,0.61
1738510230.081663,33.3,4.92,0.00,2.94,0.61
1738510230.183461,33.3,4.92,0.00,2.94,0.61
1738510230.284752,33.3,4.92,0.00,2.94,0.60
1738510230.386453,33.3,4.92,0.00,2.94,0.60
1738510230.488006,33.3,4.92,0.00,3.02,0.61
1738510230.589570,33.3,4.92,0.00,2.94,0.60
1738510230.691056,33.3,4.92,0.00,2.94,0.60
1738510230.792658,33.3,4.92,0.00,2.94,0.60
1738510230.894440,33.3,4.92,0.00,3.02,0.61
1738510230.995901,33.3,4.92,0.00,2.94,0.60
1738510231.097392,33.3,4.92,0.00,2.94,0.60
1738510231.199064,33.3,4.92,0.00,2.94,0.60
1738510231.300469,33.3,4.92,0.00,3.02,0.61
1738510231.402226,33.3,4.92,0.00,3.02,0.60
1738510231.503810,33.3,4.92,0.00,3.02,0.61
1738510231.605381,33.3,4.92,0.00,2.94,0.60
1738510231.706935,33.3,4.92,0.00,3.02,0.61
1738510231.808408,33.3,4.92,0.00,2.94,0.60
1738510231.910063,33.3,4.92,0.00,2.94,0.61
1738510232.011661,33.3,4.92,0.00,2.94,0.60
1738510232.113277,33.3,4.92,0.00,3.02,0.61
1738510232.214609,33.3,4.92,0.00,2.94,0.61
1738510232.316422,33.3,4.92,0.00,3.02,0.60
1738510232.418043,33.3,4.92,0.00,3.02,0.61
1738510232.519552,33.3,4.92,0.00,2.94,0.61
1738510232.621182,33.3,4.92,0.00,3.02,0.60
1738510232.722759,33.3,4.92,0.00,3.02,0.60
1738510232.824276,33.3,4.92,0.00,2.94,0.60
1738510232.925919,33.3,4.92,0.00,3.02,0.60
1738510233.027414,33.3,4.92,0.00,2.94,0.60
1738510233.128988,33.3,4.92,0.00,2.94,0.61
1738510233.230628,33.3,4.92,0.00,2.94,0.60
1738510233.332259,33.3,4.92,0.00,2.94,0.60
1738510233.433808,33.3,4.92,0.00,3.02,0.61
1738510233.535484,33.3,4.92,0.00,2.94,0.61
1738510233.636931,33.3,4.92,0.00,2.94,0.60
1738510233.738509,33.3,4.92,0.00,3.02,0.60
1738510233.840017,33.3,4.92,0.00,2.94,0.61
1738510233.941736,33.3,4.92,0.00,3.02,0.60
1738510234.043265,33.3,4.92,0.00,2.94,0.61
1738510234.144928,34.2,4.92,0.00,2.94,0.61
1738510234.246436,34.2,4.92,0.00,2.94,0.61
1738510234.348132,34.2,4.92,0.00,3.02,0.61
1738510234.449667,34.2,4.92,0.00,2.94,0.61
1738510234.551102,34.2,4.92,0.00,2.94,0.60
1738510234.652797,34.2,4.92,0.00,3.02,0.61
