timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510235.345372,34.2,4.92,0.00,3.02,0.61
1738510235.447246,34.2,4.92,0.00,2.94,0.60
1738510235.548949,34.2,4.92,0.00,3.02,0.60
1738510235.650614,34.2,4.92,0.00,2.94,0.61
1738510235.752171,34.2,4.92,0.00,2.94,0.60
1738510235.853705,34.2,4.92,0.00,2.94,0.60
1738510235.955367,34.2,4.92,0.00,2.94,0.61
1738510236.056911,34.2,4.92,0.00,2.94,0.60
1738510236.158507,34.2,4.92,0.00,2.94,0.61
1738510236.260070,34.2,4.92,0.00,3.02,0.61
1738510236.361729,34.2,4.92,0.00,3.02,0.61
1738510236.462889,34.2,4.92,0.00,2.94,0.61
1738510236.564602,34.2,4.92,0.00,2.94,0.60
1738510236.666378,34.2,4.92,0.00,3.02,0.61
1738510236.767949,34.2,4.92,0.00,3.02,0.61
1738510236.869518,34.2,4.92,0.00,2.94,0.61
1738510236.971116,34.2,4.92,0.00,3.02,0.60
1738510237.072664,34.2,4.92,0.00,2.94,0.60
1738510237.174268,34.2,4.92,0.00,2.94,0.61
1738510237.275860,34.2,4.92,0.00,2.94,0.61
1738510237.377267,34.2,4.92,0.00,3.02,0.61
1738510237.479027,34.2,4.92,0.00,3.02,0.61
1738510237.580614,34.2,4.92,0.00,3.02,0.60
1738510237.682022,34.2,4.92,0.00,3.02,0.61
1738510237.783526,34.2,4.92,0.00,3.02,0.60
1738510237.885437,34.2,4.92,0.00,3.02,0.61
1738510237.986761,34.2,4.92,0.00,3.02,0.61
1738510238.088467,34.2,4.92,0.00,2.94,0.61
1738510238.189908,34.2,4.92,0.00,3.02,0.61
1738510238.291676,34.2,4.92,0.00,2.94,0.60
1738510238.393231,34.2,4.92,0.00,3.02,0.61
1738510238.494651,34.2,4.92,0.00,3.02,0.60
1738510238.596396,34.2,4.92,0.00,2.94,0.60
1738510238.697821,34.2,4.92,0.00,3.02,0.60
1738510238.799660,34.2,4.92,0.00,2.94,0.61
1738510238.901091,34.2,4.92,0.00,3.02,0.60
1738510239.002711,34.2,4.92,0.00,3.02,0.61
1738510239.104334,34.2,4.92,0.00,2.94,0.61
1738510239.205613,34.2,4.92,0.00,3.02,0.61
1738510239.307368,34.2,4.92,0.00,3.02,0.60
1738510239.409070,34.2,4.92,0.00,2.94,0.60
1738510239.510616,34.2,4.92,0.00,2.94,0.61
1738510239.612111,34.2,4.92,0.00,2.94,0.61
1738510239.713613,34.2,4.92,0.00,2.94,0.60
1738510239.815160,34.2,4.92,0.00,3.02,0.61
