timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510252.140770,36.0,4.91,0.00,3.04,0.63
1738510252.240942,36.0,4.91,0.00,3.04,0.62
1738510252.340946,36.0,4.91,0.00,3.04,0.63
1738510252.440978,36.0,4.91,0.00,3.08,0.63
1738510252.540874,34.2,4.91,0.00,3.08,0.63
1738510252.640936,34.2,4.91,0.00,3.08,0.63
1738510252.740947,34.2,4.91,0.00,3.08,0.63
1738510252.840917,34.2,4.91,0.00,3.04,0.63
1738510252.940976,34.2,4.91,0.00,3.08,0.63
1738510253.040974,34.2,4.91,0.00,3.08,0.62
1738510253.140826,34.2,4.91,0.00,3.04,0.62
1738510253.240942,34.2,4.91,0.00,3.08,0.62
1738510253.340722,34.2,4.91,0.00,3.04,0.62
1738510253.441027,34.2,4.91,0.00,3.08,0.63
1738510253.540901,34.2,4.91,0.00,3.04,0.62
1738510253.640962,34.2,4.91,0.00,3.04,0.62
1738510253.740643,34.2,4.91,0.00,3.04,0.62
1738510253.840926,34.2,4.91,0.00,3.04,0.62
1738510253.940910,34.2,4.91,0.00,3.04,0.63
1738510254.040887,34.2,4.91,0.00,3.08,0.63
1738510254.140951,34.2,4.91,0.00,3.04,0.62
1738510254.241007,34.2,4.91,0.00,3.04,0.63
1738510254.340933,34.2,4.91,0.00,3.04,0.63
1738510254.440968,34.2,4.91,0.00,3.04,0.63
1738510254.541031,34.2,4.91,0.00,3.04,0.62
1738510254.640936,34.2,4.91,0.00,3.04,0.62
1738510254.741025,34.2,4.91,0.00,3.04,0.62
1738510254.840909,34.2,4.91,0.00,3.08,0.63
1738510254.940915,34.2,4.91,0.00,3.04,0.62
1738510255.040858,34.2,4.91,0.00,3.08,0.63
1738510255.140963,34.2,4.91,0.00,3.08,0.62
1738510255.240866,34.2,4.91,0.00,3.04,0.63
1738510255.340957,34.2,4.91,0.00,3.04,0.62
1738510255.440911,34.2,4.91,0.00,3.04,0.62
1738510255.540574,34.2,4.91,0.00,3.08,0.62
1738510255.640547,34.2,4.91,0.00,3.08,0.63
1738510255.744620,34.2,4.91,0.00,3.08,0.63
1738510255.840766,34.2,4.91,0.00,3.04,0.62
1738510255.940932,34.2,4.91,0.00,3.08,0.63
1738510256.040905,34.2,4.91,0.00,3.08,0.63
1738510256.140914,34.2,4.91,0.00,3.04,0.63
1738510256.240924,34.2,4.91,0.00,3.04,0.62
1738510256.340908,34.2,4.91,0.00,3.04,0.63
1738510256.440968,34.2,4.91,0.00,3.04,0.63
1738510256.540896,34.2,4.91,0.00,3.08,0.63
1738510256.640816,34.2,4.91,0.00,3.04,0.63
1738510256.740779,34.2,4.91,0.00,3.04,0.62
1738510256.840656,34.2,4.91,0.00,3.08,0.63
1738510256.940955,34.2,4.91,0.00,3.04,0.63
1738510257.040954,34.2,4.91,0.00,3.04,0.62
1738510257.140944,34.2,4.91,0.00,3.04,0.63
1738510257.240895,34.2,4.91,0.00,3.04,0.63
1738510257.340945,34.2,4.91,0.00,3.04,0.62
1738510257.440796,34.2,4.91,0.00,3.04,0.63
1738510257.540943,34.2,4.91,0.00,3.08,0.63
1738510257.641014,34.2,4.91,0.00,3.04,0.62
1738510257.740922,34.2,4.91,0.00,3.04,0.63
1738510257.840611,34.2,4.91,0.00,3.04,0.63
1738510257.940882,34.2,4.91,0.00,3.04,0.63
1738510258.040960,34.2,4.91,0.00,3.04,0.62
1738510258.140904,34.2,4.91,0.00,3.08,0.63
1738510258.240693,34.2,4.90,0.00,3.04,0.63
1738510258.340710,34.2,4.91,0.00,3.08,0.62
1738510258.440948,34.2,4.91,0.00,3.04,0.62
1738510258.540926,34.2,4.91,0.00,3.04,0.62
1738510258.640882,34.2,4.91,0.00,3.08,0.63
1738510258.740619,34.2,4.91,0.00,3.04,0.63
1738510258.840722,34.2,4.91,0.00,3.04,0.63
1738510258.940912,34.2,4.91,0.00,3.04,0.63
1738510259.040883,34.2,4.91,0.00,3.04,0.62
1738510259.140900,34.2,4.91,0.00,3.08,0.62
1738510259.240958,34.2,4.91,0.00,3.08,0.62
1738510259.341024,34.2,4.91,0.00,3.04,0.62
1738510259.440777,34.2,4.90,0.00,3.08,0.62
1738510259.540941,34.2,4.91,0.00,3.04,0.62
1738510259.640938,34.2,4.91,0.00,3.04,0.63
1738510259.740939,34.2,4.91,0.00,3.04,0.63
1738510259.840632,34.2,4.91,0.00,3.08,0.62
1738510259.940806,34.2,4.91,0.00,3.04,0.62
1738510260.040986,34.2,4.91,0.00,3.04,0.62
1738510260.140909,34.2,4.91,0.00,3.04,0.62
1738510260.240876,34.2,4.91,0.00,3.04,0.63
1738510260.340909,34.2,4.91,0.00,3.04,0.63
1738510260.440899,34.2,4.91,0.00,3.04,0.63
1738510260.540857,34.2,4.91,0.00,3.08,0.63
1738510260.640964,34.2,4.91,0.00,3.08,0.63
1738510260.740894,34.2,4.91,0.00,3.04,0.63
1738510260.840759,34.2,4.91,0.00,3.04,0.62
1738510260.940971,34.2,4.91,0.00,3.04,0.62
1738510261.040884,34.2,4.91,0.00,3.04,0.62
1738510261.140928,34.2,4.91,0.00,3.08,0.63
1738510261.240959,34.2,4.91,0.00,3.04,0.62
1738510261.340896,34.2,4.91,0.00,3.04,0.62
1738510261.440983,34.2,4.91,0.00,3.04,0.63
1738510261.540921,34.2,4.91,0.00,3.04,0.63
1738510261.640663,34.2,4.91,0.00,3.04,0.63
1738510261.740935,34.2,4.91,0.00,3.04,0.62
1738510261.840859,34.2,4.91,0.00,3.04,0.63
1738510261.940949,34.2,4.91,0.00,3.08,0.62
1738510262.040864,34.2,4.91,0.00,3.08,0.63
1738510262.140925,34.2,4.91,0.00,3.08,0.63
1738510262.240839,34.2,4.91,0.00,3.04,0.63
1738510262.340934,34.2,4.91,0.00,3.04,0.62
1738510262.440875,34.2,4.91,0.00,3.04,0.62
1738510262.540919,34.2,4.91,0.00,3.04,0.62
1738510262.640910,34.2,4.91,0.00,3.08,0.62
1738510262.740898,34.2,4.91,0.00,3.08,0.63
1738510262.840843,34.2,4.91,0.00,3.04,0.63
1738510262.940976,34.2,4.91,0.00,3.08,0.63
1738510263.040899,34.2,4.91,0.00,3.04,0.62
1738510263.140931,34.2,4.91,0.00,3.04,0.62
1738510263.240833,34.2,4.91,0.00,3.04,0.62
1738510263.340987,34.2,4.91,0.00,3.08,0.63
1738510263.440972,34.2,4.91,0.00,3.08,0.63
1738510263.540938,34.2,4.91,0.00,3.08,0.63
1738510263.640872,34.2,4.91,0.00,3.04,0.62
1738510263.740950,34.2,4.91,0.00,3.04,0.63
1738510263.840777,34.2,4.91,0.00,3.04,0.62
1738510263.941020,34.2,4.91,0.00,3.04,0.63
1738510264.040902,34.2,4.91,0.00,3.04,0.62
1738510264.140900,34.2,4.91,0.00,3.04,0.62
1738510264.240922,34.2,4.91,0.00,3.04,0.62
1738510264.340907,34.2,4.91,0.00,3.04,0.63
1738510264.440902,34.2,4.91,0.00,3.04,0.62
1738510264.540916,34.2,4.91,0.00,3.04,0.63
1738510264.640918,34.2,4.91,0.00,3.08,0.62
1738510264.740848,34.2,4.91,0.00,3.08,0.62
1738510264.840853,34.2,4.91,0.00,3.08,0.63
1738510264.941037,34.2,4.91,0.00,3.04,0.63
1738510265.040859,34.2,4.91,0.00,3.04,0.63
1738510265.140944,34.2,4.91,0.00,3.08,0.63
1738510265.240981,34.2,4.91,0.00,3.04,0.62
1738510265.340933,34.2,4.91,0.00,3.08,0.63
1738510265.440874,34.2,4.91,0.00,3.08,0.63
1738510265.540941,34.2,4.91,0.00,3.08,0.62
1738510265.640915,34.2,4.91,0.00,3.04,0.63
1738510265.740900,34.2,4.91,0.00,3.04,0.62
1738510265.840905,34.2,4.91,0.00,3.04,0.63
1738510265.940921,34.2,4.91,0.00,3.04,0.63
1738510266.040960,201.8,4.91,0.00,3.04,0.62
1738510266.140953,201.8,4.91,0.00,3.08,0.62
1738510266.240978,201.8,4.91,0.00,3.04,0.63
1738510266.340916,201.8,4.91,0.00,3.08,0.63
1738510266.440920,201.8,4.91,0.00,3.04,0.62
1738510266.540937,201.8,4.91,0.00,3.04,0.62
1738510266.640779,201.8,4.91,0.00,3.04,0.63
1738510266.740967,201.8,4.91,0.00,3.08,0.62
1738510266.840747,34.2,4.91,0.00,3.08,0.63
1738510266.940943,34.2,4.91,0.00,3.04,0.63
