timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508809.886582,28.1,4.94,0.00,2.82,0.57
1738508809.988428,28.1,4.94,0.00,2.82,0.57
1738508810.090206,28.1,4.94,0.00,2.82,0.57
1738508810.191592,28.1,4.94,0.00,2.82,0.57
1738508810.295192,28.1,4.94,0.00,2.82,0.57
1738508810.394974,28.1,4.94,0.00,2.82,0.57
1738508810.496505,28.1,4.94,0.00,2.82,0.57
1738508810.598036,30.7,4.94,0.00,2.82,0.57
1738508810.699637,30.7,4.94,0.00,2.82,0.58
1738508810.801197,30.7,4.94,0.00,2.82,0.58
1738508810.902787,30.7,4.94,0.00,2.82,0.58
1738508811.004396,30.7,4.94,0.00,2.86,0.57
1738508811.105807,30.7,4.94,0.00,2.82,0.57
1738508811.207575,30.7,4.94,0.00,2.82,0.57
1738508811.309144,30.7,4.94,0.00,2.82,0.57
1738508811.410800,30.7,4.94,0.00,2.82,0.58
1738508811.512341,30.7,4.94,0.00,2.82,0.58
1738508811.613945,30.7,4.94,0.00,2.82,0.57
1738508811.715461,30.7,4.94,0.00,2.82,0.58
1738508811.817093,30.7,4.94,0.00,2.82,0.57
1738508811.918687,30.7,4.94,0.00,2.82,0.57
1738508812.020256,30.7,4.94,0.00,2.82,0.57
1738508812.121771,30.7,4.94,0.00,2.82,0.57
1738508812.223404,30.7,4.94,0.00,2.82,0.58
1738508812.325002,30.7,4.94,0.00,2.82,0.57
1738508812.426631,30.7,4.94,0.00,2.82,0.58
1738508812.528200,30.7,4.94,0.00,2.82,0.57
1738508812.629716,30.7,4.94,0.00,2.82,0.58
1738508812.731291,30.7,4.94,0.00,2.82,0.57
1738508812.833041,30.7,4.94,0.00,2.82,0.58
1738508812.934357,30.7,4.94,0.00,2.86,0.57
1738508813.036080,30.7,4.94,0.00,2.86,0.57
1738508813.137618,30.7,4.94,0.00,2.82,0.57
1738508813.239242,30.7,4.94,0.00,2.82,0.57
1738508813.340794,30.7,4.94,0.00,2.86,0.57
1738508813.442428,30.7,4.94,0.00,2.82,0.57
1738508813.543983,30.7,4.94,0.00,2.82,0.57
1738508813.645500,30.7,4.94,0.00,2.86,0.57
1738508813.747095,30.7,4.94,0.00,2.82,0.57
1738508813.848746,30.7,4.94,0.00,2.82,0.57
1738508813.950242,30.7,4.94,0.00,2.86,0.57
1738508814.051858,30.7,4.94,0.00,2.82,0.57
1738508814.153447,30.7,4.94,0.00,2.82,0.57
1738508814.255090,30.7,4.94,0.00,2.86,0.57
1738508814.356594,30.7,4.94,0.00,2.82,0.57
1738508814.458181,30.7,4.94,0.00,2.82,0.57
1738508814.559757,30.7,4.94,0.00,2.82,0.57
1738508814.661345,30.7,4.94,0.00,2.82,0.57
1738508814.762941,30.7,4.94,0.00,2.82,0.57
1738508814.864534,30.7,4.94,0.00,2.82,0.58
1738508814.966087,30.7,4.94,0.00,2.82,0.57
1738508815.067699,30.7,4.94,0.00,2.82,0.57
1738508815.169876,30.7,4.94,0.00,2.82,0.57
1738508815.270729,30.7,4.94,0.00,2.82,0.58
1738508815.372383,30.7,4.94,0.00,2.82,0.57
1738508815.474003,30.7,4.94,0.00,2.82,0.57
1738508815.575571,30.7,4.94,0.00,2.82,0.57
1738508815.677213,30.7,4.94,0.00,2.82,0.57
1738508815.778777,30.7,4.94,0.00,2.82,0.57
1738508815.880333,30.7,4.94,0.00,2.86,0.58
1738508815.981875,30.7,4.94,0.00,2.82,0.57
1738508816.083474,30.7,4.94,0.00,2.82,0.57
1738508816.185045,30.7,4.94,0.00,2.82,0.58
1738508816.286664,30.7,4.94,0.00,2.82,0.57
1738508816.388169,30.7,4.94,0.00,2.82,0.57
1738508816.489791,30.7,4.94,0.00,2.82,0.57
1738508816.591392,30.7,4.94,0.00,2.82,0.57
1738508816.692950,30.7,4.94,0.00,2.82,0.57
1738508816.794571,30.7,4.94,0.00,2.82,0.58
1738508816.895810,30.7,4.94,0.00,2.82,0.57
1738508816.997682,30.7,4.94,0.00,2.82,0.57
1738508817.099283,30.7,4.94,0.00,2.82,0.57
1738508817.200861,30.7,4.94,0.00,2.82,0.57
1738508817.302405,30.7,4.94,0.00,2.82,0.57
1738508817.404036,30.7,4.94,0.00,2.82,0.57
1738508817.505593,30.7,4.94,0.00,2.82,0.57
1738508817.607174,30.7,4.94,0.00,2.82,0.58
1738508817.708754,30.7,4.94,0.00,2.82,0.57
1738508817.810375,30.7,4.94,0.00,2.86,0.57
1738508817.911946,30.7,4.94,0.00,2.82,0.58
1738508818.013413,30.7,4.94,0.00,2.82,0.57
1738508818.115106,30.7,4.94,0.00,2.82,0.57
1738508818.216685,30.7,4.94,0.00,2.86,0.57
1738508818.318327,30.7,4.94,0.00,2.82,0.58
1738508818.419835,30.7,4.94,0.00,2.82,0.58
1738508818.521484,30.7,4.94,0.00,2.82,0.58
1738508818.623025,30.7,4.94,0.00,2.82,0.57
1738508818.724603,30.7,4.94,0.00,2.82,0.57
1738508818.826168,30.7,4.94,0.00,2.82,0.57
1738508818.927822,30.7,4.94,0.00,2.82,0.57
1738508819.029358,31.6,4.94,0.00,2.82,0.58
1738508819.130919,31.6,4.94,0.00,2.82,0.57
1738508819.232516,31.6,4.94,0.00,2.82,0.57
1738508819.334084,31.6,4.94,0.00,2.82,0.57
1738508819.435645,31.6,4.94,0.00,2.82,0.58
1738508819.537299,31.6,4.94,0.00,2.82,0.57
1738508819.638451,31.6,4.94,0.00,2.82,0.57
1738508819.740411,31.6,4.94,0.00,2.86,0.58
1738508819.842000,31.6,4.94,0.00,2.82,0.58
1738508819.943629,31.6,4.94,0.00,2.82,0.57
1738508820.045111,31.6,4.94,0.00,2.82,0.57
1738508820.146816,31.6,4.94,0.00,2.82,0.57
1738508820.248316,31.6,4.94,0.00,2.82,0.57
1738508820.349919,31.6,4.94,0.00,2.82,0.57
1738508820.451460,31.6,4.94,0.00,2.82,0.57
1738508820.553030,31.6,4.94,0.00,2.86,0.58
1738508820.654607,31.6,4.94,0.00,2.82,0.57
1738508820.756266,31.6,4.94,0.00,2.82,0.57
1738508820.857781,31.6,4.94,0.00,2.86,0.57
1738508820.959382,31.6,4.94,0.00,2.82,0.57
1738508821.060941,31.6,4.94,0.00,2.82,0.57
1738508821.162542,31.6,4.94,0.00,2.86,0.57
1738508821.264167,31.6,4.94,0.00,2.82,0.58
1738508821.365764,31.6,4.94,0.00,2.82,0.57
1738508821.467365,31.6,4.94,0.00,2.82,0.57
1738508821.568856,31.6,4.94,0.00,2.82,0.57
1738508821.670469,31.6,4.94,0.00,2.86,0.57
1738508821.772077,31.6,4.94,0.00,2.82,0.58
1738508821.873555,31.6,4.94,0.00,2.86,0.58
1738508821.975247,31.6,4.94,0.00,2.82,0.58
1738508822.076804,31.6,4.94,0.00,2.82,0.58
1738508822.178414,31.6,4.94,0.00,2.82,0.57
1738508822.279610,31.6,4.94,0.00,2.82,0.58
1738508822.381503,30.7,4.94,0.00,2.82,0.57
1738508822.483120,30.7,4.94,0.00,2.82,0.57
1738508822.584739,30.7,4.94,0.00,2.82,0.57
1738508822.686255,30.7,4.94,0.00,2.82,0.57
1738508822.787779,30.7,4.94,0.00,2.82,0.57
1738508822.889418,30.7,4.94,0.00,2.82,0.57
1738508822.990993,30.7,4.94,0.00,2.82,0.58
1738508823.092618,30.7,4.94,0.00,2.82,0.57
1738508823.194091,30.7,4.94,0.00,2.82,0.57
