timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508856.068425,32.5,4.92,0.00,2.94,0.60
1738508856.168754,32.5,4.92,0.00,2.92,0.59
1738508856.268835,32.5,4.92,0.00,2.94,0.59
1738508856.368899,32.5,4.92,0.00,2.94,0.60
1738508856.468803,32.5,4.92,0.00,2.92,0.59
1738508856.568740,32.5,4.92,0.00,2.94,0.60
1738508856.668770,32.5,4.92,0.00,2.92,0.59
1738508856.768959,31.6,4.92,0.00,2.92,0.60
1738508856.868953,31.6,4.92,0.00,2.94,0.60
1738508856.968470,31.6,4.92,0.00,2.92,0.60
1738508857.068879,31.6,4.92,0.00,2.92,0.59
1738508857.168668,31.6,4.92,0.00,2.94,0.60
1738508857.268841,31.6,4.92,0.00,2.92,0.59
1738508857.368985,31.6,4.92,0.00,2.94,0.60
1738508857.468824,31.6,4.92,0.00,2.92,0.60
1738508857.568894,30.7,4.92,0.00,2.92,0.60
1738508857.668652,30.7,4.92,0.00,2.92,0.60
1738508857.768884,30.7,4.92,0.00,2.92,0.60
1738508857.868981,30.7,4.92,0.00,2.94,0.60
1738508857.968961,30.7,4.92,0.00,2.92,0.60
1738508858.068888,30.7,4.92,0.00,2.94,0.60
1738508858.168838,30.7,4.92,0.00,2.92,0.60
1738508858.268796,30.7,4.92,0.00,2.92,0.60
1738508858.368879,30.7,4.92,0.00,2.92,0.60
1738508858.468817,31.6,4.92,0.00,2.92,0.59
1738508858.568855,31.6,4.92,0.00,2.94,0.60
1738508858.668569,31.6,4.92,0.00,2.94,0.60
1738508858.768901,31.6,4.92,0.00,2.94,0.60
1738508858.868749,31.6,4.92,0.00,2.94,0.60
1738508858.968782,31.6,4.92,0.00,2.92,0.60
1738508859.068958,31.6,4.92,0.00,2.94,0.60
1738508859.168846,31.6,4.92,0.00,2.94,0.59
1738508859.268794,31.6,4.92,0.00,2.94,0.60
1738508859.368876,31.6,4.92,0.00,2.92,0.59
1738508859.468834,31.6,4.92,0.00,2.94,0.60
1738508859.568768,31.6,4.92,0.00,2.92,0.60
1738508859.668579,31.6,4.92,0.00,2.92,0.59
1738508859.768825,31.6,4.92,0.00,2.94,0.60
1738508859.868892,31.6,4.92,0.00,2.94,0.60
1738508859.968878,31.6,4.92,0.00,2.92,0.60
1738508860.068907,31.6,4.92,0.00,2.94,0.60
1738508860.168893,31.6,4.92,0.00,2.94,0.60
1738508860.268901,31.6,4.92,0.00,2.92,0.60
1738508860.368834,31.6,4.92,0.00,2.92,0.59
1738508860.468882,31.6,4.92,0.00,2.94,0.60
1738508860.568893,31.6,4.92,0.00,2.94,0.60
1738508860.668576,31.6,4.92,0.00,2.94,0.60
1738508860.768819,31.6,4.92,0.00,2.94,0.59
1738508860.868807,31.6,4.92,0.00,2.94,0.59
1738508860.968801,30.7,4.92,0.00,2.94,0.60
1738508861.068847,30.7,4.92,0.00,2.92,0.60
1738508861.168823,30.7,4.92,0.00,2.94,0.60
1738508861.268837,30.7,4.92,0.00,2.92,0.60
1738508861.368892,30.7,4.92,0.00,2.94,0.60
1738508861.468832,30.7,4.92,0.00,2.92,0.59
1738508861.568862,30.7,4.92,0.00,2.94,0.60
1738508861.668605,30.7,4.92,0.00,2.92,0.60
1738508861.768838,31.6,4.92,0.00,2.94,0.59
1738508861.868861,31.6,4.92,0.00,2.92,0.60
1738508861.968706,31.6,4.92,0.00,2.94,0.59
1738508862.068916,31.6,4.92,0.00,2.94,0.60
1738508862.168861,31.6,4.92,0.00,2.94,0.59
1738508862.268820,31.6,4.92,0.00,2.92,0.60
1738508862.368891,31.6,4.92,0.00,2.92,0.60
1738508862.468838,31.6,4.92,0.00,2.92,0.59
1738508862.568843,32.5,4.92,0.00,2.94,0.60
1738508862.668776,32.5,4.92,0.00,2.92,0.60
1738508862.769042,32.5,4.92,0.00,2.94,0.60
1738508862.868817,32.5,4.92,0.00,2.92,0.59
1738508862.968936,32.5,4.92,0.00,2.94,0.60
1738508863.068892,32.5,4.92,0.00,2.94,0.60
1738508863.168913,32.5,4.92,0.00,2.92,0.60
1738508863.268811,32.5,4.92,0.00,2.92,0.59
1738508863.368511,32.5,4.93,0.00,2.92,0.59
1738508863.468873,31.6,4.92,0.00,2.94,0.59
1738508863.568816,31.6,4.92,0.00,2.92,0.59
1738508863.668623,31.6,4.92,0.00,2.92,0.61
1738508863.768866,31.6,4.92,0.00,2.92,0.60
1738508863.868888,31.6,4.92,0.00,2.94,0.60
1738508863.968771,31.6,4.92,0.00,2.94,0.60
1738508864.068901,31.6,4.92,0.00,2.94,0.60
1738508864.168959,31.6,4.92,0.00,2.92,0.59
1738508864.268887,31.6,4.92,0.00,2.94,0.59
1738508864.368963,31.6,4.92,0.00,2.92,0.60
1738508864.468951,31.6,4.92,0.00,2.94,0.60
1738508864.568812,31.6,4.92,0.00,2.94,0.60
1738508864.668749,31.6,4.92,0.00,2.92,0.60
1738508864.768865,31.6,4.92,0.00,2.92,0.59
1738508864.868825,31.6,4.92,0.00,2.92,0.60
1738508864.968916,31.6,4.92,0.00,2.92,0.60
1738508865.068906,31.6,4.92,0.00,2.92,0.60
1738508865.168846,31.6,4.92,0.00,2.92,0.59
1738508865.268957,31.6,4.92,0.00,2.94,0.60
1738508865.368886,31.6,4.92,0.00,2.92,0.60
1738508865.468879,31.6,4.92,0.00,2.92,0.60
1738508865.568967,31.6,4.92,0.00,2.92,0.59
1738508865.668807,31.6,4.92,0.00,2.92,0.59
1738508865.768901,31.6,4.92,0.00,2.94,0.60
1738508865.868905,31.6,4.92,0.00,2.94,0.60
1738508865.968876,31.6,4.92,0.00,2.94,0.59
1738508866.068892,31.6,4.92,0.00,2.94,0.60
1738508866.168954,31.6,4.92,0.00,2.92,0.60
1738508866.268924,31.6,4.92,0.00,2.94,0.60
1738508866.368944,31.6,4.92,0.00,2.94,0.60
1738508866.468810,31.6,4.92,0.00,2.92,0.59
1738508866.568926,31.6,4.92,0.00,2.92,0.60
1738508866.668862,31.6,4.92,0.00,2.94,0.59
1738508866.768799,31.6,4.92,0.00,2.92,0.60
1738508866.868743,31.6,4.92,0.00,2.92,0.60
1738508866.968842,31.6,4.92,0.00,2.92,0.60
1738508867.068931,31.6,4.92,0.00,2.92,0.60
1738508867.168940,31.6,4.92,0.00,2.92,0.60
1738508867.268926,31.6,4.92,0.00,2.94,0.60
1738508867.368923,31.6,4.92,0.00,2.94,0.60
1738508867.468874,31.6,4.92,0.00,2.92,0.59
1738508867.568909,31.6,4.92,0.00,2.94,0.60
1738508867.668858,31.6,4.92,0.00,2.92,0.59
1738508867.768847,31.6,4.92,0.00,2.92,0.59
1738508867.868925,31.6,4.92,0.00,2.92,0.59
1738508867.968926,31.6,4.92,0.00,2.94,0.59
1738508868.068957,31.6,4.92,0.00,2.92,0.59
1738508868.168900,31.6,4.92,0.00,2.92,0.60
1738508868.268958,31.6,4.92,0.00,2.92,0.59
1738508868.368877,31.6,4.92,0.00,2.94,0.59
1738508868.468969,31.6,4.92,0.00,2.94,0.60
1738508868.568864,31.6,4.92,0.00,2.92,0.60
1738508868.668882,31.6,4.92,0.00,2.92,0.60
1738508868.768875,31.6,4.92,0.00,2.92,0.60
