timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507989.265536,30.7,4.93,0.00,2.86,0.58
1738507989.367517,30.7,4.93,0.00,2.86,0.59
1738507989.469141,30.7,4.93,0.00,2.86,0.58
1738507989.570768,30.7,4.93,0.00,2.86,0.58
1738507989.672216,30.7,4.93,0.00,2.92,0.59
1738507989.773909,30.7,4.93,0.00,2.86,0.58
1738507989.875526,30.7,4.93,0.00,2.92,0.58
1738507989.977029,30.7,4.93,0.00,2.86,0.58
1738507990.078674,30.7,4.93,0.00,2.86,0.58
1738507990.180225,29.8,4.93,0.00,2.86,0.59
1738507990.281703,29.8,4.93,0.00,2.86,0.59
1738507990.383417,29.8,4.93,0.00,2.86,0.58
1738507990.484985,29.8,4.93,0.00,2.86,0.58
1738507990.586588,29.8,4.93,0.00,2.86,0.58
1738507990.688189,29.8,4.93,0.00,2.92,0.58
1738507990.789520,29.8,4.93,0.00,2.86,0.58
1738507990.891317,29.8,4.93,0.00,2.86,0.58
1738507990.992688,30.7,4.93,0.00,2.86,0.59
1738507991.094483,30.7,4.93,0.00,2.86,0.59
1738507991.195972,30.7,4.93,0.00,2.86,0.58
1738507991.297632,30.7,4.93,0.00,2.86,0.58
1738507991.399271,30.7,4.93,0.00,2.86,0.59
1738507991.500870,30.7,4.93,0.00,2.92,0.58
1738507991.602417,30.7,4.93,0.00,2.86,0.59
1738507991.703940,30.7,4.93,0.00,2.86,0.59
1738507991.805564,30.7,4.93,0.00,2.92,0.58
1738507991.907133,29.8,4.93,0.00,2.86,0.58
1738507992.008725,29.8,4.93,0.00,2.86,0.59
1738507992.110205,29.8,4.93,0.00,2.86,0.58
1738507992.211866,29.8,4.93,0.00,2.86,0.59
1738507992.313432,29.8,4.93,0.00,2.86,0.58
1738507992.415046,29.8,4.93,0.00,2.86,0.59
1738507992.516630,29.8,4.93,0.00,2.86,0.59
1738507992.618175,29.8,4.93,0.00,2.86,0.58
1738507992.719836,29.8,4.93,0.00,2.86,0.59
1738507992.821211,29.8,4.93,0.00,2.86,0.58
1738507992.922948,29.8,4.93,0.00,2.86,0.58
1738507993.024446,29.8,4.93,0.00,2.86,0.58
1738507993.126042,29.8,4.93,0.00,2.86,0.58
1738507993.227481,29.8,4.93,0.00,2.86,0.58
1738507993.329026,29.8,4.93,0.00,2.86,0.58
1738507993.430702,29.8,4.93,0.00,2.86,0.58
1738507993.532372,30.7,4.93,0.00,2.86,0.59
1738507993.633903,30.7,4.93,0.00,2.86,0.59
1738507993.735487,30.7,4.93,0.00,2.86,0.58
1738507993.837042,30.7,4.93,0.00,2.86,0.58
1738507993.938592,30.7,4.93,0.00,2.86,0.58
1738507994.040062,30.7,4.93,0.00,2.86,0.58
1738507994.141772,30.7,4.93,0.00,2.86,0.59
1738507994.243324,30.7,4.93,0.00,2.86,0.58
1738507994.344838,30.7,4.93,0.00,2.86,0.58
1738507994.446615,29.8,4.93,0.00,2.86,0.59
1738507994.548138,29.8,4.93,0.00,2.86,0.59
1738507994.649854,29.8,4.93,0.00,2.86,0.59
1738507994.751318,29.8,4.93,0.00,2.86,0.58
1738507994.852958,29.8,4.93,0.00,2.86,0.58
1738507994.954486,29.8,4.93,0.00,2.86,0.58
1738507995.056063,29.8,4.93,0.00,2.92,0.59
1738507995.157655,29.8,4.93,0.00,2.86,0.58
1738507995.259209,30.7,4.93,0.00,2.92,0.58
1738507995.360754,30.7,4.93,0.00,2.86,0.58
1738507995.462394,30.7,4.93,0.00,2.86,0.59
1738507995.563982,30.7,4.93,0.00,2.86,0.58
1738507995.665572,30.7,4.93,0.00,2.86,0.58
1738507995.767040,30.7,4.93,0.00,2.86,0.58
1738507995.868740,30.7,4.93,0.00,2.86,0.59
1738507995.970288,30.7,4.93,0.00,2.86,0.58
1738507996.071896,29.8,4.93,0.00,2.86,0.58
1738507996.173439,29.8,4.93,0.00,2.92,0.58
1738507996.275009,29.8,4.93,0.00,2.92,0.58
1738507996.383705,29.8,4.93,0.00,2.86,0.59
1738507996.478052,29.8,4.93,0.00,2.86,0.59
1738507996.579615,29.8,4.93,0.00,2.86,0.58
1738507996.681290,29.8,4.93,0.00,2.86,0.59
1738507996.782803,29.8,4.93,0.00,2.92,0.59
1738507996.884483,29.8,4.93,0.00,2.86,0.58
1738507996.985928,29.8,4.93,0.00,2.86,0.58
1738507997.087641,29.8,4.93,0.00,2.86,0.58
1738507997.189194,29.8,4.93,0.00,2.86,0.58
1738507997.290779,29.8,4.93,0.00,2.86,0.58
1738507997.392384,29.8,4.93,0.00,2.86,0.58
1738507997.493965,29.8,4.93,0.00,2.86,0.59
1738507997.595528,29.8,4.93,0.00,2.86,0.58
1738507997.697018,29.8,4.93,0.00,2.86,0.58
1738507997.798756,29.8,4.93,0.00,2.86,0.59
1738507997.900258,29.8,4.93,0.00,2.92,0.58
1738507998.001783,29.8,4.93,0.00,2.92,0.58
1738507998.103512,29.8,4.93,0.00,2.86,0.58
1738507998.205065,29.8,4.93,0.00,2.86,0.59
1738507998.306483,29.8,4.93,0.00,2.86,0.58
1738507998.408337,29.8,4.93,0.00,2.86,0.58
1738507998.509802,29.8,4.93,0.00,2.86,0.59
1738507998.611281,30.7,4.93,0.00,2.86,0.58
1738507998.712936,30.7,4.93,0.00,2.86,0.58
1738507998.814532,30.7,4.93,0.00,2.86,0.58
1738507998.916112,30.7,4.93,0.00,2.86,0.58
1738507999.017626,30.7,4.93,0.00,2.86,0.58
1738507999.119267,30.7,4.93,0.00,2.86,0.58
1738507999.220863,30.7,4.93,0.00,2.86,0.58
1738507999.322499,30.7,4.93,0.00,2.86,0.58
1738507999.424013,30.7,4.93,0.00,2.86,0.58
1738507999.525644,30.7,4.93,0.00,2.86,0.59
1738507999.627201,30.7,4.93,0.00,2.86,0.58
1738507999.728694,30.7,4.93,0.00,2.86,0.58
1738507999.833193,30.7,4.93,0.00,2.86,0.59
1738507999.931814,30.7,4.93,0.00,2.86,0.58
1738508000.033470,30.7,4.93,0.00,2.86,0.58
1738508000.135100,30.7,4.93,0.00,2.92,0.59
1738508000.236642,30.7,4.93,0.00,2.86,0.58
1738508000.338323,30.7,4.93,0.00,2.86,0.59
1738508000.439876,30.7,4.93,0.00,2.86,0.58
1738508000.541414,30.7,4.93,0.00,2.86,0.59
1738508000.642923,30.7,4.93,0.00,2.86,0.58
1738508000.744683,30.7,4.93,0.00,2.86,0.58
1738508000.846054,30.7,4.93,0.00,2.86,0.58
1738508000.947782,30.7,4.93,0.00,2.86,0.58
1738508001.049228,30.7,4.93,0.00,2.86,0.58
1738508001.150946,29.8,4.93,0.00,2.86,0.58
1738508001.252522,29.8,4.93,0.00,2.86,0.58
1738508001.354360,29.8,4.93,0.00,2.86,0.58
1738508001.455707,29.8,4.93,0.00,2.86,0.58
1738508001.557303,29.8,4.93,0.00,2.92,0.59
1738508001.658851,29.8,4.93,0.00,2.92,0.58
1738508001.760389,29.8,4.93,0.00,2.86,0.59
1738508001.862073,29.8,4.93,0.00,2.86,0.58
1738508001.963580,30.7,4.93,0.00,2.86,0.58
1738508002.065059,30.7,4.93,0.00,2.86,0.58
1738508002.166761,30.7,4.93,0.00,2.86,0.58
1738508002.268166,30.7,4.93,0.00,2.92,0.58
1738508002.370009,30.7,4.93,0.00,2.86,0.59
1738508002.471490,30.7,4.93,0.00,2.86,0.58
1738508002.573014,30.7,4.93,0.00,2.86,0.58
1738508002.674676,30.7,4.93,0.00,2.86,0.59
1738508002.776327,30.7,4.93,0.00,2.86,0.59
1738508002.877693,30.7,4.93,0.00,2.86,0.59
1738508002.979500,30.7,4.93,0.00,2.86,0.58
1738508003.081033,30.7,4.93,0.00,2.86,0.59
1738508003.182642,30.7,4.93,0.00,2.86,0.58
1738508003.284231,30.7,4.93,0.00,2.86,0.58
1738508003.385771,30.7,4.93,0.00,2.86,0.58
1738508003.487345,30.7,4.93,0.00,2.92,0.59
1738508003.588610,30.7,4.93,0.00,2.86,0.59
1738508003.690261,30.7,4.93,0.00,2.86,0.58
1738508003.791933,30.7,4.93,0.00,2.86,0.59
1738508003.893714,30.7,4.93,0.00,2.86,0.59
1738508003.995267,30.7,4.93,0.00,2.86,0.58
1738508004.096833,30.7,4.93,0.00,2.92,0.58
