timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507878.051602,29.8,4.93,0.00,2.86,0.58
1738507878.153392,29.8,4.93,0.00,2.86,0.58
1738507878.255097,29.8,4.93,0.00,2.86,0.58
1738507878.356670,29.8,4.93,0.00,2.86,0.58
1738507878.458305,29.8,4.93,0.00,2.86,0.59
1738507878.559859,29.8,4.93,0.00,2.86,0.59
1738507878.661343,30.7,4.93,0.00,2.86,0.59
1738507878.763093,30.7,4.93,0.00,2.86,0.58
1738507878.864482,30.7,4.93,0.00,2.86,0.58
1738507878.966187,30.7,4.93,0.00,2.82,0.58
1738507879.067775,30.7,4.93,0.00,2.86,0.59
1738507879.169347,30.7,4.93,0.00,2.86,0.58
1738507879.270978,30.7,4.93,0.00,2.86,0.58
1738507879.372520,30.7,4.93,0.00,2.86,0.58
1738507879.474096,30.7,4.93,0.00,2.92,0.59
1738507879.575619,30.7,4.93,0.00,2.86,0.58
1738507879.677214,30.7,4.93,0.00,2.86,0.58
1738507879.778805,30.7,4.93,0.00,2.86,0.58
1738507879.880424,30.7,4.93,0.00,2.92,0.58
1738507879.982026,30.7,4.93,0.00,2.86,0.58
1738507880.083626,30.7,4.93,0.00,2.86,0.58
1738507880.185185,30.7,4.93,0.00,2.86,0.58
1738507880.286807,29.8,4.93,0.00,2.86,0.58
1738507880.388416,29.8,4.93,0.00,2.86,0.58
1738507880.489923,29.8,4.93,0.00,2.86,0.58
1738507880.591516,29.8,4.93,0.00,2.86,0.59
1738507880.693117,29.8,4.93,0.00,2.86,0.58
1738507880.794715,29.8,4.93,0.00,2.86,0.58
1738507880.896175,29.8,4.93,0.00,2.92,0.58
1738507880.997853,29.8,4.93,0.00,2.86,0.59
1738507881.099419,29.8,4.93,0.00,2.86,0.59
1738507881.201051,29.8,4.93,0.00,2.86,0.58
1738507881.302595,29.8,4.93,0.00,2.92,0.59
1738507881.404125,29.8,4.93,0.00,2.86,0.58
1738507881.505752,29.8,4.93,0.00,2.86,0.58
1738507881.607375,29.8,4.93,0.00,2.86,0.58
1738507881.708933,29.8,4.93,0.00,2.86,0.58
1738507881.810283,29.8,4.93,0.00,2.92,0.58
1738507881.912055,29.8,4.93,0.00,2.86,0.59
1738507882.013532,29.8,4.93,0.00,2.92,0.58
1738507882.115183,29.8,4.93,0.00,2.86,0.59
1738507882.216827,29.8,4.93,0.00,2.86,0.58
1738507882.318374,29.8,4.93,0.00,2.86,0.58
1738507882.420019,29.8,4.93,0.00,2.86,0.58
1738507882.521570,29.8,4.93,0.00,2.92,0.59
1738507882.623149,29.8,4.93,0.00,2.86,0.58
1738507882.724723,29.8,4.93,0.00,2.86,0.58
1738507882.826203,29.8,4.93,0.00,2.86,0.58
1738507882.927723,29.8,4.93,0.00,2.86,0.58
1738507883.029413,29.8,4.93,0.00,2.92,0.59
1738507883.130981,29.8,4.93,0.00,2.86,0.59
1738507883.232506,29.8,4.93,0.00,2.86,0.58
1738507883.334047,29.8,4.93,0.00,2.86,0.58
1738507883.435766,29.8,4.93,0.00,2.86,0.59
1738507883.537318,29.8,4.93,0.00,2.86,0.58
1738507883.638967,30.7,4.93,0.00,2.86,0.58
1738507883.740557,30.7,4.93,0.00,2.86,0.58
1738507883.842122,30.7,4.93,0.00,2.86,0.58
1738507883.943706,30.7,4.93,0.00,2.86,0.58
1738507884.045173,30.7,4.93,0.00,2.86,0.58
1738507884.146813,30.7,4.93,0.00,2.86,0.58
1738507884.248415,30.7,4.93,0.00,2.92,0.59
1738507884.349969,30.7,4.93,0.00,2.86,0.58
1738507884.451590,30.7,4.93,0.00,2.86,0.58
1738507884.553029,29.8,4.93,0.00,2.86,0.58
1738507884.654667,29.8,4.93,0.00,2.86,0.58
1738507884.756099,29.8,4.93,0.00,2.86,0.59
1738507884.857935,29.8,4.93,0.00,2.86,0.59
1738507884.959430,29.8,4.93,0.00,2.86,0.59
1738507885.061098,29.8,4.93,0.00,2.92,0.59
1738507885.162670,29.8,4.93,0.00,2.86,0.58
1738507885.264238,29.8,4.93,0.00,2.86,0.59
1738507885.365759,30.7,4.93,0.00,2.86,0.58
1738507885.467395,30.7,4.93,0.00,2.86,0.59
1738507885.568976,30.7,4.93,0.00,2.86,0.58
1738507885.670552,30.7,4.93,0.00,2.86,0.58
1738507885.772148,30.7,4.93,0.00,2.86,0.58
1738507885.873700,30.7,4.93,0.00,2.86,0.58
1738507885.975247,30.7,4.93,0.00,2.92,0.58
1738507886.076906,30.7,4.93,0.00,2.86,0.59
1738507886.178437,29.8,4.93,0.00,2.86,0.58
1738507886.280026,29.8,4.93,0.00,2.86,0.58
1738507886.381525,29.8,4.93,0.00,2.86,0.58
1738507886.483194,29.8,4.93,0.00,2.86,0.59
1738507886.584785,29.8,4.93,0.00,2.92,0.59
1738507886.686225,29.8,4.93,0.00,2.92,0.58
1738507886.787864,29.8,4.93,0.00,2.86,0.58
1738507886.889420,29.8,4.93,0.00,2.86,0.58
1738507886.990893,29.8,4.93,0.00,2.86,0.58
1738507887.092599,29.8,4.93,0.00,2.86,0.58
1738507887.194235,29.8,4.93,0.00,2.86,0.59
1738507887.295852,29.8,4.93,0.00,2.92,0.58
1738507887.397329,29.8,4.93,0.00,2.86,0.59
1738507887.498961,29.8,4.93,0.00,2.86,0.58
1738507887.600568,29.8,4.93,0.00,2.86,0.59
1738507887.702219,29.8,4.93,0.00,2.86,0.58
1738507887.803778,29.8,4.93,0.00,2.86,0.58
1738507887.905378,30.7,4.93,0.00,2.86,0.58
1738507888.006884,30.7,4.93,0.00,2.86,0.58
1738507888.108532,30.7,4.93,0.00,2.86,0.58
1738507888.210021,30.7,4.93,0.00,2.86,0.58
1738507888.311620,30.7,4.93,0.00,2.86,0.58
1738507888.413155,30.7,4.93,0.00,2.86,0.58
1738507888.514803,30.7,4.93,0.00,2.86,0.58
1738507888.616401,30.7,4.93,0.00,2.92,0.58
1738507888.717864,30.7,4.94,0.00,2.86,0.58
1738507888.819513,30.7,4.93,0.00,2.86,0.59
1738507888.921057,30.7,4.93,0.00,2.92,0.58
1738507889.022754,30.7,4.93,0.00,2.86,0.59
1738507889.124388,30.7,4.93,0.00,2.86,0.58
1738507889.225854,30.7,4.93,0.00,2.86,0.58
1738507889.327502,30.7,4.93,0.00,2.86,0.58
1738507889.429063,30.7,4.93,0.00,2.86,0.58
1738507889.530622,30.7,4.93,0.00,2.82,0.58
