timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508004.792102,213.2,4.93,0.00,2.86,0.58
1738508004.893818,213.2,4.93,0.00,2.86,0.59
1738508004.995620,213.2,4.93,0.00,2.86,0.58
1738508005.097062,213.2,4.93,0.00,2.86,0.59
1738508005.198763,213.2,4.93,0.00,2.86,0.59
1738508005.300479,29.8,4.93,0.00,2.86,0.59
1738508005.401974,29.8,4.93,0.00,2.86,0.59
1738508005.503605,29.8,4.93,0.00,2.86,0.58
1738508005.605114,29.8,4.93,0.00,2.86,0.59
1738508005.706644,29.8,4.93,0.00,2.86,0.58
1738508005.808325,29.8,4.93,0.00,2.86,0.58
1738508005.909898,29.8,4.93,0.00,2.92,0.59
1738508006.011322,29.8,4.93,0.00,2.86,0.58
1738508006.113157,30.7,4.93,0.00,2.86,0.58
1738508006.214617,30.7,4.93,0.00,2.86,0.58
1738508006.316223,30.7,4.93,0.00,2.92,0.59
1738508006.417875,30.7,4.93,0.00,2.82,0.58
1738508006.519350,30.7,4.93,0.00,2.86,0.58
1738508006.620958,30.7,4.93,0.00,2.86,0.58
1738508006.722571,30.7,4.93,0.00,2.86,0.58
1738508006.823921,30.7,4.93,0.00,2.86,0.58
1738508006.925639,30.7,4.93,0.00,2.86,0.58
1738508007.027197,29.8,4.93,0.00,2.86,0.58
1738508007.128904,29.8,4.93,0.00,2.86,0.58
1738508007.230212,29.8,4.93,0.00,2.86,0.58
1738508007.331967,29.8,4.93,0.00,2.86,0.58
1738508007.433591,29.8,4.93,0.00,2.92,0.58
1738508007.535156,29.8,4.93,0.00,2.86,0.58
1738508007.636746,29.8,4.93,0.00,2.86,0.58
1738508007.738372,29.8,4.93,0.00,2.86,0.58
1738508007.839938,30.7,4.93,0.00,2.86,0.58
1738508007.941534,30.7,4.93,0.00,2.86,0.59
1738508008.043006,30.7,4.93,0.00,2.86,0.58
1738508008.144728,30.7,4.93,0.00,2.92,0.59
1738508008.246266,30.7,4.93,0.00,2.86,0.58
1738508008.347845,30.7,4.93,0.00,2.86,0.59
1738508008.449414,30.7,4.93,0.00,2.86,0.58
1738508008.551000,30.7,4.93,0.00,2.86,0.59
1738508008.652524,30.7,4.93,0.00,2.86,0.58
1738508008.754156,30.7,4.93,0.00,2.86,0.58
1738508008.855701,30.7,4.93,0.00,2.92,0.59
1738508008.957295,30.7,4.93,0.00,2.86,0.59
1738508009.058889,30.7,4.93,0.00,2.86,0.58
1738508009.160444,30.7,4.93,0.00,2.86,0.58
1738508009.261877,30.7,4.93,0.00,2.86,0.59
1738508009.363638,30.7,4.93,0.00,2.86,0.58
1738508009.465176,30.7,4.93,0.00,2.86,0.58
1738508009.566717,30.7,4.93,0.00,2.86,0.58
1738508009.668361,30.7,4.93,0.00,2.86,0.58
1738508009.769938,30.7,4.93,0.00,2.86,0.58
1738508009.871363,30.7,4.93,0.00,2.92,0.58
1738508009.973078,30.7,4.93,0.00,2.92,0.59
1738508010.074700,30.7,4.93,0.00,2.86,0.58
1738508010.176288,30.7,4.93,0.00,2.86,0.58
1738508010.277850,30.7,4.93,0.00,2.92,0.58
1738508010.379595,30.7,4.93,0.00,2.86,0.58
1738508010.481064,30.7,4.93,0.00,2.86,0.58
1738508010.582447,30.7,4.93,0.00,2.86,0.58
1738508010.684136,30.7,4.93,0.00,2.92,0.58
1738508010.785713,30.7,4.93,0.00,2.86,0.58
1738508010.887299,30.7,4.93,0.00,2.86,0.58
1738508010.988919,30.7,4.93,0.00,2.86,0.58
1738508011.090467,30.7,4.93,0.00,2.86,0.58
1738508011.191882,30.7,4.93,0.00,2.86,0.59
1738508011.293687,30.7,4.93,0.00,2.86,0.58
1738508011.395092,30.7,4.93,0.00,2.92,0.59
1738508011.496876,30.7,4.93,0.00,2.86,0.58
1738508011.598316,30.7,4.93,0.00,2.86,0.59
1738508011.699873,30.7,4.93,0.00,2.86,0.58
1738508011.801453,30.7,4.93,0.00,2.92,0.58
1738508011.903085,30.7,4.93,0.00,2.86,0.59
1738508012.004689,30.7,4.93,0.00,2.86,0.58
1738508012.106333,30.7,4.93,0.00,2.82,0.58
1738508012.207922,30.7,4.93,0.00,2.86,0.58
1738508012.309450,30.7,4.93,0.00,2.86,0.58
1738508012.411117,30.7,4.93,0.00,2.86,0.58
1738508012.512514,30.7,4.93,0.00,2.86,0.59
1738508012.614093,30.7,4.93,0.00,2.86,0.58
1738508012.715808,30.7,4.93,0.00,2.86,0.58
1738508012.817333,30.7,4.93,0.00,2.92,0.59
1738508012.918966,30.7,4.93,0.00,2.86,0.58
1738508013.020552,30.7,4.93,0.00,2.86,0.58
1738508013.122107,30.7,4.93,0.00,2.86,0.58
1738508013.223709,30.7,4.93,0.00,2.86,0.58
1738508013.325253,30.7,4.93,0.00,2.86,0.58
1738508013.426799,30.7,4.93,0.00,2.86,0.58
1738508013.528294,30.7,4.93,0.00,2.86,0.58
1738508013.629851,30.7,4.93,0.00,2.86,0.58
1738508013.731479,30.7,4.93,0.00,2.86,0.58
1738508013.833086,30.7,4.93,0.00,2.86,0.58
1738508013.934616,30.7,4.93,0.00,2.86,0.58
1738508014.036319,30.7,4.93,0.00,2.92,0.59
1738508014.137864,30.7,4.93,0.00,2.86,0.58
1738508014.239506,30.7,4.93,0.00,2.86,0.58
1738508014.341125,30.7,4.93,0.00,2.86,0.58
1738508014.442734,30.7,4.93,0.00,2.92,0.58
1738508014.544051,29.8,4.93,0.00,2.86,0.58
1738508014.645819,29.8,4.93,0.00,2.86,0.58
1738508014.747494,29.8,4.93,0.00,2.86,0.59
1738508014.849152,29.8,4.93,0.00,2.86,0.59
1738508014.950974,29.8,4.93,0.00,2.86,0.58
1738508015.052235,29.8,4.93,0.00,2.86,0.59
1738508015.153770,29.8,4.93,0.00,2.86,0.58
1738508015.255373,29.8,4.93,0.00,2.92,0.59
1738508015.356898,29.8,4.93,0.00,2.92,0.58
1738508015.458504,29.8,4.93,0.00,2.86,0.58
