timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507893.556597,29.8,4.93,0.00,2.92,0.59
1738507893.656653,29.8,4.92,0.00,2.92,0.60
1738507893.756842,28.9,4.93,0.00,2.92,0.59
1738507893.856823,28.9,4.93,0.00,2.92,0.59
1738507893.956916,28.9,4.93,0.00,2.92,0.59
1738507894.056856,28.9,4.93,0.00,2.86,0.59
1738507894.156616,28.9,4.93,0.00,2.92,0.59
1738507894.256776,28.9,4.93,0.00,2.92,0.59
1738507894.356891,28.9,4.93,0.00,2.92,0.59
1738507894.456860,28.9,4.93,0.00,2.92,0.59
1738507894.556974,28.9,4.93,0.00,2.92,0.59
1738507894.656893,28.9,4.93,0.00,2.92,0.59
1738507894.756791,28.9,4.93,0.00,2.92,0.59
1738507894.856887,28.9,4.93,0.00,2.92,0.59
1738507894.956912,28.9,4.93,0.00,2.92,0.60
1738507895.056915,28.9,4.93,0.00,2.92,0.59
1738507895.156904,28.9,4.93,0.00,2.92,0.59
1738507895.256895,28.9,4.93,0.00,2.92,0.59
1738507895.356908,28.9,4.93,0.00,2.92,0.59
1738507895.456930,28.9,4.92,0.00,2.92,0.59
1738507895.556880,28.9,4.93,0.00,2.92,0.59
1738507895.656945,28.9,4.93,0.00,2.92,0.59
1738507895.756866,28.9,4.93,0.00,2.92,0.60
1738507895.856847,28.9,4.93,0.00,2.92,0.59
1738507895.956839,28.9,4.93,0.00,2.92,0.59
1738507896.056913,28.9,4.93,0.00,2.92,0.59
1738507896.156915,28.9,4.93,0.00,2.86,0.59
1738507896.256852,29.8,4.92,0.00,2.92,0.59
1738507896.356993,29.8,4.93,0.00,2.92,0.59
1738507896.457013,29.8,4.93,0.00,2.92,0.59
1738507896.556875,29.8,4.93,0.00,2.94,0.59
1738507896.656948,29.8,4.93,0.00,2.92,0.59
1738507896.756844,29.8,4.93,0.00,2.92,0.59
1738507896.856897,29.8,4.93,0.00,2.92,0.59
1738507896.956822,29.8,4.93,0.00,2.86,0.59
1738507897.056895,29.8,4.93,0.00,2.86,0.59
1738507897.156940,29.8,4.93,0.00,2.92,0.59
1738507897.256923,29.8,4.93,0.00,2.92,0.59
1738507897.356931,29.8,4.92,0.00,2.92,0.60
1738507897.456953,29.8,4.93,0.00,2.92,0.59
1738507897.556788,29.8,4.93,0.00,2.92,0.60
1738507897.656944,29.8,4.93,0.00,2.92,0.59
1738507897.756973,29.8,4.93,0.00,2.92,0.59
1738507897.856932,29.8,4.93,0.00,2.92,0.59
1738507897.956896,29.8,4.93,0.00,2.92,0.59
1738507898.056910,29.8,4.93,0.00,2.92,0.60
1738507898.156669,29.8,4.93,0.00,2.92,0.59
1738507898.256864,29.8,4.93,0.00,2.92,0.59
1738507898.356965,29.8,4.93,0.00,2.92,0.59
1738507898.456945,29.8,4.93,0.00,2.86,0.59
1738507898.556898,29.8,4.93,0.00,2.92,0.59
1738507898.656916,29.8,4.93,0.00,2.92,0.59
1738507898.756859,29.8,4.93,0.00,2.92,0.59
1738507898.856927,29.8,4.93,0.00,2.86,0.59
1738507898.956899,29.8,4.93,0.00,2.92,0.59
1738507899.056909,29.8,4.93,0.00,2.92,0.59
1738507899.156849,29.8,4.93,0.00,2.92,0.59
1738507899.256955,29.8,4.93,0.00,2.92,0.59
1738507899.356884,29.8,4.93,0.00,2.92,0.59
1738507899.456946,29.8,4.93,0.00,2.92,0.59
1738507899.556952,28.9,4.93,0.00,2.92,0.59
1738507899.656862,28.9,4.93,0.00,2.92,0.59
1738507899.756928,28.9,4.93,0.00,2.92,0.59
1738507899.856958,28.9,4.93,0.00,2.92,0.59
1738507899.956806,28.9,4.93,0.00,2.92,0.59
1738507900.056911,28.9,4.93,0.00,2.92,0.59
1738507900.156944,28.9,4.93,0.00,2.92,0.59
1738507900.256887,28.9,4.93,0.00,2.92,0.59
1738507900.356911,28.9,4.93,0.00,2.92,0.59
1738507900.456893,29.8,4.93,0.00,2.92,0.59
1738507900.556866,29.8,4.93,0.00,2.92,0.59
1738507900.656974,29.8,4.93,0.00,2.92,0.59
1738507900.756921,29.8,4.93,0.00,2.92,0.59
1738507900.856977,29.8,4.93,0.00,2.92,0.59
1738507900.956989,29.8,4.93,0.00,2.92,0.59
1738507901.056791,29.8,4.93,0.00,2.92,0.59
1738507901.156893,29.8,4.93,0.00,2.92,0.59
1738507901.256970,29.8,4.93,0.00,2.92,0.59
1738507901.356874,29.8,4.93,0.00,2.92,0.59
1738507901.456957,29.8,4.93,0.00,2.92,0.59
1738507901.556902,29.8,4.93,0.00,2.92,0.60
1738507901.656936,29.8,4.93,0.00,2.92,0.59
1738507901.756850,29.8,4.93,0.00,2.92,0.60
1738507901.856858,29.8,4.93,0.00,2.92,0.59
1738507901.956901,29.8,4.93,0.00,2.92,0.59
1738507902.056939,29.8,4.93,0.00,2.92,0.59
1738507902.157016,29.8,4.93,0.00,2.92,0.59
1738507902.256843,29.8,4.93,0.00,2.92,0.59
1738507902.356925,29.8,4.93,0.00,2.92,0.59
1738507902.456915,29.8,4.93,0.00,2.92,0.59
1738507902.556907,29.8,4.93,0.00,2.92,0.59
1738507902.656982,29.8,4.93,0.00,2.92,0.59
1738507902.756961,29.8,4.93,0.00,2.92,0.59
1738507902.856982,29.8,4.93,0.00,2.92,0.59
1738507902.956874,29.8,4.93,0.00,2.92,0.58
1738507903.056930,29.8,4.93,0.00,2.86,0.59
1738507903.156793,29.8,4.93,0.00,2.86,0.59
1738507903.256826,29.8,4.93,0.00,2.92,0.59
1738507903.356865,29.8,4.93,0.00,2.92,0.59
1738507903.456909,29.8,4.93,0.00,2.92,0.59
1738507903.557005,29.8,4.93,0.00,2.92,0.59
1738507903.656844,29.8,4.93,0.00,2.92,0.59
1738507903.756873,29.8,4.93,0.00,2.92,0.59
1738507903.856961,29.8,4.93,0.00,2.92,0.59
1738507903.956889,29.8,4.93,0.00,2.92,0.59
1738507904.057059,29.8,4.93,0.00,2.92,0.59
1738507904.156630,29.8,4.93,0.00,2.92,0.59
1738507904.256675,29.8,4.93,0.00,2.92,0.60
1738507904.356896,29.8,4.93,0.00,2.92,0.59
1738507904.456844,29.8,4.93,0.00,2.92,0.59
1738507904.556987,29.8,4.93,0.00,2.92,0.59
1738507904.656995,29.8,4.93,0.00,2.92,0.59
1738507904.756896,29.8,4.93,0.00,2.92,0.59
1738507904.856934,29.8,4.93,0.00,2.92,0.59
1738507904.956936,29.8,4.93,0.00,2.92,0.59
1738507905.056901,29.8,4.93,0.00,2.92,0.59
1738507905.156945,29.8,4.93,0.00,2.92,0.59
1738507905.256923,29.8,4.93,0.00,2.92,0.59
1738507905.356922,29.8,4.93,0.00,2.92,0.59
1738507905.456935,28.9,4.93,0.00,2.92,0.59
1738507905.556838,28.9,4.93,0.00,2.86,0.59
1738507905.656962,28.9,4.93,0.00,2.92,0.59
1738507905.757006,28.9,4.93,0.00,2.92,0.59
1738507905.856949,28.9,4.93,0.00,2.92,0.59
1738507905.956936,28.9,4.93,0.00,2.92,0.59
1738507906.056840,28.9,4.93,0.00,2.92,0.59
1738507906.156992,28.9,4.93,0.00,2.92,0.60
1738507906.256742,28.9,4.93,0.00,2.92,0.59
1738507906.356920,29.8,4.93,0.00,2.86,0.59
1738507906.456922,29.8,4.93,0.00,2.92,0.59
1738507906.556981,29.8,4.93,0.00,2.92,0.59
1738507906.656958,29.8,4.93,0.00,2.92,0.59
1738507906.756720,29.8,4.93,0.00,2.92,0.59
1738507906.856930,29.8,4.93,0.00,2.92,0.59
1738507906.956840,29.8,4.93,0.00,2.92,0.59
1738507907.056959,29.8,4.93,0.00,2.92,0.59
1738507907.156954,30.7,4.93,0.00,2.92,0.59
1738507907.257009,30.7,4.93,0.00,2.92,0.59
1738507907.356951,30.7,4.93,0.00,2.86,0.59
1738507907.456960,30.7,4.93,0.00,2.92,0.59
1738507907.556884,30.7,4.93,0.00,2.92,0.59
1738507907.656904,30.7,4.93,0.00,2.92,0.59
1738507907.756975,30.7,4.93,0.00,2.92,0.59
1738507907.856923,30.7,4.93,0.00,2.92,0.59
1738507907.956858,28.9,4.93,0.00,2.92,0.59
1738507908.056831,28.9,4.93,0.00,2.92,0.59
1738507908.156944,28.9,4.93,0.00,2.92,0.59
1738507908.256962,28.9,4.92,0.00,2.92,0.59
1738507908.356978,28.9,4.93,0.00,2.92,0.59
