timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508020.307450,30.7,4.93,0.00,2.92,0.59
1738508020.407544,29.8,4.93,0.00,2.92,0.59
1738508020.507825,29.8,4.93,0.00,2.92,0.59
1738508020.607907,29.8,4.93,0.00,2.92,0.59
1738508020.707868,29.8,4.93,0.00,2.92,0.59
1738508020.807794,29.8,4.93,0.00,2.92,0.59
1738508020.907850,29.8,4.93,0.00,2.92,0.59
1738508021.007868,29.8,4.93,0.00,2.92,0.59
1738508021.107876,29.8,4.93,0.00,2.92,0.59
1738508021.207912,29.8,4.93,0.00,2.92,0.59
1738508021.307918,29.8,4.92,0.00,2.86,0.59
1738508021.407865,29.8,4.93,0.00,2.92,0.59
1738508021.507832,29.8,4.93,0.00,2.92,0.59
1738508021.607938,29.8,4.93,0.00,2.92,0.59
1738508021.707884,29.8,4.93,0.00,2.92,0.59
1738508021.807869,29.8,4.93,0.00,2.92,0.59
1738508021.907904,29.8,4.93,0.00,2.86,0.59
1738508022.007840,29.8,4.93,0.00,2.92,0.59
1738508022.107940,29.8,4.93,0.00,2.92,0.59
1738508022.207853,29.8,4.93,0.00,2.92,0.59
1738508022.307915,29.8,4.93,0.00,2.92,0.59
1738508022.407911,29.8,4.93,0.00,2.92,0.59
1738508022.507941,29.8,4.93,0.00,2.92,0.59
1738508022.607883,29.8,4.93,0.00,2.92,0.59
1738508022.707938,29.8,4.93,0.00,2.92,0.59
1738508022.808002,29.8,4.93,0.00,2.92,0.59
1738508022.907827,29.8,4.93,0.00,2.92,0.58
1738508023.007917,29.8,4.93,0.00,2.92,0.59
1738508023.107715,29.8,4.93,0.00,2.92,0.59
1738508023.207719,29.8,4.93,0.00,2.92,0.59
1738508023.307884,29.8,4.93,0.00,2.92,0.59
1738508023.407894,29.8,4.93,0.00,2.92,0.59
1738508023.507648,29.8,4.93,0.00,2.92,0.59
1738508023.607722,29.8,4.93,0.00,2.92,0.59
1738508023.707918,29.8,4.93,0.00,2.92,0.59
1738508023.807934,29.8,4.93,0.00,2.92,0.59
1738508023.907802,29.8,4.93,0.00,2.92,0.59
1738508024.007568,29.8,4.93,0.00,2.92,0.59
1738508024.107818,29.8,4.93,0.00,2.86,0.59
1738508024.207828,29.8,4.93,0.00,2.92,0.59
1738508024.307833,29.8,4.93,0.00,2.92,0.59
1738508024.407911,29.8,4.93,0.00,2.92,0.59
1738508024.507821,29.8,4.93,0.00,2.92,0.59
1738508024.607947,29.8,4.93,0.00,2.86,0.58
1738508024.707881,29.8,4.93,0.00,2.92,0.59
1738508024.807862,29.8,4.93,0.00,2.92,0.59
1738508024.907976,29.8,4.93,0.00,2.92,0.59
1738508025.007878,29.8,4.93,0.00,2.92,0.59
1738508025.107976,29.8,4.93,0.00,2.86,0.58
1738508025.207907,29.8,4.93,0.00,2.92,0.58
1738508025.307773,29.8,4.93,0.00,2.92,0.58
1738508025.407765,29.8,4.93,0.00,2.86,0.59
1738508025.507618,29.8,4.93,0.00,2.92,0.59
1738508025.607497,29.8,4.93,0.00,2.86,0.60
1738508025.707594,29.8,4.93,0.00,2.86,0.59
1738508025.807678,29.8,4.93,0.00,2.92,0.59
1738508025.907670,29.8,4.93,0.00,2.92,0.59
1738508026.007884,29.8,4.93,0.00,2.92,0.59
1738508026.107849,29.8,4.93,0.00,2.92,0.59
1738508026.207920,29.8,4.93,0.00,2.92,0.59
1738508026.307668,29.8,4.92,0.00,2.92,0.59
1738508026.407739,29.8,4.93,0.00,2.92,0.59
1738508026.507825,29.8,4.93,0.00,2.92,0.59
1738508026.607937,29.8,4.93,0.00,2.92,0.59
1738508026.707568,29.8,4.93,0.00,2.92,0.59
1738508026.812329,29.8,4.93,0.00,2.92,0.59
1738508026.908155,29.8,4.93,0.00,2.92,0.59
1738508027.008242,29.8,4.93,0.00,2.92,0.58
1738508027.108023,29.8,4.93,0.00,2.92,0.59
1738508027.208086,29.8,4.93,0.00,2.92,0.59
1738508027.308431,29.8,4.93,0.00,2.92,0.59
1738508027.408268,29.8,4.93,0.00,2.92,0.59
1738508027.508398,29.8,4.93,0.00,2.92,0.59
1738508027.608379,29.8,4.93,0.00,2.94,0.59
1738508027.708161,29.8,4.93,0.00,2.92,0.59
1738508027.808271,29.8,4.93,0.00,2.92,0.59
1738508027.908405,29.8,4.93,0.00,2.92,0.59
1738508028.008338,29.8,4.93,0.00,2.92,0.59
1738508028.108326,29.8,4.93,0.00,2.92,0.59
1738508028.208207,29.8,4.93,0.00,2.92,0.59
1738508028.308191,29.8,4.93,0.00,2.92,0.59
1738508028.408285,29.8,4.93,0.00,2.92,0.59
1738508028.507977,29.8,4.93,0.00,2.92,0.59
1738508028.608144,29.8,4.93,0.00,2.92,0.59
1738508028.708343,29.8,4.93,0.00,2.92,0.59
1738508028.808299,29.8,4.92,0.00,2.92,0.59
1738508028.908376,29.8,4.93,0.00,2.92,0.59
1738508029.008200,29.8,4.93,0.00,2.92,0.59
1738508029.108216,29.8,4.93,0.00,2.92,0.59
1738508029.208341,29.8,4.93,0.00,2.92,0.59
1738508029.308276,29.8,4.93,0.00,2.92,0.59
1738508029.408381,29.8,4.93,0.00,2.86,0.59
1738508029.508401,29.8,4.93,0.00,2.92,0.59
1738508029.608350,30.7,4.93,0.00,2.86,0.59
1738508029.708380,30.7,4.93,0.00,2.92,0.59
1738508029.808244,30.7,4.93,0.00,2.86,0.59
1738508029.908325,30.7,4.93,0.00,2.92,0.59
1738508030.008140,30.7,4.93,0.00,2.92,0.59
1738508030.108406,30.7,4.93,0.00,2.92,0.59
1738508030.208370,30.7,4.93,0.00,2.92,0.59
1738508030.308331,30.7,4.93,0.00,2.92,0.59
1738508030.408263,30.7,4.93,0.00,2.92,0.59
1738508030.508257,30.7,4.93,0.00,2.92,0.59
1738508030.608099,30.7,4.93,0.00,2.92,0.59
1738508030.708311,30.7,4.93,0.00,2.92,0.59
1738508030.808282,30.7,4.93,0.00,2.92,0.59
1738508030.908314,30.7,4.93,0.00,2.92,0.59
1738508031.008399,30.7,4.93,0.00,2.92,0.59
1738508031.108293,30.7,4.93,0.00,2.92,0.59
1738508031.208243,30.7,4.93,0.00,2.92,0.59
1738508031.308361,30.7,4.93,0.00,2.92,0.59
1738508031.408275,30.7,4.93,0.00,2.92,0.58
1738508031.508335,30.7,4.92,0.00,2.92,0.59
1738508031.608393,30.7,4.93,0.00,2.92,0.59
1738508031.708380,30.7,4.93,0.00,2.92,0.59
1738508031.808434,30.7,4.93,0.00,2.92,0.59
1738508031.908394,30.7,4.93,0.00,2.92,0.59
1738508032.008250,30.7,4.93,0.00,2.92,0.59
1738508032.108399,30.7,4.93,0.00,2.86,0.58
1738508032.208428,30.7,4.93,0.00,2.92,0.59
1738508032.308249,30.7,4.93,0.00,2.92,0.59
1738508032.408258,30.7,4.93,0.00,2.92,0.59
1738508032.508400,30.7,4.93,0.00,2.92,0.59
1738508032.608286,30.7,4.93,0.00,2.86,0.58
1738508032.708330,30.7,4.93,0.00,2.92,0.59
1738508032.808096,30.7,4.93,0.00,2.92,0.59
1738508032.908480,30.7,4.93,0.00,2.92,0.59
1738508033.008348,29.8,4.93,0.00,2.92,0.59
1738508033.108108,29.8,4.93,0.00,2.92,0.59
1738508033.208324,29.8,4.93,0.00,2.92,0.59
1738508033.308383,29.8,4.93,0.00,2.92,0.59
1738508033.408347,29.8,4.93,0.00,2.92,0.59
1738508033.508063,29.8,4.93,0.00,2.92,0.59
1738508033.608380,29.8,4.93,0.00,2.92,0.59
1738508033.708264,29.8,4.93,0.00,2.92,0.58
1738508033.808346,30.7,4.93,0.00,2.92,0.59
1738508033.908145,30.7,4.93,0.00,2.92,0.59
1738508034.008377,30.7,4.93,0.00,2.92,0.59
1738508034.108385,30.7,4.93,0.00,2.92,0.59
1738508034.208353,30.7,4.93,0.00,2.92,0.59
1738508034.308421,30.7,4.93,0.00,2.92,0.59
1738508034.408214,30.7,4.93,0.00,2.86,0.59
1738508034.508232,30.7,4.93,0.00,2.92,0.59
1738508034.608347,30.7,4.93,0.00,2.86,0.59
1738508034.708367,30.7,4.93,0.00,2.92,0.59
1738508034.808397,30.7,4.93,0.00,2.92,0.59
1738508034.908189,30.7,4.93,0.00,2.92,0.59
1738508035.008400,30.7,4.93,0.00,2.86,0.58
1738508035.108318,30.7,4.93,0.00,2.92,0.59
