timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507909.069878,29.8,4.93,0.00,2.92,0.59
1738507909.170061,29.8,4.93,0.00,2.92,0.59
1738507909.270165,29.8,4.93,0.00,2.92,0.59
1738507909.370103,29.8,4.93,0.00,2.92,0.58
1738507909.470222,29.8,4.93,0.00,2.92,0.59
1738507909.570167,29.8,4.93,0.00,2.86,0.59
1738507909.670230,29.8,4.93,0.00,2.92,0.59
1738507909.770216,29.8,4.93,0.00,2.92,0.59
1738507909.870226,29.8,4.93,0.00,2.92,0.59
1738507909.970119,29.8,4.93,0.00,2.92,0.59
1738507910.070162,29.8,4.92,0.00,2.92,0.59
1738507910.170176,29.8,4.93,0.00,2.92,0.59
1738507910.270238,29.8,4.93,0.00,2.92,0.59
1738507910.370061,29.8,4.93,0.00,2.92,0.59
1738507910.470123,29.8,4.93,0.00,2.92,0.59
1738507910.570017,29.8,4.93,0.00,2.92,0.59
1738507910.670173,29.8,4.93,0.00,2.92,0.59
1738507910.770141,29.8,4.93,0.00,2.92,0.59
1738507910.870158,29.8,4.93,0.00,2.92,0.59
1738507910.970186,29.8,4.93,0.00,2.92,0.60
1738507911.070189,29.8,4.93,0.00,2.92,0.59
1738507911.170154,29.8,4.93,0.00,2.92,0.60
1738507911.270176,29.8,4.93,0.00,2.92,0.59
1738507911.370163,30.7,4.93,0.00,2.92,0.59
1738507911.470156,30.7,4.93,0.00,2.92,0.59
1738507911.570248,30.7,4.93,0.00,2.92,0.59
1738507911.670051,30.7,4.93,0.00,2.86,0.59
1738507911.770078,30.7,4.93,0.00,2.92,0.59
1738507911.870215,30.7,4.93,0.00,2.92,0.59
1738507911.970246,30.7,4.93,0.00,2.92,0.59
1738507912.070188,30.7,4.93,0.00,2.92,0.59
1738507912.170245,30.7,4.93,0.00,2.92,0.59
1738507912.270118,30.7,4.93,0.00,2.86,0.59
1738507912.370259,30.7,4.93,0.00,2.92,0.59
1738507912.470169,30.7,4.93,0.00,2.92,0.59
1738507912.570191,30.7,4.93,0.00,2.92,0.59
1738507912.670251,30.7,4.93,0.00,2.92,0.59
1738507912.770001,30.7,4.93,0.00,2.92,0.59
1738507912.870180,30.7,4.93,0.00,2.92,0.59
1738507912.970201,30.7,4.93,0.00,2.92,0.59
1738507913.070286,29.8,4.93,0.00,2.92,0.59
1738507913.170172,29.8,4.93,0.00,2.92,0.59
1738507913.270255,29.8,4.93,0.00,2.92,0.59
1738507913.370178,29.8,4.93,0.00,2.92,0.59
1738507913.470226,29.8,4.93,0.00,2.86,0.59
1738507913.570168,29.8,4.93,0.00,2.92,0.59
1738507913.670205,29.8,4.93,0.00,2.92,0.59
1738507913.770217,29.8,4.93,0.00,2.92,0.59
1738507913.870204,29.8,4.93,0.00,2.92,0.59
1738507913.970288,29.8,4.93,0.00,2.92,0.59
1738507914.070150,29.8,4.93,0.00,2.92,0.59
1738507914.170231,29.8,4.93,0.00,2.92,0.59
1738507914.270192,29.8,4.93,0.00,2.92,0.59
1738507914.370114,29.8,4.93,0.00,2.92,0.59
1738507914.470104,29.8,4.93,0.00,2.92,0.59
1738507914.570201,29.8,4.93,0.00,2.92,0.59
1738507914.670187,30.7,4.93,0.00,2.92,0.59
1738507914.770156,30.7,4.93,0.00,2.92,0.59
1738507914.870272,30.7,4.93,0.00,2.92,0.59
1738507914.970191,30.7,4.93,0.00,2.92,0.59
1738507915.070176,30.7,4.93,0.00,2.92,0.59
