timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508035.817016,29.8,4.93,0.00,2.92,0.59
1738508035.917185,29.8,4.93,0.00,2.92,0.59
1738508036.017198,29.8,4.93,0.00,2.92,0.58
1738508036.117210,29.8,4.93,0.00,2.92,0.59
1738508036.217136,29.8,4.93,0.00,2.92,0.59
1738508036.317417,30.7,4.93,0.00,2.92,0.59
1738508036.417295,30.7,4.93,0.00,2.92,0.59
1738508036.517593,30.7,4.93,0.00,2.86,0.59
1738508036.617184,30.7,4.93,0.00,2.86,0.59
1738508036.717587,30.7,4.93,0.00,2.92,0.59
1738508036.817102,30.7,4.93,0.00,2.92,0.59
1738508036.917296,30.7,4.93,0.00,2.92,0.59
1738508037.016976,30.7,4.93,0.00,2.92,0.59
1738508037.117146,30.7,4.93,0.00,2.86,0.59
1738508037.217220,30.7,4.93,0.00,2.92,0.59
1738508037.317526,30.7,4.93,0.00,2.92,0.59
1738508037.417280,30.7,4.93,0.00,2.92,0.59
1738508037.517299,30.7,4.93,0.00,2.92,0.59
1738508037.617334,30.7,4.93,0.00,2.92,0.59
1738508037.717189,30.7,4.93,0.00,2.92,0.59
1738508037.817425,30.7,4.93,0.00,2.92,0.59
1738508037.917405,30.7,4.93,0.00,2.92,0.59
1738508038.017204,30.7,4.92,0.00,2.92,0.59
1738508038.117380,30.7,4.93,0.00,2.92,0.59
1738508038.217303,30.7,4.93,0.00,2.92,0.59
1738508038.317309,30.7,4.93,0.00,2.92,0.58
1738508038.417306,30.7,4.93,0.00,2.92,0.59
1738508038.517320,30.7,4.93,0.00,2.92,0.59
1738508038.617074,30.7,4.93,0.00,2.92,0.59
1738508038.717388,30.7,4.93,0.00,2.92,0.59
1738508038.817217,30.7,4.93,0.00,2.92,0.59
1738508038.917221,30.7,4.93,0.00,2.92,0.59
1738508039.017297,30.7,4.92,0.00,2.92,0.59
1738508039.117074,30.7,4.93,0.00,2.92,0.58
1738508039.217362,30.7,4.93,0.00,2.92,0.59
1738508039.317124,30.7,4.93,0.00,2.92,0.59
1738508039.417275,30.7,4.93,0.00,2.92,0.59
1738508039.517111,30.7,4.93,0.00,2.92,0.60
1738508039.617262,30.7,4.93,0.00,2.92,0.59
1738508039.717273,30.7,4.93,0.00,2.86,0.59
1738508039.817053,30.7,4.93,0.00,2.92,0.59
1738508039.917124,30.7,4.93,0.00,2.92,0.60
1738508040.017244,30.7,4.93,0.00,2.92,0.59
1738508040.117297,30.7,4.93,0.00,2.92,0.59
1738508040.217076,30.7,4.93,0.00,2.92,0.59
1738508040.317234,30.7,4.93,0.00,2.92,0.59
1738508040.417305,30.7,4.93,0.00,2.86,0.59
1738508040.517272,29.8,4.93,0.00,2.92,0.59
1738508040.617389,29.8,4.93,0.00,2.86,0.59
1738508040.717254,29.8,4.93,0.00,2.92,0.59
1738508040.817374,29.8,4.93,0.00,2.92,0.59
1738508040.917179,29.8,4.92,0.00,2.86,0.59
1738508041.017417,29.8,4.93,0.00,2.92,0.59
1738508041.117459,29.8,4.93,0.00,2.86,0.59
1738508041.217106,29.8,4.93,0.00,2.92,0.59
1738508041.317446,29.8,4.93,0.00,2.92,0.59
1738508041.417302,29.8,4.93,0.00,2.92,0.59
1738508041.517369,29.8,4.93,0.00,2.92,0.59
1738508041.617354,29.8,4.93,0.00,2.92,0.59
1738508041.717455,29.8,4.93,0.00,2.92,0.59
1738508041.817378,29.8,4.93,0.00,2.86,0.59
1738508041.917352,29.8,4.93,0.00,2.92,0.59
1738508042.017297,29.8,4.93,0.00,2.92,0.59
1738508042.117321,29.8,4.93,0.00,2.86,0.59
1738508042.217429,29.8,4.93,0.00,2.92,0.59
1738508042.317410,29.8,4.93,0.00,2.86,0.59
