frequency,channels_enabled,rx_gain,tx_gain,external_bias_tee,external_lna,average_power,total_channels
1500000000,[],77,0,False,False,2.5897986577181213,0
1500000000,[],0,-89,False,False,2.590738255033558,0
1500000000,[],38,-30,False,False,2.591812080536913,0
1500000000,[],19,-60,False,False,2.5989261744966443,0
87000000,[],0,-89,False,False,2.6071140939597317,0
87000000,[],38,-30,False,False,2.611677852348994,0
87000000,[],19,-60,False,False,2.6122147651006715,0
87000000,[],77,0,False,False,2.6150335570469805,0
300000000,[],77,0,False,False,2.6205369127516787,0
300000000,[],0,-89,False,False,2.6244295302013434,0
300000000,[],19,-60,False,False,2.6248322147651018,0
300000000,[],38,-30,False,False,2.6271140939597317,0
815000000,[],38,-30,False,False,2.6361073825503363,0
815000000,[],77,0,False,False,2.6374496644295307,0
815000000,[],0,-89,False,False,2.645369127516779,0
4000000000,[],19,-60,False,False,2.6493959731543626,0
815000000,[],19,-60,False,False,2.649395973154363,0
4000000000,[],0,-89,False,False,2.654630872483222,0
4000000000,[],77,0,False,False,2.6577181208053693,0
4000000000,[],38,-30,False,False,2.6618791946308726,0
1500000000,['Rx0'],0,-89,False,False,2.7832653061224484,1
87000000,['Rx1'],0,-89,False,False,2.7861224489795915,1
1500000000,['Rx1'],0,-89,False,False,2.7881632653061224,1
87000000,['Rx0'],0,-89,False,False,2.7893877551020405,1
1500000000,"['Rx0', 'Rx1']",0,-89,False,False,2.7963265306122445,2
87000000,"['Rx0', 'Rx1']",0,-89,False,False,2.801224489795918,2
300000000,['Rx0'],0,-89,False,False,2.8159183673469386,1
300000000,['Rx1'],0,-89,False,False,2.8170068027210884,1
300000000,"['Rx0', 'Rx1']",0,-89,False,False,2.8224489795918366,2
815000000,['Rx1'],0,-89,False,False,2.823265306122449,1
815000000,['Rx0'],0,-89,False,False,2.8246258503401354,1
815000000,"['Rx0', 'Rx1']",0,-89,False,False,2.829387755102041,2
4000000000,['Rx1'],0,-89,False,False,2.855374149659864,1
4000000000,['Rx0'],0,-89,False,False,2.857551020408163,1
4000000000,"['Rx0', 'Rx1']",0,-89,False,False,2.86312925170068,2
87000000,['Rx0'],38,-30,False,False,2.86734693877551,1
1500000000,['Rx0'],19,-60,False,False,2.8676190476190477,1
1500000000,['Rx1'],19,-60,False,False,2.8678911564625853,1
87000000,['Rx0'],19,-60,False,False,2.8680272108843536,1
1500000000,['Rx0'],38,-30,False,False,2.8682993197278908,1
87000000,['Rx1'],19,-60,False,False,2.8688435374149663,1
87000000,['Rx1'],38,-30,False,False,2.8692517006802722,1
1500000000,['Rx1'],38,-30,False,False,2.870748299319728,1
1500000000,"['Rx0', 'Rx1']",38,-30,False,False,2.8783673469387754,2
1500000000,"['Rx0', 'Rx1']",19,-60,False,False,2.8791836734693876,2
87000000,"['Rx0', 'Rx1']",19,-60,False,False,2.88,2
87000000,"['Rx0', 'Rx1']",38,-30,False,False,2.882448979591836,2
300000000,['Rx0'],19,-60,False,False,2.906122448979592,1
300000000,['Rx1'],38,-30,False,False,2.906530612244899,1
300000000,['Rx0'],38,-30,False,False,2.9073469387755106,1
300000000,['Rx1'],19,-60,False,False,2.9084353741496596,1
87000000,['Tx1'],38,-30,False,False,2.9092617449664426,1
87000000,['Tx0'],38,-30,False,False,2.913691275167785,1
300000000,"['Rx0', 'Rx1']",38,-30,False,False,2.9141496598639454,2
300000000,"['Rx0', 'Rx1']",19,-60,False,False,2.9149659863945576,2
87000000,['Tx1'],19,-60,False,False,2.9155704697986584,1
815000000,['Rx0'],19,-60,False,False,2.9156462585034015,1
87000000,"['Tx0', 'Tx1']",38,-30,False,False,2.915704697986577,2
87000000,['Tx0'],19,-60,False,False,2.915704697986577,1
