timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509682.969701,31.6,4.96,0.00,2.62,0.52
1738509683.070004,31.6,4.96,0.00,2.58,0.53
1738509683.170101,31.6,4.96,0.00,2.58,0.53
1738509683.270043,31.6,4.96,0.00,2.62,0.53
1738509683.370120,31.6,4.96,0.00,2.62,0.53
1738509683.470013,31.6,4.96,0.00,2.58,0.53
1738509683.570055,31.6,4.96,0.00,2.58,0.52
1738509683.670122,31.6,4.96,0.00,2.58,0.53
1738509683.770130,31.6,4.96,0.00,2.58,0.53
1738509683.870161,30.7,4.96,0.00,2.58,0.53
1738509683.969849,30.7,4.97,0.00,2.62,0.52
1738509684.070063,30.7,4.96,0.00,2.58,0.52
1738509684.170063,30.7,4.96,0.00,2.58,0.52
1738509684.270046,30.7,4.96,0.00,2.58,0.53
1738509684.369986,30.7,4.96,0.00,2.58,0.53
1738509684.469935,30.7,4.96,0.00,2.62,0.53
1738509684.569915,30.7,4.96,0.00,2.62,0.53
1738509684.669806,28.9,4.96,0.00,2.58,0.52
1738509684.770079,28.9,4.96,0.00,2.58,0.52
1738509684.869962,28.9,4.96,0.00,2.62,0.52
1738509684.969963,28.9,4.96,0.00,2.58,0.52
1738509685.070007,28.9,4.96,0.00,2.62,0.53
1738509685.170039,28.9,4.96,0.00,2.58,0.53
1738509685.269950,28.9,4.96,0.00,2.62,0.52
1738509685.370062,28.9,4.96,0.00,2.62,0.52
1738509685.470002,29.8,4.96,0.00,2.58,0.52
1738509685.570035,29.8,4.96,0.00,2.58,0.52
1738509685.670057,29.8,4.96,0.00,2.58,0.53
1738509685.770027,29.8,4.96,0.00,2.58,0.52
1738509685.870012,29.8,4.96,0.00,2.58,0.52
1738509685.970082,29.8,4.96,0.00,2.58,0.52
1738509686.070124,29.8,4.96,0.00,2.58,0.53
1738509686.170105,29.8,4.96,0.00,2.62,0.52
1738509686.270062,29.8,4.96,0.00,2.62,0.53
1738509686.370104,28.9,4.96,0.00,2.58,0.53
1738509686.470158,28.9,4.96,0.00,2.58,0.53
1738509686.570145,28.9,4.96,0.00,2.58,0.53
1738509686.670141,28.9,4.96,0.00,2.58,0.52
1738509686.770105,28.9,4.96,0.00,2.58,0.52
1738509686.869990,28.9,4.96,0.00,2.58,0.53
1738509686.970030,28.9,4.96,0.00,2.58,0.52
1738509687.070049,28.9,4.96,0.00,2.58,0.53
1738509687.170205,28.1,4.96,0.00,2.58,0.52
1738509687.270053,28.1,4.96,0.00,2.58,0.52
1738509687.370091,28.1,4.96,0.00,2.62,0.53
1738509687.470078,28.1,4.96,0.00,2.58,0.52
1738509687.569982,28.1,4.96,0.00,2.58,0.52
1738509687.669923,28.1,4.96,0.00,2.58,0.52
1738509687.769881,28.1,4.96,0.00,2.62,0.53
1738509687.869848,28.1,4.96,0.00,2.62,0.53
1738509687.970071,28.1,4.96,0.00,2.58,0.52
1738509688.073338,28.1,4.96,0.00,2.58,0.53
1738509688.169860,28.1,4.96,0.00,2.58,0.52
1738509688.270046,28.1,4.96,0.00,2.58,0.52
1738509688.370082,28.1,4.96,0.00,2.62,0.53
1738509688.470078,28.1,4.96,0.00,2.58,0.52
1738509688.569714,28.1,4.96,0.00,2.58,0.53
1738509688.669810,28.1,4.96,0.00,2.58,0.53
1738509688.769792,28.1,4.96,0.00,2.58,0.52
1738509688.870062,28.1,4.96,0.00,2.58,0.53
1738509688.970074,28.1,4.96,0.00,2.62,0.53
1738509689.069889,28.1,4.96,0.00,2.58,0.52
1738509689.170033,28.1,4.96,0.00,2.58,0.52
1738509689.270027,28.1,4.96,0.00,2.58,0.53
1738509689.370091,28.1,4.96,0.00,2.58,0.52
1738509689.470012,28.1,4.96,0.00,2.62,0.53
1738509689.569800,28.1,4.96,0.00,2.58,0.53
1738509689.669709,28.1,4.96,0.00,2.62,0.53
1738509689.769815,28.1,4.96,0.00,2.58,0.52
1738509689.870349,28.1,4.96,0.00,2.62,0.53
1738509689.970183,28.1,4.96,0.00,2.58,0.52
1738509690.069833,28.1,4.96,0.00,2.52,0.52
1738509690.169816,28.1,4.96,0.00,2.58,0.52
1738509690.269796,28.1,4.96,0.00,2.58,0.52
1738509690.369830,28.1,4.96,0.00,2.62,0.52
1738509690.469816,28.1,4.96,0.00,2.58,0.53
1738509690.569838,27.2,4.96,0.00,2.58,0.52
1738509690.670066,27.2,4.96,0.00,2.58,0.52
1738509690.770088,27.2,4.96,0.00,2.58,0.53
1738509690.870140,27.2,4.96,0.00,2.62,0.53
1738509690.970098,27.2,4.96,0.00,2.58,0.52
1738509691.070080,27.2,4.96,0.00,2.58,0.52
1738509691.170071,27.2,4.96,0.00,2.58,0.53
1738509691.270162,27.2,4.96,0.00,2.62,0.52
1738509691.369862,28.1,4.96,0.00,2.58,0.52
1738509691.470066,28.1,4.96,0.00,2.58,0.52
1738509691.570057,28.1,4.96,0.00,2.58,0.53
1738509691.670037,28.1,4.96,0.00,2.62,0.52
1738509691.769942,28.1,4.96,0.00,2.58,0.53
1738509691.870039,28.1,4.96,0.00,2.58,0.52
1738509691.969593,28.1,4.96,0.00,2.58,0.52
1738509692.069936,28.1,4.96,0.00,2.58,0.53
1738509692.170022,28.1,4.96,0.00,2.58,0.53
1738509692.270050,28.1,4.96,0.00,2.62,0.52
1738509692.370060,28.1,4.96,0.00,2.58,0.53
1738509692.470034,28.1,4.96,0.00,2.62,0.53
1738509692.570049,28.1,4.96,0.00,2.62,0.52
1738509692.670150,28.1,4.96,0.00,2.58,0.52
1738509692.769977,28.1,4.96,0.00,2.58,0.53
