timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508227.141659,35.1,4.96,0.00,2.62,0.54
1738508227.242062,35.1,4.96,0.00,2.62,0.54
1738508227.342138,35.1,4.96,0.00,2.62,0.54
1738508227.442116,35.1,4.96,0.00,2.62,0.53
1738508227.542104,35.1,4.96,0.00,2.62,0.54
1738508227.642097,29.8,4.96,0.00,2.62,0.54
1738508227.742096,29.8,4.96,0.00,2.62,0.54
1738508227.842143,29.8,4.96,0.00,2.62,0.54
1738508227.942092,29.8,4.96,0.00,2.62,0.53
1738508228.042043,29.8,4.96,0.00,2.62,0.53
1738508228.142116,29.8,4.96,0.00,2.62,0.54
1738508228.242132,29.8,4.96,0.00,2.68,0.53
1738508228.342104,29.8,4.96,0.00,2.62,0.53
1738508228.442025,28.9,4.96,0.00,2.62,0.53
1738508228.542090,28.9,4.96,0.00,2.62,0.53
1738508228.642036,28.9,4.96,0.00,2.62,0.54
1738508228.742070,28.9,4.96,0.00,2.62,0.53
1738508228.842122,28.9,4.96,0.00,2.62,0.53
1738508228.942115,28.9,4.96,0.00,2.62,0.54
1738508229.042117,28.9,4.96,0.00,2.62,0.53
1738508229.142178,28.9,4.96,0.00,2.62,0.53
1738508229.242085,28.1,4.96,0.00,2.62,0.53
1738508229.342104,28.1,4.96,0.00,2.62,0.53
1738508229.442103,28.1,4.96,0.00,2.62,0.53
1738508229.542082,28.1,4.96,0.00,2.62,0.53
1738508229.642011,28.1,4.96,0.00,2.62,0.53
1738508229.742048,28.1,4.96,0.00,2.62,0.53
1738508229.842106,28.1,4.96,0.00,2.68,0.54
1738508229.942138,28.1,4.96,0.00,2.62,0.53
1738508230.042065,28.1,4.96,0.00,2.68,0.54
1738508230.142092,28.9,4.96,0.00,2.62,0.54
1738508230.242104,28.9,4.96,0.00,2.62,0.53
1738508230.342123,28.9,4.96,0.00,2.62,0.53
1738508230.442171,28.9,4.96,0.00,2.62,0.53
1738508230.542155,28.9,4.96,0.00,2.62,0.53
1738508230.642127,28.9,4.96,0.00,2.62,0.53
1738508230.742146,28.9,4.96,0.00,2.62,0.53
1738508230.842087,28.9,4.96,0.00,2.62,0.53
1738508230.942102,28.1,4.96,0.00,2.68,0.54
1738508231.042048,28.1,4.96,0.00,2.62,0.53
1738508231.142111,28.1,4.96,0.00,2.62,0.54
1738508231.242109,28.1,4.96,0.00,2.68,0.53
1738508231.342118,28.1,4.96,0.00,2.62,0.54
1738508231.442081,28.1,4.96,0.00,2.62,0.53
1738508231.542115,28.1,4.96,0.00,2.62,0.53
1738508231.642114,28.1,4.96,0.00,2.62,0.53
1738508231.742130,28.1,4.96,0.00,2.62,0.54
1738508231.842140,28.1,4.96,0.00,2.62,0.53
1738508231.942109,28.1,4.96,0.00,2.62,0.53
1738508232.042063,28.1,4.96,0.00,2.62,0.53
