timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510202.982263,37.7,4.96,0.00,2.68,0.54
1738510203.081902,34.2,4.96,0.00,2.62,0.54
1738510203.182254,34.2,4.96,0.00,2.68,0.54
1738510203.282095,34.2,4.96,0.00,2.68,0.54
1738510203.382262,34.2,4.96,0.00,2.62,0.54
1738510203.482267,34.2,4.96,0.00,2.68,0.54
1738510203.582152,34.2,4.96,0.00,2.68,0.54
1738510203.682198,34.2,4.96,0.00,2.62,0.53
1738510203.782286,34.2,4.96,0.00,2.68,0.53
1738510203.882187,30.7,4.96,0.00,2.68,0.54
1738510203.982198,30.7,4.96,0.00,2.72,0.54
1738510204.082304,30.7,4.96,0.00,2.68,0.54
1738510204.181963,30.7,4.96,0.00,2.68,0.54
1738510204.282168,30.7,4.96,0.00,2.62,0.54
1738510204.382266,30.7,4.96,0.00,2.68,0.54
1738510204.482359,30.7,4.96,0.00,2.68,0.54
1738510204.582151,30.7,4.96,0.00,2.62,0.54
1738510204.681993,30.7,4.96,0.00,2.62,0.54
1738510204.781947,30.7,4.96,0.00,2.68,0.54
1738510204.882145,30.7,4.96,0.00,2.68,0.54
1738510204.982004,30.7,4.96,0.00,2.68,0.54
1738510205.082197,30.7,4.96,0.00,2.68,0.54
1738510205.182063,30.7,4.96,0.00,2.68,0.54
1738510205.282133,30.7,4.96,0.00,2.68,0.54
1738510205.382236,30.7,4.96,0.00,2.62,0.54
1738510205.482156,30.7,4.96,0.00,2.68,0.54
1738510205.582112,29.8,4.96,0.00,2.62,0.54
1738510205.682150,29.8,4.96,0.00,2.62,0.54
1738510205.781960,29.8,4.96,0.00,2.62,0.54
1738510205.882121,29.8,4.96,0.00,2.68,0.54
1738510205.981987,29.8,4.96,0.00,2.68,0.54
1738510206.082213,29.8,4.96,0.00,2.62,0.54
1738510206.182255,29.8,4.96,0.00,2.62,0.54
1738510206.282214,29.8,4.96,0.00,2.68,0.54
1738510206.382194,29.8,4.96,0.00,2.68,0.54
1738510206.482018,29.8,4.96,0.00,2.62,0.54
1738510206.582175,29.8,4.96,0.00,2.68,0.53
1738510206.682135,29.8,4.96,0.00,2.68,0.54
1738510206.782091,29.8,4.96,0.00,2.68,0.54
1738510206.882135,29.8,4.96,0.00,2.68,0.54
1738510206.982054,29.8,4.96,0.00,2.62,0.54
1738510207.082226,29.8,4.96,0.00,2.62,0.54
1738510207.182236,29.8,4.96,0.00,2.62,0.54
1738510207.282141,29.8,4.96,0.00,2.68,0.54
1738510207.382004,29.8,4.96,0.00,2.68,0.54
1738510207.481953,29.8,4.96,0.00,2.68,0.53
1738510207.581966,29.8,4.96,0.00,2.62,0.53
1738510207.682077,29.8,4.96,0.00,2.68,0.54
1738510207.782018,29.8,4.96,0.00,2.68,0.54
1738510207.882231,29.8,4.96,0.00,2.68,0.54
1738510207.982203,29.8,4.96,0.00,2.68,0.54
1738510208.082244,28.9,4.96,0.00,2.68,0.54
1738510208.182187,28.9,4.96,0.00,2.62,0.53
1738510208.281970,28.9,4.96,0.00,2.62,0.54
1738510208.382040,28.9,4.96,0.00,2.62,0.54
1738510208.482026,28.9,4.96,0.00,2.68,0.54
1738510208.582197,28.9,4.96,0.00,2.68,0.54
1738510208.682115,28.9,4.96,0.00,2.68,0.54
1738510208.781994,28.9,4.96,0.00,2.68,0.53
1738510208.882110,28.9,4.96,0.00,2.62,0.53
1738510208.981977,29.8,4.96,0.00,2.62,0.54
1738510209.082039,29.8,4.96,0.00,2.62,0.54
1738510209.181982,29.8,4.96,0.00,2.68,0.54
1738510209.282081,29.8,4.96,0.00,2.68,0.54
1738510209.382179,29.8,4.96,0.00,2.68,0.54
1738510209.482182,29.8,4.96,0.00,2.68,0.54
1738510209.582098,29.8,4.96,0.00,2.62,0.53
1738510209.682247,29.8,4.96,0.00,2.68,0.54
1738510209.781965,28.9,4.96,0.00,2.68,0.54
1738510209.882013,28.9,4.96,0.00,2.62,0.53
1738510209.982027,28.9,4.96,0.00,2.62,0.54
1738510210.082360,28.9,4.96,0.00,2.68,0.54
1738510210.182150,28.9,4.96,0.00,2.62,0.54
1738510210.282238,28.9,4.96,0.00,2.68,0.54
1738510210.382076,28.9,4.96,0.00,2.62,0.53
1738510210.482027,28.9,4.96,0.00,2.62,0.54
1738510210.582205,28.9,4.96,0.00,2.62,0.54
1738510210.682052,28.9,4.96,0.00,2.68,0.54
1738510210.782239,28.9,4.96,0.00,2.62,0.53
1738510210.882212,28.9,4.96,0.00,2.62,0.53
1738510210.982067,28.9,4.96,0.00,2.62,0.53
1738510211.082245,28.9,4.96,0.00,2.62,0.54
1738510211.182120,28.9,4.96,0.00,2.68,0.54
1738510211.282215,28.9,4.96,0.00,2.68,0.54
1738510211.382209,28.9,4.96,0.00,2.68,0.54
1738510211.482232,29.8,4.96,0.00,2.68,0.54
1738510211.582074,29.8,4.96,0.00,2.68,0.54
1738510211.682050,29.8,4.96,0.00,2.62,0.53
1738510211.782193,29.8,4.96,0.00,2.68,0.53
1738510211.882049,29.8,4.96,0.00,2.68,0.54
1738510211.982179,29.8,4.96,0.00,2.68,0.54
1738510212.082212,29.8,4.96,0.00,2.68,0.54
1738510212.182100,29.8,4.96,0.00,2.68,0.54
1738510212.282149,28.9,4.96,0.00,2.62,0.53
1738510212.382083,28.9,4.96,0.00,2.68,0.54
1738510212.482177,28.9,4.96,0.00,2.62,0.53
1738510212.582025,28.9,4.96,0.00,2.68,0.54
1738510212.682174,28.9,4.96,0.00,2.68,0.54
1738510212.782145,28.9,4.96,0.00,2.62,0.54
1738510212.882183,28.9,4.96,0.00,2.62,0.54
1738510212.982188,28.9,4.96,0.00,2.62,0.54
1738510213.082221,28.9,4.96,0.00,2.62,0.54
1738510213.182201,28.9,4.96,0.00,2.62,0.53
1738510213.282124,28.9,4.96,0.00,2.68,0.54
1738510213.382230,28.9,4.96,0.00,2.62,0.54
1738510213.482277,28.9,4.96,0.00,2.62,0.54
1738510213.582091,28.9,4.96,0.00,2.68,0.54
1738510213.682184,28.9,4.96,0.00,2.68,0.54
1738510213.782181,28.9,4.96,0.00,2.68,0.54
1738510213.882110,28.9,4.96,0.00,2.68,0.53
1738510213.982134,28.1,4.96,0.00,2.68,0.54
1738510214.082065,28.1,4.96,0.00,2.68,0.54
1738510214.182151,28.1,4.96,0.00,2.68,0.54
1738510214.281995,28.1,4.96,0.00,2.68,0.53
1738510214.382209,28.1,4.96,0.00,2.62,0.54
1738510214.482022,28.1,4.96,0.00,2.68,0.54
1738510214.582064,28.1,4.96,0.00,2.62,0.54
1738510214.682152,28.1,4.96,0.00,2.68,0.54
1738510214.782194,28.1,4.96,0.00,2.68,0.54
1738510214.882190,28.9,4.96,0.00,2.68,0.54
1738510214.982176,28.9,4.96,0.00,2.68,0.54
1738510215.082128,28.9,4.96,0.00,2.62,0.54
1738510215.182110,28.9,4.96,0.00,2.68,0.54
1738510215.282214,28.9,4.96,0.00,2.68,0.54
1738510215.382190,28.9,4.96,0.00,2.68,0.54
1738510215.482233,28.9,4.96,0.00,2.68,0.54
1738510215.582217,28.9,4.96,0.00,2.62,0.53
1738510215.682204,28.9,4.96,0.00,2.68,0.54
1738510215.782202,28.9,4.96,0.00,2.68,0.54
1738510215.882166,28.9,4.96,0.00,2.68,0.54
1738510215.982189,28.9,4.96,0.00,2.68,0.54
1738510216.082197,28.9,4.96,0.00,2.68,0.54
1738510216.182171,28.9,4.96,0.00,2.62,0.54
1738510216.282404,28.9,4.96,0.00,2.62,0.54
1738510216.382092,28.9,4.96,0.00,2.62,0.54
1738510216.483253,28.9,4.96,0.00,2.68,0.53
1738510216.582178,28.9,4.96,0.00,2.62,0.54
1738510216.682178,28.9,4.96,0.00,2.62,0.54
1738510216.781983,28.9,4.96,0.00,2.68,0.54
1738510216.882163,28.9,4.96,0.00,2.62,0.54
1738510216.982178,28.9,4.96,0.00,2.68,0.54
1738510217.082186,28.9,4.96,0.00,2.62,0.54
1738510217.182194,28.9,4.96,0.00,2.68,0.54
1738510217.282221,28.9,4.96,0.00,2.68,0.54
1738510217.382222,28.9,4.96,0.00,2.68,0.53
1738510217.482236,28.9,4.96,0.00,2.68,0.53
1738510217.582223,28.9,4.96,0.00,2.68,0.54
1738510217.682166,28.9,4.96,0.00,2.62,0.54
1738510217.782178,28.9,4.96,0.00,2.68,0.54
