timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508794.486452,34.2,4.96,0.00,2.62,0.54
1738508794.586592,34.2,4.96,0.00,2.68,0.54
1738508794.686789,31.6,4.96,0.00,2.62,0.54
1738508794.786802,31.6,4.96,0.00,2.62,0.54
1738508794.886820,31.6,4.96,0.00,2.62,0.53
1738508794.986828,31.6,4.96,0.00,2.62,0.54
1738508795.086749,31.6,4.96,0.00,2.62,0.54
1738508795.186867,31.6,4.96,0.00,2.62,0.53
1738508795.286811,31.6,4.96,0.00,2.62,0.54
1738508795.386661,31.6,4.96,0.00,2.62,0.54
1738508795.486817,29.8,4.96,0.00,2.68,0.53
1738508795.586872,29.8,4.96,0.00,2.62,0.53
1738508795.686907,29.8,4.96,0.00,2.62,0.54
1738508795.786782,29.8,4.96,0.00,2.68,0.53
1738508795.886852,29.8,4.96,0.00,2.68,0.54
1738508795.986857,29.8,4.96,0.00,2.62,0.54
1738508796.086981,29.8,4.96,0.00,2.62,0.53
1738508796.186888,29.8,4.96,0.00,2.62,0.53
1738508796.286787,29.8,4.96,0.00,2.62,0.53
1738508796.386750,29.8,4.96,0.00,2.68,0.54
1738508796.486694,29.8,4.96,0.00,2.62,0.54
1738508796.586593,29.8,4.96,0.00,2.62,0.54
1738508796.686884,29.8,4.96,0.00,2.62,0.53
1738508796.786790,29.8,4.96,0.00,2.62,0.54
1738508796.886739,29.8,4.96,0.00,2.62,0.53
1738508796.986902,29.8,4.96,0.00,2.62,0.54
1738508797.086883,29.8,4.96,0.00,2.62,0.53
1738508797.186812,28.9,4.96,0.00,2.62,0.53
1738508797.286835,28.9,4.96,0.00,2.62,0.54
1738508797.386900,28.9,4.96,0.00,2.68,0.54
1738508797.486659,28.9,4.96,0.00,2.68,0.53
1738508797.586788,28.9,4.96,0.00,2.68,0.54
1738508797.686570,28.9,4.96,0.00,2.62,0.53
1738508797.786803,28.9,4.96,0.00,2.62,0.54
1738508797.886682,28.9,4.96,0.00,2.62,0.53
1738508797.986848,28.1,4.96,0.00,2.68,0.54
1738508798.086882,28.1,4.96,0.00,2.62,0.53
1738508798.186868,28.1,4.96,0.00,2.68,0.54
1738508798.286887,28.1,4.96,0.00,2.62,0.53
1738508798.386834,28.1,4.96,0.00,2.68,0.54
1738508798.486826,28.1,4.96,0.00,2.62,0.53
1738508798.586832,28.1,4.96,0.00,2.68,0.53
1738508798.686726,28.1,4.96,0.00,2.68,0.53
1738508798.786867,28.1,4.96,0.00,2.62,0.53
1738508798.886858,28.9,4.96,0.00,2.68,0.54
1738508798.986782,28.9,4.96,0.00,2.62,0.54
1738508799.086737,28.9,4.96,0.00,2.62,0.54
1738508799.186786,28.9,4.96,0.00,2.68,0.54
1738508799.286779,28.9,4.96,0.00,2.62,0.53
1738508799.386846,28.9,4.96,0.00,2.62,0.53
1738508799.486867,28.9,4.96,0.00,2.68,0.53
