timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507844.417277,29.8,4.96,0.00,2.62,0.53
1738507844.517639,29.8,4.96,0.00,2.58,0.52
1738507844.617627,29.8,4.96,0.00,2.62,0.53
1738507844.717690,29.8,4.96,0.00,2.62,0.53
1738507844.817604,29.8,4.96,0.00,2.58,0.53
1738507844.917647,29.8,4.96,0.00,2.58,0.53
1738507845.017633,29.8,4.96,0.00,2.62,0.52
1738507845.117600,28.1,4.96,0.00,2.62,0.53
1738507845.217599,28.1,4.96,0.00,2.62,0.52
1738507845.317616,28.1,4.96,0.00,2.62,0.53
1738507845.417636,28.1,4.96,0.00,2.62,0.53
1738507845.517675,28.1,4.96,0.00,2.58,0.53
1738507845.617604,28.1,4.96,0.00,2.58,0.53
1738507845.717580,28.1,4.96,0.00,2.62,0.53
1738507845.817631,28.1,4.96,0.00,2.58,0.52
1738507845.917596,27.2,4.96,0.00,2.62,0.53
1738507846.017642,27.2,4.96,0.00,2.62,0.52
1738507846.117554,27.2,4.96,0.00,2.62,0.53
1738507846.217652,27.2,4.96,0.00,2.62,0.53
1738507846.317654,27.2,4.96,0.00,2.62,0.53
1738507846.417663,27.2,4.96,0.00,2.62,0.53
1738507846.517498,27.2,4.96,0.00,2.62,0.53
1738507846.617629,27.2,4.96,0.00,2.62,0.53
1738507846.717587,26.3,4.96,0.00,2.62,0.53
1738507846.817628,26.3,4.96,0.00,2.62,0.53
1738507846.917651,26.3,4.96,0.00,2.62,0.53
1738507847.017613,26.3,4.96,0.00,2.62,0.53
1738507847.117513,26.3,4.96,0.00,2.58,0.53
1738507847.217662,26.3,4.96,0.00,2.58,0.52
1738507847.317616,26.3,4.96,0.00,2.62,0.53
1738507847.417622,26.3,4.96,0.00,2.62,0.53
1738507847.517651,26.3,4.96,0.00,2.62,0.53
1738507847.617636,26.3,4.96,0.00,2.62,0.52
1738507847.717491,26.3,4.96,0.00,2.58,0.52
1738507847.817632,26.3,4.96,0.00,2.62,0.53
1738507847.917599,26.3,4.96,0.00,2.62,0.53
1738507848.017590,26.3,4.96,0.00,2.62,0.53
1738507848.117557,26.3,4.96,0.00,2.62,0.53
1738507848.217714,26.3,4.96,0.00,2.62,0.53
1738507848.317628,26.3,4.96,0.00,2.62,0.53
1738507848.417653,26.3,4.96,0.00,2.62,0.53
1738507848.517651,26.3,4.96,0.00,2.62,0.53
1738507848.617655,26.3,4.96,0.00,2.62,0.53
1738507848.717613,26.3,4.96,0.00,2.62,0.53
1738507848.817621,26.3,4.96,0.00,2.62,0.53
1738507848.917663,26.3,4.96,0.00,2.58,0.53
1738507849.017632,26.3,4.96,0.00,2.62,0.53
1738507849.117638,26.3,4.96,0.00,2.62,0.52
1738507849.217666,26.3,4.96,0.00,2.62,0.53
1738507849.317667,26.3,4.96,0.00,2.58,0.53
1738507849.417625,26.3,4.96,0.00,2.62,0.53
1738507849.517527,26.3,4.96,0.00,2.62,0.53
1738507849.617486,26.3,4.96,0.00,2.62,0.53
1738507849.717765,26.3,4.96,0.00,2.62,0.53
1738507849.817718,26.3,4.96,0.00,2.62,0.53
1738507849.917677,26.3,4.96,0.00,2.62,0.53
1738507850.017656,26.3,4.96,0.00,2.62,0.52
1738507850.117583,26.3,4.96,0.00,2.62,0.53
1738507850.217627,26.3,4.96,0.00,2.62,0.53
1738507850.317699,26.3,4.96,0.00,2.62,0.53
1738507850.417653,26.3,4.96,0.00,2.62,0.53
1738507850.517559,26.3,4.96,0.00,2.58,0.53
1738507850.617699,26.3,4.96,0.00,2.58,0.53
1738507850.717692,26.3,4.96,0.00,2.62,0.53
1738507850.817653,26.3,4.96,0.00,2.62,0.53
1738507850.917632,26.3,4.96,0.00,2.62,0.53
1738507851.017638,26.3,4.96,0.00,2.58,0.53
1738507851.117672,26.3,4.96,0.00,2.62,0.53
1738507851.217671,26.3,4.96,0.00,2.62,0.53
1738507851.317661,26.3,4.96,0.00,2.62,0.53
1738507851.417692,26.3,4.96,0.00,2.58,0.53
1738507851.517716,26.3,4.96,0.00,2.62,0.53
1738507851.617593,26.3,4.96,0.00,2.62,0.53
1738507851.717728,26.3,4.96,0.00,2.62,0.53
1738507851.817639,26.3,4.96,0.00,2.62,0.53
1738507851.917610,26.3,4.96,0.00,2.62,0.53
1738507852.017590,26.3,4.96,0.00,2.58,0.53
1738507852.117734,26.3,4.96,0.00,2.62,0.53
1738507852.217675,26.3,4.96,0.00,2.62,0.53
1738507852.317643,26.3,4.96,0.00,2.62,0.53
1738507852.417579,26.3,4.96,0.00,2.62,0.53
1738507852.517656,26.3,4.96,0.00,2.62,0.52
1738507852.617662,26.3,4.96,0.00,2.62,0.53
1738507852.717556,26.3,4.96,0.00,2.62,0.53
1738507852.817681,26.3,4.96,0.00,2.62,0.53
1738507852.917664,26.3,4.96,0.00,2.58,0.53
1738507853.017701,26.3,4.96,0.00,2.62,0.53
1738507853.117646,26.3,4.96,0.00,2.62,0.53
1738507853.217658,26.3,4.96,0.00,2.58,0.52
1738507853.317624,26.3,4.96,0.00,2.62,0.53
1738507853.417693,26.3,4.96,0.00,2.62,0.53
1738507853.517718,26.3,4.96,0.00,2.62,0.53
1738507853.617712,26.3,4.96,0.00,2.62,0.53
1738507853.717729,26.3,4.96,0.00,2.58,0.53
1738507853.817682,26.3,4.96,0.00,2.62,0.53
1738507853.917709,26.3,4.96,0.00,2.58,0.52
1738507854.017681,26.3,4.96,0.00,2.62,0.53
1738507854.117655,26.3,4.96,0.00,2.58,0.53
1738507854.217604,26.3,4.96,0.00,2.62,0.53
1738507854.317684,26.3,4.96,0.00,2.58,0.53
1738507854.417723,26.3,4.96,0.00,2.62,0.52
1738507854.517701,26.3,4.96,0.00,2.62,0.53
1738507854.617709,26.3,4.96,0.00,2.62,0.53
1738507854.717622,26.3,4.96,0.00,2.58,0.53
1738507854.817685,26.3,4.96,0.00,2.62,0.52
