timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507972.435124,35.1,4.96,0.00,2.58,0.53
1738507972.535452,35.1,4.96,0.00,2.58,0.52
1738507972.635536,29.8,4.96,0.00,2.58,0.53
1738507972.735476,29.8,4.96,0.00,2.58,0.53
1738507972.840383,29.8,4.96,0.00,2.62,0.53
1738507972.936366,29.8,4.96,0.00,2.62,0.53
1738507973.036409,29.8,4.96,0.00,2.62,0.53
1738507973.136375,29.8,4.96,0.00,2.58,0.53
1738507973.236341,29.8,4.96,0.00,2.62,0.53
1738507973.336374,29.8,4.96,0.00,2.58,0.52
1738507973.436409,27.2,4.96,0.00,2.62,0.53
1738507973.536244,27.2,4.96,0.00,2.62,0.53
1738507973.636381,27.2,4.96,0.00,2.58,0.53
1738507973.736327,27.2,4.96,0.00,2.62,0.53
1738507973.836370,27.2,4.96,0.00,2.62,0.53
1738507973.936368,27.2,4.96,0.00,2.62,0.52
1738507974.036486,27.2,4.96,0.00,2.62,0.53
1738507974.136360,27.2,4.96,0.00,2.62,0.53
1738507974.236390,27.2,4.96,0.00,2.62,0.53
1738507974.336347,27.2,4.96,0.00,2.62,0.53
1738507974.436381,27.2,4.96,0.00,2.62,0.53
1738507974.536419,27.2,4.96,0.00,2.62,0.53
1738507974.636298,27.2,4.96,0.00,2.62,0.53
1738507974.736329,27.2,4.96,0.00,2.62,0.53
1738507974.836421,27.2,4.96,0.00,2.62,0.53
1738507974.936413,27.2,4.96,0.00,2.62,0.53
1738507975.036398,27.2,4.96,0.00,2.62,0.53
1738507975.136443,27.2,4.96,0.00,2.58,0.53
1738507975.236386,27.2,4.96,0.00,2.62,0.53
1738507975.336348,27.2,4.96,0.00,2.62,0.53
1738507975.436364,27.2,4.96,0.00,2.62,0.53
1738507975.536393,27.2,4.96,0.00,2.62,0.53
1738507975.636433,27.2,4.96,0.00,2.62,0.53
1738507975.736344,27.2,4.96,0.00,2.62,0.52
1738507975.836394,27.2,4.96,0.00,2.58,0.53
1738507975.936403,27.2,4.96,0.00,2.62,0.52
1738507976.036370,27.2,4.96,0.00,2.62,0.53
1738507976.136409,27.2,4.96,0.00,2.62,0.53
1738507976.236397,27.2,4.96,0.00,2.62,0.53
1738507976.336370,27.2,4.96,0.00,2.58,0.53
1738507976.436380,27.2,4.96,0.00,2.62,0.53
1738507976.536359,27.2,4.96,0.00,2.62,0.54
1738507976.636382,27.2,4.96,0.00,2.58,0.53
1738507976.736335,26.3,4.96,0.00,2.62,0.53
1738507976.836374,26.3,4.96,0.00,2.62,0.53
1738507976.936382,26.3,4.96,0.00,2.62,0.53
1738507977.036197,26.3,4.96,0.00,2.62,0.53
1738507977.136424,26.3,4.96,0.00,2.62,0.53
1738507977.236392,26.3,4.96,0.00,2.62,0.53
1738507977.336392,26.3,4.96,0.00,2.62,0.53
1738507977.436329,26.3,4.96,0.00,2.62,0.53
1738507977.536404,26.3,4.96,0.00,2.62,0.53
1738507977.636400,26.3,4.96,0.00,2.62,0.53
1738507977.736288,26.3,4.96,0.00,2.58,0.53
1738507977.836478,26.3,4.96,0.00,2.62,0.54
1738507977.936312,26.3,4.96,0.00,2.62,0.53
1738507978.036307,26.3,4.96,0.00,2.62,0.53
1738507978.136382,26.3,4.96,0.00,2.58,0.53
1738507978.236383,26.3,4.96,0.00,2.62,0.53
1738507978.336380,26.3,4.96,0.00,2.58,0.53
1738507978.436450,27.2,4.96,0.00,2.62,0.53
1738507978.536325,27.2,4.96,0.00,2.58,0.53
1738507978.636432,27.2,4.96,0.00,2.62,0.53
1738507978.736291,27.2,4.96,0.00,2.62,0.53
1738507978.836382,27.2,4.96,0.00,2.62,0.53
1738507978.936306,27.2,4.96,0.00,2.62,0.52
1738507979.036336,27.2,4.96,0.00,2.62,0.53
1738507979.136428,27.2,4.96,0.00,2.58,0.53
1738507979.236268,27.2,4.96,0.00,2.62,0.53
1738507979.336347,27.2,4.96,0.00,2.62,0.53
1738507979.436443,27.2,4.96,0.00,2.58,0.53
1738507979.536450,27.2,4.96,0.00,2.58,0.53
1738507979.636449,27.2,4.96,0.00,2.62,0.53
1738507979.736349,27.2,4.96,0.00,2.62,0.52
1738507979.836356,27.2,4.96,0.00,2.58,0.53
1738507979.936322,27.2,4.96,0.00,2.62,0.53
1738507980.036359,27.2,4.96,0.00,2.58,0.53
1738507980.136479,26.3,4.96,0.00,2.62,0.53
1738507980.236310,26.3,4.96,0.00,2.62,0.53
1738507980.336394,26.3,4.96,0.00,2.62,0.53
1738507980.436413,26.3,4.96,0.00,2.62,0.53
1738507980.536409,26.3,4.96,0.00,2.62,0.53
1738507980.636372,26.3,4.96,0.00,2.62,0.53
1738507980.736296,26.3,4.96,0.00,2.62,0.53
1738507980.836319,26.3,4.96,0.00,2.62,0.53
1738507980.936292,26.3,4.96,0.00,2.58,0.53
1738507981.036218,26.3,4.96,0.00,2.62,0.53
1738507981.136412,26.3,4.96,0.00,2.62,0.53
1738507981.236282,26.3,4.96,0.00,2.62,0.53
1738507981.336335,26.3,4.96,0.00,2.62,0.53
1738507981.436436,26.3,4.96,0.00,2.62,0.53
1738507981.536445,26.3,4.96,0.00,2.62,0.53
1738507981.636287,26.3,4.96,0.00,2.62,0.53
1738507981.736459,26.3,4.96,0.00,2.58,0.53
1738507981.836480,26.3,4.96,0.00,2.58,0.53
1738507981.936238,26.3,4.96,0.00,2.62,0.53
1738507982.036441,26.3,4.96,0.00,2.62,0.53
1738507982.136446,26.3,4.96,0.00,2.62,0.53
1738507982.236320,26.3,4.96,0.00,2.62,0.52
1738507982.336449,26.3,4.96,0.00,2.62,0.53
1738507982.436361,26.3,4.96,0.00,2.62,0.53
1738507982.536330,26.3,4.96,0.00,2.62,0.53
1738507982.636405,26.3,4.96,0.00,2.62,0.53
1738507982.736410,26.3,4.96,0.00,2.62,0.53
1738507982.836426,26.3,4.96,0.00,2.62,0.53
1738507982.936200,26.3,4.96,0.00,2.62,0.53
1738507983.036302,26.3,4.96,0.00,2.58,0.53
1738507983.136451,26.3,4.96,0.00,2.58,0.53
1738507983.236453,26.3,4.96,0.00,2.62,0.53
1738507983.336334,26.3,4.96,0.00,2.62,0.53
1738507983.436433,26.3,4.96,0.00,2.62,0.53
1738507983.536479,26.3,4.96,0.00,2.62,0.52
1738507983.636250,26.3,4.96,0.00,2.62,0.53
1738507983.736479,26.3,4.96,0.00,2.62,0.53
1738507983.836404,26.3,4.96,0.00,2.62,0.53
1738507983.936446,26.3,4.96,0.00,2.58,0.53
1738507984.036413,26.3,4.96,0.00,2.62,0.53
1738507984.136356,26.3,4.96,0.00,2.62,0.53
1738507984.236275,26.3,4.96,0.00,2.62,0.53
1738507984.336425,26.3,4.96,0.00,2.62,0.53
1738507984.436345,26.3,4.96,0.00,2.62,0.53
1738507984.536290,26.3,4.96,0.00,2.62,0.52
1738507984.636377,26.3,4.96,0.00,2.62,0.53
1738507984.736403,26.3,4.96,0.00,2.58,0.53
1738507984.836430,26.3,4.96,0.00,2.62,0.53
1738507984.936349,26.3,4.96,0.00,2.62,0.53
1738507985.036475,26.3,4.96,0.00,2.62,0.53
1738507985.136368,25.4,4.96,0.00,2.62,0.53
1738507985.236462,25.4,4.96,0.00,2.62,0.53
1738507985.336225,25.4,4.96,0.00,2.62,0.53
1738507985.436366,25.4,4.96,0.00,2.58,0.53
1738507985.536412,25.4,4.96,0.00,2.62,0.53
1738507985.636459,25.4,4.96,0.00,2.62,0.53
1738507985.736489,25.4,4.96,0.00,2.62,0.53
1738507985.836336,25.4,4.96,0.00,2.58,0.53
1738507985.936435,25.4,4.96,0.00,2.62,0.52
1738507986.036254,26.3,4.96,0.00,2.58,0.52
1738507986.136469,26.3,4.96,0.00,2.62,0.53
1738507986.236513,26.3,4.96,0.00,2.62,0.53
1738507986.336307,26.3,4.96,0.00,2.62,0.53
1738507986.436358,26.3,4.96,0.00,2.62,0.53
1738507986.536363,26.3,4.96,0.00,2.62,0.53
1738507986.636433,26.3,4.96,0.00,2.62,0.53
1738507986.736387,26.3,4.96,0.00,2.62,0.53
1738507986.836336,26.3,4.96,0.00,2.62,0.53
1738507986.936272,26.3,4.96,0.00,2.62,0.53
1738507987.036429,26.3,4.96,0.00,2.58,0.53
1738507987.136480,26.3,4.96,0.00,2.62,0.53
