timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509764.269188,33.3,4.92,0.00,2.94,0.59
1738509764.370890,33.3,4.92,0.00,2.92,0.60
1738509764.472665,33.3,4.92,0.00,2.92,0.59
1738509764.574212,33.3,4.92,0.00,2.92,0.59
1738509764.675811,33.3,4.92,0.00,2.94,0.59
1738509764.777345,33.3,4.92,0.00,2.92,0.59
1738509764.878763,33.3,4.92,0.00,2.94,0.60
1738509764.980612,33.3,4.92,0.00,2.92,0.59
1738509765.082184,33.3,4.92,0.00,2.92,0.59
1738509765.183756,33.3,4.92,0.00,2.92,0.59
1738509765.285265,33.3,4.92,0.00,2.94,0.60
1738509765.386907,33.3,4.92,0.00,2.92,0.60
1738509765.488213,33.3,4.92,0.00,2.92,0.60
1738509765.590246,33.3,4.92,0.00,2.92,0.60
1738509765.691543,33.3,4.92,0.00,2.92,0.60
1738509765.793158,33.3,4.92,0.00,2.92,0.60
1738509765.894629,33.3,4.92,0.00,2.94,0.60
1738509765.996243,33.3,4.92,0.00,2.92,0.59
1738509766.097978,32.5,4.92,0.00,2.92,0.59
1738509766.199404,32.5,4.92,0.00,2.92,0.59
1738509766.301020,32.5,4.92,0.00,2.94,0.59
1738509766.402636,32.5,4.92,0.00,2.92,0.59
1738509766.504013,32.5,4.92,0.00,2.92,0.60
1738509766.605889,32.5,4.92,0.00,2.92,0.59
1738509766.707436,32.5,4.92,0.00,2.92,0.59
1738509766.809154,32.5,4.92,0.00,2.92,0.59
1738509766.910544,33.3,4.92,0.00,2.92,0.60
1738509767.011983,33.3,4.92,0.00,2.92,0.60
1738509767.113551,33.3,4.92,0.00,2.92,0.59
1738509767.215344,33.3,4.92,0.00,2.92,0.59
1738509767.316915,33.3,4.92,0.00,2.92,0.60
1738509767.418277,33.3,4.92,0.00,2.92,0.59
1738509767.520017,33.3,4.92,0.00,2.92,0.59
1738509767.621586,33.3,4.92,0.00,2.92,0.60
1738509767.723175,32.5,4.92,0.00,2.92,0.59
1738509767.824732,32.5,4.92,0.00,2.92,0.60
1738509767.926288,32.5,4.92,0.00,2.92,0.59
1738509768.027986,32.5,4.92,0.00,2.92,0.60
1738509768.129361,32.5,4.92,0.00,2.92,0.60
1738509768.231074,32.5,4.92,0.00,2.94,0.59
1738509768.332619,32.5,4.92,0.00,2.92,0.59
1738509768.434325,32.5,4.92,0.00,2.92,0.59
1738509768.535853,32.5,4.92,0.00,2.92,0.59
1738509768.637377,32.5,4.92,0.00,2.92,0.59
1738509768.739131,32.5,4.92,0.00,2.92,0.59
1738509768.840870,32.5,4.92,0.00,2.92,0.60
1738509768.942438,32.5,4.92,0.00,2.92,0.59
1738509769.043833,32.5,4.92,0.00,2.92,0.60
1738509769.145331,32.5,4.92,0.00,2.92,0.59
1738509769.246776,32.5,4.92,0.00,2.92,0.59
1738509769.348520,32.5,4.92,0.00,2.92,0.59
1738509769.450193,32.5,4.92,0.00,2.92,0.59
1738509769.551653,32.5,4.92,0.00,2.92,0.59
1738509769.653842,32.5,4.92,0.00,2.92,0.59
1738509769.754870,32.5,4.92,0.00,2.92,0.59
1738509769.856446,32.5,4.92,0.00,2.92,0.59
1738509769.956739,32.5,4.92,0.00,2.92,0.59
1738509770.062788,32.5,4.92,0.00,2.92,0.60
1738509770.159677,32.5,4.92,0.00,2.92,0.59
1738509770.261057,32.5,4.92,0.00,2.92,0.59
1738509770.367044,32.5,4.92,0.00,2.92,0.59
1738509770.462788,32.5,4.92,0.00,2.94,0.59
1738509770.564144,32.5,4.92,0.00,2.92,0.60
1738509770.665802,32.5,4.92,0.00,2.92,0.59
1738509770.767361,32.5,4.92,0.00,2.92,0.59
1738509770.868942,32.5,4.92,0.00,2.92,0.59
1738509770.970453,32.5,4.92,0.00,2.92,0.59
1738509771.072017,33.3,4.92,0.00,2.92,0.59
1738509771.174109,33.3,4.92,0.00,2.92,0.60
1738509771.275056,33.3,4.92,0.00,2.92,0.60
1738509771.376678,33.3,4.92,0.00,2.92,0.59
1738509771.478224,33.3,4.92,0.00,2.92,0.59
1738509771.579844,33.3,4.92,0.00,2.94,0.59
1738509771.681477,33.3,4.92,0.00,2.92,0.59
1738509771.783199,33.3,4.92,0.00,2.92,0.59
1738509771.884717,32.5,4.92,0.00,2.92,0.60
1738509771.986342,32.5,4.92,0.00,2.92,0.59
1738509772.087871,32.5,4.92,0.00,2.94,0.59
1738509772.189487,32.5,4.92,0.00,2.92,0.60
1738509772.290995,32.5,4.92,0.00,2.92,0.59
1738509772.392633,32.5,4.92,0.00,2.92,0.59
1738509772.494227,32.5,4.92,0.00,2.92,0.59
1738509772.595832,32.5,4.92,0.00,2.92,0.59
1738509772.697322,32.5,4.92,0.00,2.92,0.60
1738509772.798870,32.5,4.92,0.00,2.92,0.59
1738509772.900489,32.5,4.92,0.00,2.92,0.60
1738509773.002100,32.5,4.92,0.00,2.92,0.59
1738509773.103706,32.5,4.92,0.00,2.92,0.60
1738509773.205270,32.5,4.92,0.00,2.92,0.59
1738509773.306813,32.5,4.92,0.00,2.92,0.59
1738509773.408469,32.5,4.92,0.00,2.92,0.60
1738509773.509926,32.5,4.92,0.00,2.92,0.59
1738509773.611429,32.5,4.92,0.00,2.92,0.59
1738509773.713103,32.5,4.92,0.00,2.92,0.59
1738509773.814775,32.5,4.92,0.00,2.92,0.60
1738509773.916325,32.5,4.92,0.00,2.92,0.59
1738509774.017994,32.5,4.92,0.00,2.92,0.59
1738509774.119576,32.5,4.93,0.00,2.92,0.59
1738509774.221110,32.5,4.92,0.00,2.94,0.59
1738509774.322486,32.5,4.92,0.00,2.92,0.59
1738509774.424206,33.3,4.92,0.00,2.92,0.59
1738509774.525865,33.3,4.92,0.00,2.92,0.59
1738509774.627397,33.3,4.92,0.00,2.94,0.59
1738509774.728807,33.3,4.92,0.00,2.92,0.59
1738509774.830480,33.3,4.92,0.00,2.92,0.59
1738509774.932081,33.3,4.92,0.00,2.92,0.59
1738509775.033707,33.3,4.92,0.00,2.92,0.59
1738509775.135221,33.3,4.92,0.00,2.92,0.60
1738509775.236643,32.5,4.92,0.00,2.92,0.59
1738509775.338286,32.5,4.92,0.00,2.92,0.59
1738509775.439978,32.5,4.92,0.00,2.92,0.60
1738509775.541400,32.5,4.92,0.00,2.92,0.59
1738509775.643105,32.5,4.92,0.00,2.92,0.59
1738509775.744552,32.5,4.92,0.00,2.92,0.59
1738509775.846173,32.5,4.92,0.00,2.92,0.60
1738509775.947788,32.5,4.92,0.00,2.92,0.59
1738509776.049527,32.5,4.92,0.00,2.94,0.59
1738509776.151127,33.3,4.92,0.00,2.92,0.59
1738509776.252729,33.3,4.92,0.00,2.92,0.59
1738509776.354304,33.3,4.92,0.00,2.92,0.60
1738509776.455925,33.3,4.92,0.00,2.94,0.60
1738509776.557338,33.3,4.92,0.00,2.94,0.59
1738509776.659097,33.3,4.92,0.00,2.92,0.59
1738509776.760606,33.3,4.92,0.00,2.92,0.59
1738509776.862151,33.3,4.92,0.00,2.92,0.59
1738509776.963837,33.3,4.92,0.00,2.92,0.59
1738509777.065359,33.3,4.92,0.00,2.94,0.59
1738509777.166885,33.3,4.92,0.00,2.92,0.60
1738509777.268560,33.3,4.92,0.00,2.92,0.59
1738509777.370046,33.3,4.92,0.00,2.94,0.60
1738509777.471669,33.3,4.92,0.00,2.92,0.59
1738509777.573260,33.3,4.92,0.00,2.94,0.59
1738509777.674835,33.3,4.92,0.00,2.92,0.59
1738509777.776428,32.5,4.92,0.00,2.92,0.60
1738509777.878049,32.5,4.92,0.00,2.92,0.59
1738509777.979443,32.5,4.92,0.00,2.92,0.60
1738509778.081100,32.5,4.92,0.00,2.94,0.60
