timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508314.952017,32.5,4.94,0.00,2.82,0.57
1738508315.053575,32.5,4.94,0.00,2.82,0.58
1738508315.155230,32.5,4.94,0.00,2.82,0.58
1738508315.256756,32.5,4.94,0.00,2.82,0.58
1738508315.358349,32.5,4.94,0.00,2.82,0.58
1738508315.459925,32.5,4.94,0.00,2.82,0.57
1738508315.561531,32.5,4.94,0.00,2.82,0.57
1738508315.663084,31.6,4.94,0.00,2.82,0.57
1738508315.764703,31.6,4.94,0.00,2.86,0.57
1738508315.866107,31.6,4.94,0.00,2.82,0.57
1738508315.967831,31.6,4.94,0.00,2.82,0.57
1738508316.069404,31.6,4.94,0.00,2.82,0.58
1738508316.170966,31.6,4.94,0.00,2.82,0.57
1738508316.272563,31.6,4.94,0.00,2.82,0.57
1738508316.374103,31.6,4.94,0.00,2.86,0.57
1738508316.475606,31.6,4.94,0.00,2.82,0.57
1738508316.577022,31.6,4.94,0.00,2.82,0.57
1738508316.678873,31.6,4.94,0.00,2.82,0.57
1738508316.780465,31.6,4.94,0.00,2.82,0.57
1738508316.882059,31.6,4.94,0.00,2.82,0.58
1738508316.983632,31.6,4.94,0.00,2.86,0.57
1738508317.085218,31.6,4.94,0.00,2.82,0.57
1738508317.186778,31.6,4.94,0.00,2.82,0.58
1738508317.288368,31.6,4.94,0.00,2.82,0.57
1738508317.389973,30.7,4.94,0.00,2.86,0.58
1738508317.491292,30.7,4.94,0.00,2.82,0.58
1738508317.593063,30.7,4.94,0.00,2.82,0.57
1738508317.694697,30.7,4.94,0.00,2.82,0.57
1738508317.796281,30.7,4.94,0.00,2.82,0.57
1738508317.897843,30.7,4.94,0.00,2.82,0.57
1738508317.999360,30.7,4.94,0.00,2.86,0.57
1738508318.101009,30.7,4.94,0.00,2.82,0.57
1738508318.202562,30.7,4.94,0.00,2.82,0.58
1738508318.304109,30.7,4.94,0.00,2.82,0.57
1738508318.405763,30.7,4.94,0.00,2.82,0.57
1738508318.507239,30.7,4.94,0.00,2.86,0.57
1738508318.608912,30.7,4.94,0.00,2.82,0.57
1738508318.710462,30.7,4.94,0.00,2.82,0.57
1738508318.812092,30.7,4.94,0.00,2.82,0.58
1738508318.913618,30.7,4.94,0.00,2.82,0.57
1738508319.015220,30.7,4.94,0.00,2.82,0.58
