timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510284.510745,34.2,4.92,0.00,2.94,0.61
1738510284.612321,34.2,4.92,0.00,3.02,0.61
1738510284.714215,34.2,4.92,0.00,2.94,0.61
1738510284.815939,34.2,4.92,0.00,3.02,0.61
1738510284.917470,34.2,4.92,0.00,2.94,0.61
1738510285.018931,34.2,4.92,0.00,3.02,0.61
1738510285.120614,34.2,4.92,0.00,2.94,0.61
1738510285.222219,34.2,4.92,0.00,3.02,0.61
1738510285.323797,35.1,4.92,0.00,3.02,0.61
1738510285.425390,35.1,4.92,0.00,3.02,0.61
1738510285.526843,35.1,4.92,0.00,3.02,0.61
1738510285.628503,35.1,4.92,0.00,3.02,0.61
1738510285.730055,35.1,4.92,0.00,3.02,0.61
1738510285.831692,35.1,4.92,0.00,2.94,0.61
1738510285.933138,35.1,4.92,0.00,2.94,0.61
1738510286.034839,35.1,4.92,0.00,3.02,0.61
1738510286.136417,35.1,4.92,0.00,3.02,0.61
1738510286.237889,35.1,4.92,0.00,3.02,0.61
1738510286.339551,35.1,4.92,0.00,3.02,0.61
1738510286.440933,35.1,4.92,0.00,2.94,0.61
1738510286.542712,35.1,4.92,0.00,2.94,0.60
1738510286.644333,35.1,4.92,0.00,3.02,0.61
1738510286.745816,35.1,4.92,0.00,3.02,0.62
1738510286.847466,35.1,4.92,0.00,3.02,0.61
1738510286.949070,34.2,4.92,0.00,2.94,0.61
1738510287.050519,34.2,4.92,0.00,3.02,0.61
1738510287.152102,34.2,4.92,0.00,3.02,0.61
1738510287.253564,34.2,4.92,0.00,3.02,0.60
1738510287.355125,34.2,4.92,0.00,2.94,0.60
1738510287.456689,34.2,4.92,0.00,3.02,0.60
1738510287.558429,34.2,4.92,0.00,3.02,0.61
1738510287.660184,34.2,4.92,0.00,3.02,0.61
1738510287.761643,34.2,4.92,0.00,2.94,0.61
1738510287.863115,34.2,4.92,0.00,2.94,0.61
1738510287.965012,34.2,4.92,0.00,2.94,0.60
1738510288.066438,34.2,4.92,0.00,2.94,0.60
1738510288.168004,34.2,4.92,0.00,3.02,0.61
1738510288.269613,34.2,4.92,0.00,3.02,0.61
1738510288.371212,34.2,4.92,0.00,3.02,0.61
1738510288.472799,34.2,4.92,0.00,2.94,0.60
1738510288.574341,34.2,4.92,0.00,3.02,0.61
1738510288.675913,34.2,4.92,0.00,2.94,0.61
1738510288.777522,34.2,4.92,0.00,2.94,0.61
1738510288.879057,34.2,4.92,0.00,3.02,0.60
