timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510300.041690,34.2,4.91,0.00,3.04,0.62
1738510300.141636,34.2,4.91,0.00,3.08,0.62
1738510300.241837,34.2,4.91,0.00,3.04,0.63
1738510300.341740,34.2,4.91,0.00,3.04,0.62
1738510300.441740,34.2,4.91,0.00,3.04,0.62
1738510300.542104,34.2,4.91,0.00,3.04,0.62
1738510300.642056,34.2,4.91,0.00,3.04,0.62
1738510300.742193,34.2,4.91,0.00,3.04,0.62
1738510300.841640,34.2,4.91,0.00,3.04,0.62
1738510300.941825,34.2,4.91,0.00,3.08,0.63
1738510301.041850,34.2,4.91,0.00,3.04,0.62
1738510301.142044,34.2,4.91,0.00,3.04,0.62
1738510301.242022,34.2,4.91,0.00,3.08,0.62
1738510301.342194,34.2,4.91,0.00,3.04,0.62
1738510301.441973,34.2,4.91,0.00,3.08,0.62
1738510301.541893,34.2,4.91,0.00,3.04,0.62
1738510301.642106,34.2,4.91,0.00,3.04,0.62
1738510301.741763,34.2,4.91,0.00,3.04,0.62
1738510301.842044,34.2,4.91,0.00,3.04,0.62
1738510301.941896,34.2,4.91,0.00,3.08,0.63
1738510302.042107,34.2,4.91,0.00,3.04,0.62
1738510302.142012,34.2,4.91,0.00,3.08,0.63
1738510302.242046,34.2,4.91,0.00,3.04,0.63
1738510302.342105,34.2,4.91,0.00,3.04,0.62
1738510302.441925,34.2,4.91,0.00,3.08,0.63
1738510302.542088,34.2,4.91,0.00,3.04,0.63
1738510302.642040,34.2,4.91,0.00,3.04,0.62
1738510302.742065,34.2,4.91,0.00,3.04,0.63
1738510302.842104,34.2,4.91,0.00,3.04,0.63
1738510302.942149,34.2,4.91,0.00,3.04,0.62
1738510303.042134,34.2,4.91,0.00,3.04,0.62
1738510303.142069,34.2,4.91,0.00,3.04,0.63
1738510303.241941,34.2,4.91,0.00,3.04,0.63
1738510303.342049,34.2,4.91,0.00,3.04,0.63
1738510303.442259,34.2,4.91,0.00,3.04,0.62
1738510303.542116,34.2,4.91,0.00,3.04,0.62
1738510303.642141,34.2,4.91,0.00,3.04,0.62
1738510303.742101,34.2,4.91,0.00,3.04,0.62
1738510303.842047,34.2,4.91,0.00,3.04,0.63
1738510303.942112,34.2,4.91,0.00,3.08,0.62
1738510304.042145,34.2,4.91,0.00,3.04,0.62
1738510304.142094,34.2,4.91,0.00,3.04,0.62
1738510304.242057,34.2,4.91,0.00,3.04,0.63
1738510304.342167,34.2,4.91,0.00,3.08,0.62
1738510304.442110,34.2,4.91,0.00,3.04,0.62
1738510304.542044,34.2,4.91,0.00,3.04,0.62
1738510304.641996,33.3,4.91,0.00,3.08,0.62
1738510304.742110,33.3,4.91,0.00,3.04,0.62
1738510304.842099,33.3,4.91,0.00,3.04,0.62
1738510304.942131,33.3,4.91,0.00,3.04,0.62
1738510305.042115,33.3,4.91,0.00,3.04,0.63
1738510305.142133,33.3,4.91,0.00,3.04,0.63
1738510305.242061,33.3,4.91,0.00,3.08,0.63
1738510305.341910,33.3,4.91,0.00,3.04,0.62
1738510305.442117,34.2,4.91,0.00,3.04,0.62
1738510305.542066,34.2,4.91,0.00,3.04,0.62
1738510305.641713,34.2,4.91,0.00,3.04,0.62
1738510305.742003,34.2,4.91,0.00,3.04,0.62
1738510305.841861,34.2,4.91,0.00,3.04,0.62
1738510305.942094,34.2,4.91,0.00,3.04,0.63
1738510306.042128,34.2,4.91,0.00,3.04,0.63
1738510306.141785,34.2,4.91,0.00,3.04,0.63
1738510306.242054,34.2,4.91,0.00,3.04,0.63
1738510306.341924,34.2,4.91,0.00,3.08,0.63
1738510306.441974,34.2,4.91,0.00,3.04,0.62
1738510306.542086,34.2,4.91,0.00,3.04,0.62
1738510306.642111,34.2,4.91,0.00,3.04,0.62
1738510306.742034,34.2,4.91,0.00,3.04,0.62
1738510306.842185,34.2,4.91,0.00,3.08,0.63
1738510306.942086,34.2,4.91,0.00,3.04,0.62
1738510307.042088,34.2,4.91,0.00,3.04,0.62
1738510307.141805,34.2,4.91,0.00,3.04,0.62
1738510307.242017,34.2,4.91,0.00,3.04,0.63
1738510307.342101,34.2,4.91,0.00,3.04,0.63
1738510307.442121,34.2,4.91,0.00,3.04,0.63
1738510307.542062,34.2,4.91,0.00,3.08,0.63
1738510307.642000,34.2,4.91,0.00,3.04,0.62
1738510307.742062,34.2,4.91,0.00,3.04,0.62
1738510307.842126,34.2,4.91,0.00,3.04,0.63
1738510307.942095,34.2,4.91,0.00,3.04,0.63
1738510308.042121,34.2,4.91,0.00,3.04,0.62
1738510308.141916,34.2,4.91,0.00,3.04,0.63
1738510308.242091,34.2,4.91,0.00,3.04,0.62
1738510308.341962,34.2,4.91,0.00,3.04,0.62
1738510308.441946,34.2,4.91,0.00,3.04,0.63
1738510308.542012,34.2,4.91,0.00,3.04,0.62
1738510308.642069,34.2,4.91,0.00,3.04,0.63
1738510308.741954,34.2,4.91,0.00,3.04,0.63
1738510308.841933,34.2,4.91,0.00,3.04,0.62
1738510308.941976,34.2,4.91,0.00,3.04,0.62
1738510309.041961,34.2,4.91,0.00,3.04,0.62
1738510309.141838,34.2,4.91,0.00,3.08,0.63
1738510309.242045,34.2,4.91,0.00,3.04,0.62
1738510309.341798,34.2,4.91,0.00,3.04,0.63
1738510309.442080,34.2,4.91,0.00,3.04,0.62
1738510309.542016,34.2,4.91,0.00,3.04,0.62
1738510309.642150,34.2,4.91,0.00,3.04,0.63
1738510309.742130,34.2,4.91,0.00,3.04,0.63
1738510309.842141,34.2,4.91,0.00,3.04,0.62
1738510309.942160,34.2,4.91,0.00,3.04,0.63
1738510310.042092,34.2,4.91,0.00,3.04,0.62
1738510310.141870,34.2,4.91,0.00,3.08,0.62
1738510310.242076,34.2,4.91,0.00,3.04,0.62
1738510310.342060,34.2,4.91,0.00,3.04,0.63
1738510310.442033,35.1,4.91,0.00,3.04,0.63
1738510310.542121,35.1,4.91,0.00,3.04,0.62
1738510310.642073,35.1,4.91,0.00,3.04,0.62
1738510310.742042,35.1,4.91,0.00,3.04,0.62
1738510310.842102,35.1,4.91,0.00,3.04,0.63
1738510310.942027,35.1,4.91,0.00,3.04,0.63
1738510311.042166,35.1,4.91,0.00,3.08,0.62
1738510311.142022,35.1,4.91,0.00,3.04,0.62
1738510311.242282,35.1,4.91,0.00,3.04,0.62
1738510311.342060,34.2,4.91,0.00,3.04,0.62
1738510311.442159,34.2,4.91,0.00,3.08,0.62
1738510311.541802,34.2,4.91,0.00,3.04,0.63
1738510311.642023,34.2,4.91,0.00,3.04,0.62
1738510311.741980,34.2,4.91,0.00,3.04,0.63
1738510311.842111,34.2,4.91,0.00,3.04,0.62
1738510311.941950,34.2,4.91,0.00,3.04,0.62
1738510312.041899,34.2,4.91,0.00,3.04,0.62
1738510312.141951,35.1,4.91,0.00,3.04,0.62
1738510312.242122,35.1,4.91,0.00,3.04,0.62
1738510312.341858,35.1,4.91,0.00,3.04,0.62
1738510312.442017,35.1,4.91,0.00,3.04,0.62
1738510312.541985,35.1,4.91,0.00,3.04,0.63
1738510312.641794,35.1,4.91,0.00,3.04,0.63
1738510312.741966,35.1,4.91,0.00,3.04,0.62
1738510312.842081,35.1,4.91,0.00,3.04,0.62
1738510312.942116,34.2,4.91,0.00,3.04,0.62
1738510313.042133,34.2,4.91,0.00,3.04,0.62
1738510313.142129,34.2,4.91,0.00,3.04,0.62
1738510313.242023,34.2,4.91,0.00,3.08,0.62
1738510313.342215,34.2,4.91,0.00,3.08,0.63
1738510313.441957,34.2,4.91,0.00,3.04,0.63
1738510313.542099,34.2,4.91,0.00,3.04,0.62
1738510313.642112,34.2,4.91,0.00,3.04,0.63
1738510313.741890,34.2,4.91,0.00,3.04,0.62
1738510313.842011,35.1,4.91,0.00,3.08,0.62
1738510313.942139,35.1,4.91,0.00,3.04,0.62
1738510314.042054,35.1,4.91,0.00,3.04,0.63
1738510314.142210,35.1,4.91,0.00,3.04,0.62
1738510314.242008,35.1,4.91,0.00,3.04,0.62
1738510314.342054,35.1,4.91,0.00,3.04,0.61
1738510314.442046,35.1,4.91,0.00,3.04,0.62
1738510314.542076,35.1,4.91,0.00,3.04,0.62
1738510314.641905,34.2,4.91,0.00,3.04,0.62
1738510314.741961,34.2,4.91,0.00,3.04,0.62
1738510314.842121,34.2,4.91,0.00,3.04,0.63
