timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508871.472448,31.6,4.94,0.00,2.82,0.57
1738508871.574065,31.6,4.94,0.00,2.82,0.57
1738508871.675937,31.6,4.94,0.00,2.86,0.57
1738508871.777526,31.6,4.94,0.00,2.82,0.58
1738508871.879156,31.6,4.94,0.00,2.82,0.58
1738508871.980786,31.6,4.94,0.00,2.82,0.58
1738508872.082351,31.6,4.94,0.00,2.82,0.57
1738508872.183847,31.6,4.94,0.00,2.82,0.58
1738508872.285485,31.6,4.94,0.00,2.82,0.57
1738508872.387042,31.6,4.94,0.00,2.82,0.58
1738508872.488695,31.6,4.94,0.00,2.82,0.57
1738508872.590274,31.6,4.94,0.00,2.82,0.57
1738508872.691767,30.7,4.94,0.00,2.82,0.58
1738508872.793417,30.7,4.94,0.00,2.82,0.58
1738508872.895024,30.7,4.94,0.00,2.86,0.58
1738508872.996467,30.7,4.94,0.00,2.86,0.58
1738508873.098162,30.7,4.94,0.00,2.82,0.58
1738508873.199659,30.7,4.94,0.00,2.86,0.57
1738508873.301354,30.7,4.94,0.00,2.82,0.57
1738508873.402927,30.7,4.94,0.00,2.82,0.57
1738508873.504508,31.6,4.94,0.00,2.82,0.58
1738508873.606078,31.6,4.94,0.00,2.86,0.58
1738508873.707667,31.6,4.94,0.00,2.82,0.57
1738508873.809246,31.6,4.94,0.00,2.82,0.58
1738508873.910915,31.6,4.94,0.00,2.82,0.57
1738508874.012363,31.6,4.94,0.00,2.82,0.58
1738508874.113948,31.6,4.94,0.00,2.82,0.58
1738508874.215538,31.6,4.94,0.00,2.82,0.58
1738508874.317098,31.6,4.94,0.00,2.82,0.57
1738508874.418710,31.6,4.94,0.00,2.82,0.58
1738508874.520301,31.6,4.94,0.00,2.82,0.58
1738508874.621894,31.6,4.94,0.00,2.82,0.57
1738508874.723356,31.6,4.94,0.00,2.86,0.57
1738508874.824951,31.6,4.94,0.00,2.82,0.58
1738508874.926589,31.6,4.93,0.00,2.82,0.58
1738508875.028201,31.6,4.94,0.00,2.82,0.57
1738508875.129755,31.6,4.94,0.00,2.82,0.58
