timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508886.873474,31.6,4.92,0.00,2.94,0.60
1738508886.973312,29.8,4.92,0.00,2.92,0.60
1738508887.073873,29.8,4.92,0.00,2.92,0.60
1738508887.173854,29.8,4.92,0.00,2.94,0.60
1738508887.273808,29.8,4.92,0.00,2.94,0.60
1738508887.373760,29.8,4.92,0.00,2.92,0.60
1738508887.473772,29.8,4.92,0.00,2.94,0.60
1738508887.573757,29.8,4.92,0.00,2.94,0.60
1738508887.673834,29.8,4.92,0.00,2.94,0.60
1738508887.773742,31.6,4.92,0.00,2.94,0.59
1738508887.873804,31.6,4.92,0.00,2.92,0.60
1738508887.973819,31.6,4.92,0.00,2.94,0.60
1738508888.073776,31.6,4.92,0.00,2.92,0.60
1738508888.173837,31.6,4.92,0.00,3.02,0.60
1738508888.273825,31.6,4.92,0.00,2.94,0.60
1738508888.373812,31.6,4.92,0.00,2.94,0.60
1738508888.473819,31.6,4.92,0.00,2.94,0.60
1738508888.573829,30.7,4.92,0.00,2.94,0.60
1738508888.673793,30.7,4.92,0.00,2.92,0.60
1738508888.773763,30.7,4.92,0.00,2.92,0.60
1738508888.873896,30.7,4.92,0.00,2.94,0.60
1738508888.973650,30.7,4.92,0.00,2.92,0.59
1738508889.073890,30.7,4.92,0.00,2.94,0.60
1738508889.173887,30.7,4.92,0.00,2.94,0.60
1738508889.273822,30.7,4.92,0.00,2.94,0.60
1738508889.373763,30.7,4.92,0.00,2.94,0.60
1738508889.473702,32.5,4.92,0.00,2.94,0.60
1738508889.573845,32.5,4.92,0.00,2.94,0.60
1738508889.673888,32.5,4.92,0.00,2.94,0.60
1738508889.773833,32.5,4.92,0.00,2.94,0.60
1738508889.873893,32.5,4.92,0.00,2.94,0.60
1738508889.973777,32.5,4.92,0.00,2.92,0.60
1738508890.073797,32.5,4.92,0.00,2.94,0.60
1738508890.173745,32.5,4.92,0.00,2.94,0.60
1738508890.273940,31.6,4.92,0.00,2.94,0.60
1738508890.373908,31.6,4.92,0.00,2.94,0.59
1738508890.473740,31.6,4.92,0.00,2.94,0.60
1738508890.573865,31.6,4.92,0.00,2.94,0.60
1738508890.673844,31.6,4.92,0.00,2.94,0.60
1738508890.773802,31.6,4.92,0.00,2.94,0.60
1738508890.873866,31.6,4.92,0.00,2.94,0.60
1738508890.973757,31.6,4.92,0.00,2.94,0.60
1738508891.073734,31.6,4.92,0.00,2.94,0.59
1738508891.173873,31.6,4.92,0.00,2.94,0.60
1738508891.273818,31.6,4.92,0.00,2.94,0.60
1738508891.373829,31.6,4.92,0.00,2.94,0.60
1738508891.473867,31.6,4.92,0.00,2.94,0.60
1738508891.573746,31.6,4.92,0.00,2.94,0.60
1738508891.673880,31.6,4.92,0.00,2.94,0.61
1738508891.773795,31.6,4.92,0.00,2.94,0.60
1738508891.873707,31.6,4.92,0.00,2.94,0.59
1738508891.973834,30.7,4.92,0.00,2.94,0.60
1738508892.073752,30.7,4.92,0.00,2.94,0.60
1738508892.173889,30.7,4.92,0.00,2.94,0.60
1738508892.273850,30.7,4.92,0.00,2.92,0.60
1738508892.373779,30.7,4.92,0.00,2.94,0.60
1738508892.473970,30.7,4.92,0.00,2.94,0.60
1738508892.573773,30.7,4.92,0.00,2.94,0.60
1738508892.673857,30.7,4.92,0.00,2.94,0.60
1738508892.773803,31.6,4.92,0.00,2.92,0.60
1738508892.873844,31.6,4.92,0.00,2.92,0.59
1738508892.973458,31.6,4.92,0.00,2.94,0.60
1738508893.073455,31.6,4.92,0.00,2.92,0.60
1738508893.173805,31.6,4.92,0.00,2.94,0.60
1738508893.273812,31.6,4.92,0.00,2.94,0.60
1738508893.373819,31.6,4.92,0.00,2.92,0.59
1738508893.473793,31.6,4.92,0.00,2.94,0.60
1738508893.573854,31.6,4.92,0.00,2.94,0.60
1738508893.673936,31.6,4.92,0.00,2.94,0.60
1738508893.773885,31.6,4.92,0.00,2.94,0.60
1738508893.873839,31.6,4.92,0.00,2.94,0.60
1738508893.973766,31.6,4.92,0.00,2.92,0.60
