timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508052.598253,30.7,4.93,0.00,2.86,0.58
1738508052.700000,30.7,4.93,0.00,2.86,0.58
1738508052.801591,30.7,4.93,0.00,2.86,0.59
1738508052.903109,30.7,4.93,0.00,2.86,0.58
1738508053.004716,30.7,4.93,0.00,2.92,0.59
1738508053.106245,32.5,4.93,0.00,2.92,0.58
1738508053.207578,32.5,4.93,0.00,2.92,0.59
1738508053.309477,32.5,4.93,0.00,2.86,0.59
1738508053.411190,32.5,4.93,0.00,2.86,0.59
1738508053.512498,32.5,4.93,0.00,2.92,0.59
1738508053.614185,32.5,4.93,0.00,2.92,0.59
1738508053.715751,32.5,4.93,0.00,2.86,0.59
1738508053.817389,32.5,4.93,0.00,2.86,0.59
1738508053.919062,31.6,4.93,0.00,2.86,0.59
1738508054.020533,31.6,4.93,0.00,2.92,0.59
1738508054.122157,31.6,4.93,0.00,2.86,0.59
1738508054.223672,31.6,4.93,0.00,2.86,0.58
1738508054.325275,31.6,4.93,0.00,2.86,0.58
1738508054.426845,31.6,4.93,0.00,2.92,0.58
1738508054.528343,31.6,4.93,0.00,2.86,0.59
1738508054.630196,31.6,4.93,0.00,2.86,0.58
1738508054.734801,31.6,4.93,0.00,2.92,0.58
1738508054.833129,30.7,4.93,0.00,2.86,0.58
1738508054.934559,30.7,4.93,0.00,2.86,0.58
1738508055.036247,30.7,4.93,0.00,2.92,0.59
1738508055.137905,30.7,4.93,0.00,2.92,0.59
1738508055.239467,30.7,4.93,0.00,2.86,0.58
1738508055.341065,30.7,4.93,0.00,2.92,0.58
1738508055.442682,30.7,4.93,0.00,2.86,0.58
1738508055.544216,30.7,4.93,0.00,2.92,0.58
1738508055.645838,30.7,4.93,0.00,2.86,0.58
1738508055.747326,30.7,4.93,0.00,2.86,0.59
1738508055.849013,30.7,4.93,0.00,2.86,0.58
1738508055.950402,30.7,4.93,0.00,2.86,0.59
1738508056.050608,30.7,4.93,0.00,2.86,0.59
1738508056.151971,30.7,4.93,0.00,2.86,0.59
1738508056.253645,30.7,4.93,0.00,2.86,0.59
