timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507941.379905,31.6,4.93,0.00,2.92,0.59
1738507941.479875,31.6,4.93,0.00,2.92,0.59
1738507941.580126,29.8,4.93,0.00,2.92,0.59
1738507941.680183,29.8,4.93,0.00,2.92,0.59
1738507941.780167,29.8,4.93,0.00,2.92,0.59
1738507941.880184,29.8,4.93,0.00,2.92,0.59
1738507941.980158,29.8,4.93,0.00,2.92,0.59
1738507942.080173,29.8,4.93,0.00,2.92,0.59
1738507942.180152,29.8,4.93,0.00,2.92,0.59
1738507942.280211,29.8,4.93,0.00,2.92,0.59
1738507942.380180,29.8,4.93,0.00,2.92,0.59
1738507942.480144,29.8,4.93,0.00,2.92,0.59
1738507942.580260,29.8,4.92,0.00,2.92,0.59
1738507942.680251,29.8,4.93,0.00,2.92,0.59
1738507942.780187,29.8,4.93,0.00,2.92,0.59
1738507942.880319,29.8,4.93,0.00,2.92,0.59
1738507942.980198,29.8,4.93,0.00,2.92,0.59
1738507943.080195,29.8,4.93,0.00,2.92,0.59
1738507943.180192,29.8,4.93,0.00,2.92,0.59
1738507943.280207,29.8,4.93,0.00,2.92,0.59
1738507943.380183,29.8,4.93,0.00,2.92,0.59
1738507943.480217,29.8,4.93,0.00,2.92,0.59
1738507943.580207,29.8,4.93,0.00,2.92,0.59
1738507943.680137,29.8,4.93,0.00,2.92,0.59
1738507943.780236,29.8,4.93,0.00,2.92,0.59
1738507943.879921,29.8,4.93,0.00,2.92,0.59
1738507943.980098,29.8,4.93,0.00,2.92,0.59
1738507944.080020,29.8,4.93,0.00,2.92,0.60
1738507944.180108,29.8,4.93,0.00,2.92,0.59
1738507944.280101,29.8,4.93,0.00,2.92,0.59
1738507944.380023,29.8,4.93,0.00,2.92,0.59
1738507944.480117,29.8,4.93,0.00,2.92,0.59
1738507944.580194,29.8,4.93,0.00,2.92,0.59
1738507944.679959,29.8,4.93,0.00,2.92,0.59
1738507944.780170,29.8,4.93,0.00,2.92,0.59
1738507944.880152,29.8,4.93,0.00,2.92,0.59
1738507944.980106,29.8,4.93,0.00,2.92,0.59
1738507945.080098,29.8,4.93,0.00,2.92,0.59
1738507945.180169,29.8,4.93,0.00,2.92,0.59
1738507945.280159,29.8,4.93,0.00,2.92,0.59
1738507945.380122,29.8,4.93,0.00,2.92,0.59
1738507945.480236,29.8,4.93,0.00,2.92,0.59
1738507945.580174,29.8,4.93,0.00,2.92,0.59
1738507945.680206,29.8,4.93,0.00,2.92,0.59
1738507945.780106,29.8,4.93,0.00,2.92,0.59
1738507945.880160,29.8,4.93,0.00,2.92,0.59
1738507945.980202,29.8,4.93,0.00,2.92,0.59
1738507946.080184,29.8,4.93,0.00,2.92,0.59
1738507946.180172,29.8,4.93,0.00,2.92,0.60
1738507946.280234,29.8,4.93,0.00,2.92,0.59
1738507946.380142,29.8,4.92,0.00,2.92,0.59
1738507946.480182,29.8,4.93,0.00,2.92,0.59
1738507946.580117,29.8,4.93,0.00,2.92,0.59
1738507946.680074,29.8,4.93,0.00,2.92,0.59
1738507946.779947,29.8,4.92,0.00,2.92,0.59
1738507946.880155,29.8,4.93,0.00,2.92,0.59
1738507946.980213,29.8,4.93,0.00,2.92,0.59
1738507947.080145,29.8,4.93,0.00,2.92,0.59
1738507947.180201,29.8,4.93,0.00,2.94,0.59
1738507947.280156,29.8,4.93,0.00,2.92,0.59
1738507947.380175,29.8,4.93,0.00,2.92,0.59
1738507947.480153,29.8,4.93,0.00,2.92,0.59
1738507947.580195,29.8,4.93,0.00,2.92,0.59
1738507947.680110,29.8,4.93,0.00,2.92,0.59
1738507947.780236,29.8,4.93,0.00,2.92,0.58
1738507947.880245,29.8,4.93,0.00,2.92,0.59
1738507947.980126,29.8,4.93,0.00,2.92,0.59
1738507948.080167,29.8,4.93,0.00,2.92,0.59
1738507948.180069,29.8,4.93,0.00,2.92,0.59
1738507948.280112,29.8,4.93,0.00,2.92,0.59
1738507948.380206,29.8,4.93,0.00,2.92,0.59
1738507948.480087,29.8,4.93,0.00,2.92,0.59
1738507948.580184,29.8,4.93,0.00,2.92,0.59
1738507948.680143,29.8,4.92,0.00,2.92,0.59
1738507948.780166,29.8,4.93,0.00,2.92,0.59
1738507948.880167,29.8,4.93,0.00,2.92,0.59
1738507948.980182,29.8,4.93,0.00,2.92,0.59
1738507949.080081,30.7,4.93,0.00,2.92,0.59
1738507949.180211,30.7,4.93,0.00,2.92,0.59
1738507949.280148,30.7,4.93,0.00,2.92,0.59
1738507949.380169,30.7,4.92,0.00,2.92,0.59
1738507949.480196,30.7,4.93,0.00,2.92,0.59
1738507949.580169,30.7,4.93,0.00,2.92,0.59
1738507949.680178,30.7,4.93,0.00,2.92,0.59
1738507949.780191,30.7,4.93,0.00,2.92,0.59
1738507949.880305,30.7,4.93,0.00,2.92,0.59
1738507949.980219,29.8,4.93,0.00,2.92,0.59
1738507950.080219,29.8,4.93,0.00,2.92,0.59
1738507950.180238,29.8,4.93,0.00,2.92,0.59
1738507950.280201,29.8,4.93,0.00,2.92,0.59
1738507950.380149,29.8,4.93,0.00,2.92,0.59
1738507950.480180,29.8,4.93,0.00,2.92,0.59
1738507950.580221,29.8,4.93,0.00,2.92,0.59
1738507950.680236,29.8,4.93,0.00,2.92,0.59
1738507950.780278,29.8,4.93,0.00,2.92,0.59
1738507950.880270,29.8,4.93,0.00,2.92,0.59
1738507950.980206,29.8,4.93,0.00,2.92,0.59
1738507951.080243,29.8,4.93,0.00,2.92,0.59
1738507951.180143,29.8,4.93,0.00,2.92,0.60
1738507951.280068,29.8,4.93,0.00,2.92,0.59
1738507951.380007,29.8,4.93,0.00,2.92,0.59
1738507951.480105,29.8,4.93,0.00,2.92,0.59
1738507951.580119,29.8,4.93,0.00,2.92,0.59
1738507951.680288,29.8,4.93,0.00,2.86,0.60
1738507951.780237,29.8,4.93,0.00,2.92,0.59
1738507951.880239,29.8,4.93,0.00,2.92,0.60
1738507951.980219,29.8,4.93,0.00,2.92,0.59
1738507952.080299,29.8,4.93,0.00,2.92,0.59
1738507952.180174,29.8,4.92,0.00,2.92,0.59
1738507952.279975,29.8,4.93,0.00,2.92,0.59
1738507952.380108,29.8,4.92,0.00,2.92,0.59
1738507952.480243,29.8,4.93,0.00,2.92,0.59
1738507952.580206,29.8,4.93,0.00,2.92,0.59
1738507952.680203,29.8,4.93,0.00,2.92,0.59
1738507952.780167,29.8,4.93,0.00,2.92,0.58
1738507952.880241,29.8,4.93,0.00,2.92,0.59
1738507952.980239,29.8,4.93,0.00,2.92,0.59
1738507953.080223,29.8,4.93,0.00,2.92,0.59
1738507953.180254,29.8,4.93,0.00,2.92,0.59
1738507953.280265,29.8,4.93,0.00,2.92,0.59
1738507953.380283,29.8,4.93,0.00,2.92,0.59
1738507953.480333,29.8,4.93,0.00,2.92,0.59
1738507953.580294,29.8,4.93,0.00,2.92,0.59
1738507953.680293,29.8,4.93,0.00,2.92,0.59
1738507953.780274,29.8,4.93,0.00,2.92,0.59
1738507953.880202,29.8,4.93,0.00,2.92,0.59
1738507953.980158,29.8,4.93,0.00,2.92,0.59
1738507954.080255,29.8,4.93,0.00,2.92,0.59
1738507954.180247,29.8,4.93,0.00,2.92,0.59
1738507954.279929,29.8,4.92,0.00,2.92,0.60
1738507954.380319,29.8,4.93,0.00,2.92,0.59
1738507954.480240,29.8,4.92,0.00,2.92,0.59
1738507954.580155,29.8,4.93,0.00,2.92,0.59
1738507954.680263,29.8,4.93,0.00,2.92,0.59
1738507954.780175,29.8,4.92,0.00,2.86,0.59
1738507954.879948,29.8,4.92,0.00,2.86,0.60
1738507954.980298,29.8,4.92,0.00,2.92,0.59
1738507955.080246,29.8,4.93,0.00,2.92,0.59
1738507955.180245,29.8,4.93,0.00,2.92,0.59
1738507955.280225,29.8,4.93,0.00,2.92,0.59
1738507955.380169,29.8,4.93,0.00,2.92,0.59
1738507955.480148,29.8,4.93,0.00,2.92,0.59
1738507955.580261,29.8,4.93,0.00,2.92,0.59
1738507955.680164,29.8,4.93,0.00,2.92,0.60
1738507955.780148,30.7,4.93,0.00,2.92,0.59
1738507955.880288,30.7,4.93,0.00,2.92,0.59
1738507955.980135,30.7,4.93,0.00,2.92,0.59
1738507956.080129,30.7,4.93,0.00,2.92,0.60
1738507956.180114,30.7,4.92,0.00,2.92,0.59
