timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508068.113809,30.7,4.93,0.00,2.92,0.59
1738508068.213969,29.8,4.92,0.00,2.86,0.59
1738508068.314149,29.8,4.93,0.00,2.92,0.59
1738508068.414087,29.8,4.93,0.00,2.92,0.59
1738508068.514126,29.8,4.93,0.00,2.92,0.59
1738508068.614116,29.8,4.93,0.00,2.92,0.59
1738508068.714104,29.8,4.93,0.00,2.92,0.59
1738508068.814204,29.8,4.93,0.00,2.92,0.58
1738508068.914150,29.8,4.93,0.00,2.92,0.59
1738508069.014163,30.7,4.93,0.00,2.92,0.59
1738508069.114130,30.7,4.93,0.00,2.92,0.59
1738508069.214178,30.7,4.93,0.00,2.92,0.59
1738508069.314255,30.7,4.93,0.00,2.92,0.59
1738508069.414147,30.7,4.93,0.00,2.92,0.59
1738508069.514088,30.7,4.93,0.00,2.86,0.60
1738508069.614159,30.7,4.93,0.00,2.92,0.59
1738508069.714144,30.7,4.92,0.00,2.92,0.59
1738508069.814064,30.7,4.93,0.00,2.92,0.59
1738508069.914164,29.8,4.93,0.00,2.92,0.59
1738508070.014124,29.8,4.93,0.00,2.92,0.59
1738508070.114123,29.8,4.93,0.00,2.92,0.59
1738508070.214121,29.8,4.93,0.00,2.92,0.59
1738508070.314078,29.8,4.93,0.00,2.92,0.59
1738508070.414149,29.8,4.93,0.00,2.92,0.59
1738508070.514213,29.8,4.93,0.00,2.92,0.58
1738508070.613974,29.8,4.93,0.00,2.92,0.59
1738508070.714132,30.7,4.93,0.00,2.92,0.59
1738508070.814151,30.7,4.93,0.00,2.92,0.59
1738508070.914104,30.7,4.93,0.00,2.92,0.59
1738508071.014221,30.7,4.93,0.00,2.92,0.59
1738508071.114175,30.7,4.93,0.00,2.92,0.59
1738508071.214111,30.7,4.93,0.00,2.92,0.59
1738508071.314152,30.7,4.93,0.00,2.92,0.59
1738508071.414126,30.7,4.93,0.00,2.92,0.59
1738508071.514123,30.7,4.93,0.00,2.92,0.59
1738508071.614180,30.7,4.93,0.00,2.92,0.59
1738508071.714059,30.7,4.93,0.00,2.92,0.59
1738508071.814181,30.7,4.93,0.00,2.86,0.59
1738508071.914111,30.7,4.93,0.00,2.92,0.59
1738508072.014094,30.7,4.93,0.00,2.92,0.59
1738508072.114093,30.7,4.93,0.00,2.92,0.59
1738508072.214118,30.7,4.93,0.00,2.92,0.59
1738508072.314222,30.7,4.93,0.00,2.92,0.59
1738508072.413845,30.7,4.93,0.00,2.92,0.59
1738508072.514172,30.7,4.93,0.00,2.92,0.59
1738508072.614124,30.7,4.93,0.00,2.92,0.59
1738508072.716214,30.7,4.93,0.00,2.92,0.59
1738508072.814156,30.7,4.92,0.00,2.92,0.59
1738508072.914215,30.7,4.93,0.00,2.92,0.59
1738508073.013947,30.7,4.93,0.00,2.92,0.59
1738508073.114189,30.7,4.93,0.00,2.92,0.59
1738508073.214152,30.7,4.93,0.00,2.92,0.59
1738508073.314161,30.7,4.93,0.00,2.92,0.59
1738508073.414085,30.7,4.93,0.00,2.92,0.59
1738508073.514109,30.7,4.93,0.00,2.92,0.59
1738508073.613937,30.7,4.93,0.00,2.92,0.59
1738508073.714104,30.7,4.93,0.00,2.92,0.59
1738508073.814081,30.7,4.93,0.00,2.92,0.59
1738508073.913835,30.7,4.93,0.00,2.92,0.58
1738508074.014098,30.7,4.93,0.00,2.92,0.59
1738508074.114192,29.8,4.93,0.00,2.92,0.59
1738508074.214113,29.8,4.93,0.00,2.92,0.59
1738508074.314120,29.8,4.93,0.00,2.92,0.59
1738508074.414178,29.8,4.93,0.00,2.86,0.59
1738508074.514166,29.8,4.93,0.00,2.92,0.59
1738508074.614092,29.8,4.93,0.00,2.92,0.59
1738508074.714128,29.8,4.93,0.00,2.92,0.59
1738508074.814138,29.8,4.93,0.00,2.92,0.59
1738508074.914238,30.7,4.93,0.00,2.92,0.59
1738508075.014173,30.7,4.93,0.00,2.92,0.59
1738508075.114168,30.7,4.93,0.00,2.92,0.59
1738508075.214057,30.7,4.93,0.00,2.92,0.59
1738508075.314216,30.7,4.93,0.00,2.92,0.59
1738508075.414211,30.7,4.93,0.00,2.92,0.59
1738508075.514179,30.7,4.93,0.00,2.86,0.59
1738508075.614115,30.7,4.93,0.00,2.92,0.59
1738508075.714034,30.7,4.93,0.00,2.92,0.59
1738508075.814157,30.7,4.93,0.00,2.92,0.59
1738508075.914068,30.7,4.93,0.00,2.92,0.59
1738508076.014245,30.7,4.93,0.00,2.92,0.59
1738508076.114249,30.7,4.93,0.00,2.92,0.59
1738508076.213731,30.7,4.93,0.00,2.92,0.59
1738508076.314168,30.7,4.93,0.00,2.92,0.59
1738508076.417746,30.7,4.93,0.00,2.94,0.59
1738508076.513755,30.7,4.93,0.00,2.92,0.59
1738508076.613938,30.7,4.93,0.00,2.92,0.59
1738508076.714152,30.7,4.92,0.00,2.92,0.59
1738508076.814074,30.7,4.93,0.00,2.92,0.59
1738508076.914023,30.7,4.93,0.00,2.92,0.59
1738508077.014108,30.7,4.93,0.00,2.92,0.59
1738508077.114124,30.7,4.93,0.00,2.92,0.59
1738508077.214211,30.7,4.92,0.00,2.92,0.59
1738508077.314208,30.7,4.93,0.00,2.92,0.59
1738508077.414161,30.7,4.93,0.00,2.92,0.59
1738508077.514177,30.7,4.93,0.00,2.86,0.59
1738508077.614186,30.7,4.93,0.00,2.92,0.59
1738508077.714132,30.7,4.93,0.00,2.86,0.58
1738508077.814163,30.7,4.93,0.00,2.92,0.59
1738508077.914181,30.7,4.93,0.00,2.92,0.59
1738508078.014117,30.7,4.93,0.00,2.92,0.59
1738508078.114157,30.7,4.93,0.00,2.86,0.59
1738508078.214115,30.7,4.93,0.00,2.92,0.59
1738508078.314226,30.7,4.93,0.00,2.92,0.59
1738508078.414136,30.7,4.92,0.00,2.92,0.59
1738508078.514096,30.7,4.93,0.00,2.86,0.59
1738508078.613852,30.7,4.93,0.00,2.92,0.58
1738508078.714046,30.7,4.93,0.00,2.92,0.59
1738508078.814064,30.7,4.93,0.00,2.92,0.60
1738508078.914220,30.7,4.93,0.00,2.92,0.59
1738508079.014086,30.7,4.93,0.00,2.92,0.59
1738508079.114177,30.7,4.93,0.00,2.92,0.59
1738508079.214156,30.7,4.93,0.00,2.92,0.60
1738508079.314128,30.7,4.93,0.00,2.92,0.59
1738508079.414256,30.7,4.93,0.00,2.92,0.59
1738508079.514098,30.7,4.93,0.00,2.92,0.59
1738508079.614214,30.7,4.93,0.00,2.92,0.59
1738508079.714029,30.7,4.93,0.00,2.92,0.59
1738508079.814165,30.7,4.93,0.00,2.92,0.59
1738508079.914168,30.7,4.93,0.00,2.92,0.59
1738508080.014101,30.7,4.93,0.00,2.92,0.59
1738508080.114242,30.7,4.93,0.00,2.92,0.59
1738508080.214186,30.7,4.93,0.00,2.92,0.59
1738508080.314116,30.7,4.93,0.00,2.92,0.59
1738508080.414217,30.7,4.93,0.00,2.92,0.59
1738508080.514153,30.7,4.93,0.00,2.92,0.59
1738508080.614208,30.7,4.93,0.00,2.86,0.59
